- calibrachoa | "Calibrachoa" | Calibrachoa | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f0703c | zones 9-11 | sun full-sun | water moderate | tags [orange, trailing, container]
- calibrachoa-tangerine | "Superbells Tangerine Punch" | Calibrachoa 'Superbells Tangerine Punch' | Annual | H 0.2m x W 0.4m | 1y | bloom May-Oct #f0801f | zones 9-11 | sun full-sun | water moderate | tags [orange, trailing, container]
- sweet-potato-vine | "Sweet Potato Vine" | Ipomoea batatas | Annual | H 0.2m x W 0.8m | 1y | bloom (none) | zones 9-11 | sun full-sun | water moderate | tags [foliage, trailing, container]
- sweet-potato-vine-green | "Margarita" | Ipomoea batatas 'Margarita' | Annual | H 0.2m x W 1m | 1y | bloom (none) | zones 9-11 | sun full-sun | water moderate | tags [foliage, green, trailing, container]
- sweet-potato-vine-purple | "Blackie" | Ipomoea batatas 'Blackie' | Annual | H 0.2m x W 1m | 1y | bloom (none) | zones 9-11 | sun full-sun | water moderate | tags [foliage, purple, trailing, container]
- sweet-potato-vine-bronze | "Sweet Caroline Bronze" | Ipomoea batatas 'Sweet Caroline Bronze' | Annual | H 0.2m x W 0.8m | 1y | bloom (none) | zones 9-11 | sun full-sun | water moderate | tags [foliage, bronze, orange, trailing, container]
- sweet-potato-vine-white | "Tricolor" | Ipomoea batatas 'Tricolor' | Annual | H 0.2m x W 0.8m | 1y | bloom (none) | zones 9-11 | sun full-sun | water moderate | tags [foliage, white, trailing, container]
- osteospermum | "African Daisy" | Osteospermum | Annual | H 0.3m x W 0.3m | 1y | bloom Apr-Jun #a05fb0 | zones 9-11 | sun full-sun | water moderate | tags [purple]
- osteospermum-white | "White African Daisy" | Osteospermum 'Akila White' | Annual | H 0.3m x W 0.3m | 1y | bloom Apr-Jun #f2f0ea | zones 9-11 | sun full-sun | water moderate | tags [white]
- osteospermum-pink | "Pink African Daisy" | Osteospermum 'Serenity Pink' | Annual | H 0.3m x W 0.3m | 1y | bloom Apr-Jun #e0689e | zones 9-11 | sun full-sun | water moderate | tags [pink]
- osteospermum-lavender | "Lavender African Daisy" | Osteospermum 'Soprano Lavender' | Annual | H 0.3m x W 0.3m | 1y | bloom Apr-Jun #b89ad0 | zones 9-11 | sun full-sun | water moderate | tags [lavender, purple]
- osteospermum-yellow | "Lemon African Daisy" | Osteospermum 'Lemon Symphony' | Annual | H 0.3m x W 0.3m | 1y | bloom Apr-Jun #f0dc70 | zones 9-11 | sun full-sun | water moderate | tags [yellow]
- osteospermum-orange | "Orange African Daisy" | Osteospermum 'Orange Symphony' | Annual | H 0.3m x W 0.3m | 1y | bloom Apr-Jun #f0902a | zones 9-11 | sun full-sun | water moderate | tags [orange]
- gazania | "Gazania" | Gazania | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #f0901f | zones 9-11 | sun full-sun | water low | tags [orange, heat, drought tolerant]
- gazania-yellow | "Yellow Gazania" | Gazania rigens | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #f4c420 | zones 9-11 | sun full-sun | water low | tags [yellow, heat, drought tolerant]
- gazania-red | "Red Gazania" | Gazania rigens | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #d6384a | zones 9-11 | sun full-sun | water low | tags [red, heat, drought tolerant]
- gazania-pink | "Pink Gazania" | Gazania rigens | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #e85a9a | zones 9-11 | sun full-sun | water low | tags [pink, heat, drought tolerant]
- gazania-white | "White Gazania" | Gazania rigens | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #f0ece0 | zones 9-11 | sun full-sun | water low | tags [white, cream, heat, drought tolerant]
- gazania-bronze | "Bronze Gazania" | Gazania rigens | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #c8702a | zones 9-11 | sun full-sun | water low | tags [orange, bronze, heat, drought tolerant]
- gazania-tiger | "Tiger Stripe Gazania" | Gazania 'New Day Tiger' | Annual | H 0.25m x W 0.3m | 1y | bloom Jun-Sep #e8801f | zones 9-11 | sun full-sun | water low | tags [orange, yellow, bicolor, heat, drought tolerant]
- gomphrena | "Globe Amaranth" | Gomphrena | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #d6507a | zones 9-11 | sun full-sun | water low | tags [pink, heat, cut flower, drought tolerant]
- gomphrena-purple | "Purple Globe Amaranth" | Gomphrena globosa | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #8a4aae | zones 9-11 | sun full-sun | water low | tags [purple, heat, cut flower, drought tolerant]
- gomphrena-white | "White Globe Amaranth" | Gomphrena globosa | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #f4f2ea | zones 9-11 | sun full-sun | water low | tags [white, heat, cut flower, drought tolerant]
- gomphrena-red | "Strawberry Fields" | Gomphrena haageana 'Strawberry Fields' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Oct #d2384a | zones 9-11 | sun full-sun | water low | tags [red, heat, cut flower, drought tolerant]
- gomphrena-orange | "QIS Orange" | Gomphrena haageana 'QIS Orange' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Oct #f0822a | zones 9-11 | sun full-sun | water low | tags [orange, heat, cut flower, drought tolerant]
