- camellia-pink-icicle | "Pink Icicle" | Camellia × 'Pink Icicle' | Shrub | H 1.8m x W 1.3m | 5y | bloom Feb-Apr #e898b4 | zones 6-9 | sun part-shade | water moderate | tags [pink, evergreen]
- weigela-white | "White Weigela" | Weigela florida 'Alba' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #f4f2ea | zones 4-8 | sun full-sun | water moderate | tags [white]
- weigela-sonic-bloom-pink | "Sonic Bloom Pink" | Weigela 'Sonic Bloom Pink' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Sep #e85a9a | zones 4-8 | sun full-sun | water moderate | tags [pink]
- weigela-sonic-bloom-red | "Sonic Bloom Red" | Weigela 'Sonic Bloom Red' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Sep #d22e3a | zones 4-8 | sun full-sun | water moderate | tags [red]
- weigela-minuet | "Minuet" | Weigela florida 'Minuet' | Shrub | H 0.8m x W 1m | 3y | bloom May-Jun #c83a5e | zones 4-8 | sun full-sun | water moderate | tags [pink, red, dwarf]
- weigela-czechmark-trilogy | "Czechmark Trilogy" | Weigela 'Czechmark Trilogy' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #e87a9a | zones 4-8 | sun full-sun | water moderate | tags [pink, white, red, bicolor]
- weigela-variegata | "Variegata" | Weigela florida 'Variegata' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #e89ab4 | zones 4-8 | sun full-sun | water moderate | tags [pink]
- weigela-pink-delight | "Pink Delight" | Weigela florida 'Pink Delight' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #ec8ab0 | zones 4-8 | sun full-sun | water moderate | tags [pink]
- weigela-white-knight | "White Knight" | Weigela florida 'White Knight' | Shrub | H 1.5m x W 1.5m | 3y | bloom May-Jun #f4f2ea | zones 4-8 | sun full-sun | water moderate | tags [white]
- weigela-spilled-wine | "Spilled Wine" | Weigela florida 'Spilled Wine' | Shrub | H 0.6m x W 0.9m | 3y | bloom May-Jun #cc3a7e | zones 4-8 | sun full-sun | water moderate | tags [magenta, pink]
- viburnum | "Viburnum" | Viburnum | Shrub | H 2m x W 2m | 4y | bloom Apr-May #f7f7f7 | zones 3-8 | sun full-sun | water moderate | tags [white, fragrant]
- viburnum-koreanspice | "Koreanspice" | Viburnum carlesii | Shrub | H 1.5m x W 1.5m | 4y | bloom Apr-May #f4eef0 | zones 4-8 | sun full-sun | water moderate | tags [white, pink, fragrant]
- viburnum-doublefile | "Doublefile" | Viburnum plicatum 'Mariesii' | Shrub | H 3m x W 3.5m | 5y | bloom May-Jun #f8f8f5 | zones 5-8 | sun full-sun | water moderate | tags [white]
- viburnum-snowball | "European Snowball" | Viburnum opulus 'Roseum' | Shrub | H 3.5m x W 3m | 5y | bloom May-Jun #f6f8f2 | zones 3-8 | sun full-sun | water moderate | tags [white]
- viburnum-burkwood | "Burkwood" | Viburnum × burkwoodii | Shrub | H 2.5m x W 2m | 4y | bloom Apr-May #f6f0f2 | zones 4-8 | sun full-sun | water moderate | tags [white, pink, fragrant]
- viburnum-arrowwood | "Arrowwood" | Viburnum dentatum | Shrub | H 2.5m x W 2.5m | 4y | bloom May-Jun #f7f7f4 | zones 3-8 | sun full-sun | water moderate | tags [white, native]
- viburnum-blackhaw | "Blackhaw" | Viburnum prunifolium | Shrub | H 4m x W 3m | 6y | bloom Apr-May #f6f6f3 | zones 3-9 | sun full-sun | water moderate | tags [white, native]
- crape-myrtle | "Crape Myrtle" | Lagerstroemia | Shrub | H 4m x W 3m | 5y | bloom Jul-Sep #d6507e | zones 6-10 | sun full-sun | water low | tags [pink, tree, drought tolerant]
- crape-myrtle-natchez | "Natchez" | Lagerstroemia 'Natchez' | Shrub | H 7m x W 6m | 5y | bloom Jul-Sep #f4f2ea | zones 7-10 | sun full-sun | water low | tags [white, tree, drought tolerant]
- crape-myrtle-muskogee | "Muskogee" | Lagerstroemia 'Muskogee' | Shrub | H 7m x W 5m | 5y | bloom Jul-Sep #c490c0 | zones 7-10 | sun full-sun | water low | tags [lavender, pink, purple, tree, drought tolerant]
- crape-myrtle-tuscarora | "Tuscarora" | Lagerstroemia 'Tuscarora' | Shrub | H 5m x W 4m | 5y | bloom Jul-Sep #e8607a | zones 7-10 | sun full-sun | water low | tags [coral, pink, red, tree, drought tolerant]
- crape-myrtle-dynamite | "Dynamite" | Lagerstroemia 'Dynamite' | Shrub | H 5m x W 4m | 5y | bloom Jul-Sep #cc2e3a | zones 6-10 | sun full-sun | water low | tags [red, tree, drought tolerant]
