- canna-tropicanna | "Tropicanna" | Canna 'Phasion' | Bulb | H 1.6m x W 0.7m | 1y | bloom Jul-Sep #f07028 | zones 7-10 | sun full-sun | water high | tags [orange, red, tropical]
- snowdrop-elwesii | "Giant Snowdrop" | Galanthus elwesii | Bulb | H 0.2m x W 0.1m | 1y | bloom Feb-Mar #f8f8f8 | zones 3-8 | sun part-shade | water moderate | tags [white, early]
- snowdrop-magnet | "Magnet" | Galanthus 'Magnet' | Bulb | H 0.18m x W 0.08m | 1y | bloom Feb-Mar #f7f7f7 | zones 3-7 | sun part-shade | water moderate | tags [white, early]
- snowdrop-viridapice | "Viridapice" | Galanthus nivalis 'Viridapice' | Bulb | H 0.15m x W 0.08m | 1y | bloom Feb-Mar #f0f4ea | zones 3-7 | sun part-shade | water moderate | tags [white, green, early]
- snowdrop-sam-arnott | "S. Arnott" | Galanthus 'S. Arnott' | Bulb | H 0.2m x W 0.08m | 1y | bloom Feb-Mar #fafafa | zones 3-7 | sun part-shade | water moderate | tags [white, fragrant, early]
- crocosmia | "Crocosmia" | Crocosmia | Bulb | H 0.9m x W 0.3m | 2y | bloom Jul-Aug #e8431f | zones 5-9 | sun full-sun | water moderate | tags [red]
- crocosmia-lucifer | "Lucifer" | Crocosmia 'Lucifer' | Bulb | H 1.2m x W 0.3m | 2y | bloom Jul-Aug #d6281f | zones 5-9 | sun full-sun | water moderate | tags [red]
- crocosmia-emily-mckenzie | "Emily McKenzie" | Crocosmia 'Emily McKenzie' | Bulb | H 0.6m x W 0.3m | 2y | bloom Jul-Sep #e8701f | zones 6-9 | sun full-sun | water moderate | tags [orange]
- crocosmia-george-davison | "George Davison" | Crocosmia 'George Davison' | Bulb | H 0.7m x W 0.3m | 2y | bloom Jul-Aug #f2b41e | zones 5-9 | sun full-sun | water moderate | tags [yellow]
- crocosmia-solfatare | "Solfatare" | Crocosmia × crocosmiiflora 'Solfatare' | Bulb | H 0.6m x W 0.3m | 2y | bloom Jul-Aug #f0c860 | zones 6-9 | sun full-sun | water moderate | tags [yellow, apricot]
- crocosmia-star-of-the-east | "Star of the East" | Crocosmia 'Star of the East' | Bulb | H 0.8m x W 0.3m | 2y | bloom Jul-Sep #f0902a | zones 6-9 | sun full-sun | water moderate | tags [orange]
- oriental-lily | "Oriental Lily" | Lilium | Bulb | H 1m x W 0.3m | 2y | bloom Jul-Aug #e87da8 | zones 4-9 | sun full-sun | water moderate | tags [pink, fragrant, cut flower]
- dutch-iris | "Dutch Iris" | Iris × hollandica | Bulb | H 0.6m x W 0.15m | 1y | bloom May-Jun #5f6fc0 | zones 5-9 | sun full-sun | water moderate | tags [blue, cut flower]
- ranunculus | "Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #e0533c | zones 8-10 | sun full-sun | water moderate | tags [orange, cut flower]
- ranunculus-red | "Red Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #d6283a | zones 8-10 | sun full-sun | water moderate | tags [red, cut flower]
- ranunculus-pink | "Pink Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #e85a9a | zones 8-10 | sun full-sun | water moderate | tags [pink, cut flower]
- ranunculus-white | "White Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #f4f2ea | zones 8-10 | sun full-sun | water moderate | tags [white, cut flower]
- ranunculus-yellow | "Yellow Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #f4c020 | zones 8-10 | sun full-sun | water moderate | tags [yellow, gold, cut flower]
- ranunculus-purple | "Purple Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #7a3a9e | zones 8-10 | sun full-sun | water moderate | tags [purple, violet, cut flower]
- ranunculus-salmon | "Salmon Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #f0907a | zones 8-10 | sun full-sun | water moderate | tags [coral, salmon, cut flower]
- ranunculus-magenta | "Magenta Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #cc2e7e | zones 8-10 | sun full-sun | water moderate | tags [magenta, pink, cut flower]
- ranunculus-cream | "Cream Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #f0e8d0 | zones 8-10 | sun full-sun | water moderate | tags [cream, white, cut flower]
- ranunculus-picotee-pink | "Picotee Pink" | Ranunculus asiaticus 'Picotee' | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #f0c0d0 | zones 8-10 | sun full-sun | water moderate | tags [pink, white, bicolor, cut flower]
- ranunculus-apricot | "Apricot Ranunculus" | Ranunculus asiaticus | Bulb | H 0.4m x W 0.15m | 1y | bloom Apr-May #f0b088 | zones 8-10 | sun full-sun | water moderate | tags [apricot, peach, coral, cut flower]
- anemone | "Poppy Anemone" | Anemone coronaria | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #6a5ac0 | zones 7-10 | sun full-sun | water moderate | tags [purple, blue]
