- anemone-mr-fokker | "Mr. Fokker" | Anemone coronaria 'Mr. Fokker' | Bulb | H 0.3m x W 0.15m | 1y | bloom Mar-May #5a52c0 | zones 7-10 | sun full-sun | water moderate | tags [blue, purple, violet]
- calla-lily-pink | "Pink Calla" | Zantedeschia rehmannii | Bulb | H 0.5m x W 0.3m | 1y | bloom Jun-Aug #e87aa8 | zones 8-10 | sun part-sun | water high | tags [pink, elegant]
- calla-lily-orange | "Mango Calla" | Zantedeschia 'Mango' | Bulb | H 0.6m x W 0.3m | 1y | bloom Jun-Aug #f0822a | zones 8-10 | sun part-sun | water high | tags [orange, elegant]
- calla-lily-red | "Red Calla" | Zantedeschia 'Garnet Glow' | Bulb | H 0.6m x W 0.3m | 1y | bloom Jun-Aug #c0303a | zones 8-10 | sun part-sun | water high | tags [red, elegant]
- calla-lily-purple | "Purple Calla" | Zantedeschia 'Purple Sensation' | Bulb | H 0.6m x W 0.3m | 1y | bloom Jun-Aug #7a4a9e | zones 8-10 | sun part-sun | water high | tags [purple, elegant]
- calla-lily-black | "Black Star Calla" | Zantedeschia 'Schwarzwalder' | Bulb | H 0.6m x W 0.3m | 1y | bloom Jun-Aug #2e1a2e | zones 8-10 | sun part-sun | water high | tags [purple, burgundy, elegant]
- calla-lily-picasso | "Picasso" | Zantedeschia 'Picasso' | Bulb | H 0.5m x W 0.3m | 1y | bloom Jun-Aug #9a5aa0 | zones 8-10 | sun part-sun | water high | tags [purple, white, elegant]
- windflower | "Windflower" | Anemone blanda | Bulb | H 0.15m x W 0.1m | 1y | bloom Mar-Apr #6f8fd6 | zones 4-8 | sun part-sun | water moderate | tags [blue, early]
- windflower-white-splendour | "White Splendour" | Anemone blanda 'White Splendour' | Bulb | H 0.15m x W 0.1m | 1y | bloom Mar-Apr #f4f2ea | zones 4-8 | sun part-sun | water moderate | tags [white, early]
- windflower-blue-shades | "Blue Shades" | Anemone blanda 'Blue Shades' | Bulb | H 0.15m x W 0.1m | 1y | bloom Mar-Apr #5a6fc8 | zones 4-8 | sun part-sun | water moderate | tags [blue, early]
- windflower-pink-star | "Pink Star" | Anemone blanda 'Pink Star' | Bulb | H 0.15m x W 0.1m | 1y | bloom Mar-Apr #e89ac0 | zones 4-8 | sun part-sun | water moderate | tags [pink, early]
- windflower-charmer | "Charmer" | Anemone blanda 'Charmer' | Bulb | H 0.15m x W 0.1m | 1y | bloom Mar-Apr #e07aa8 | zones 4-8 | sun part-sun | water moderate | tags [pink, early]
- windflower-radar | "Radar" | Anemone blanda 'Radar' | Bulb | H 0.15m x W 0.1m | 1y | bloom Mar-Apr #c84a8e | zones 4-8 | sun part-sun | water moderate | tags [magenta, pink, early]
- glory-of-the-snow | "Glory of the Snow" | Scilla | Bulb | H 0.12m x W 0.08m | 1y | bloom Mar-Mar #7f9fd6 | zones 3-8 | sun full-sun | water moderate | tags [blue, early]
- glory-of-the-snow-forbesii | "Blue Giant" | Scilla forbesii | Bulb | H 0.15m x W 0.08m | 1y | bloom Mar-Mar #6f8fd0 | zones 3-8 | sun full-sun | water moderate | tags [blue, early]
- glory-of-the-snow-pink | "Pink Giant" | Scilla forbesii 'Pink Giant' | Bulb | H 0.15m x W 0.08m | 1y | bloom Mar-Mar #e8a8c0 | zones 3-8 | sun full-sun | water moderate | tags [pink, early]
- glory-of-the-snow-alba | "Alba" | Scilla luciliae 'Alba' | Bulb | H 0.12m x W 0.08m | 1y | bloom Mar-Mar #f4f2ea | zones 3-8 | sun full-sun | water moderate | tags [white, early]
- glory-of-the-snow-violet-beauty | "Violet Beauty" | Scilla 'Violet Beauty' | Bulb | H 0.12m x W 0.08m | 1y | bloom Mar-Mar #7a6fc8 | zones 3-8 | sun full-sun | water moderate | tags [purple, blue, early]
- tiger-lily | "Tiger Lily" | Lilium lancifolium | Bulb | H 1.2m x W 0.3m | 2y | bloom Jul-Aug #f0701f | zones 3-9 | sun full-sun | water moderate | tags [orange]
- fritillaria | "Crown Imperial" | Fritillaria imperialis | Bulb | H 0.9m x W 0.3m | 1y | bloom Apr-May #f0901f | zones 5-8 | sun full-sun | water moderate | tags [orange, architectural]
- fritillaria-rubra | "Crown Imperial Rubra" | Fritillaria imperialis 'Rubra' | Bulb | H 0.9m x W 0.3m | 1y | bloom Apr-May #d65a1f | zones 5-8 | sun full-sun | water moderate | tags [red, orange, architectural]
- fritillaria-lutea | "Crown Imperial Lutea" | Fritillaria imperialis 'Lutea' | Bulb | H 0.9m x W 0.3m | 1y | bloom Apr-May #f2c828 | zones 5-8 | sun full-sun | water moderate | tags [yellow, architectural]
- fritillaria-meleagris | "Checkered Lily" | Fritillaria meleagris | Bulb | H 0.3m x W 0.08m | 1y | bloom Apr-May #7a4a7a | zones 3-8 | sun part-sun | water moderate | tags [purple]
