- coleus-kong-rose | "Kong Rose" | Coleus 'Kong Rose' | Annual | H 0.6m x W 0.5m | 1y | bloom (none) | zones 10-11 | sun full-shade | water moderate | tags [foliage, pink, rose, green, colorful]
- verbena-annual-blue | "Imperial Blue" | Verbena 'Superbena Imperial Blue' | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #5a6ac8 | zones 9-11 | sun full-sun | water moderate | tags [blue, purple, trailing]
- verbena-annual-magenta | "Magenta Verbena" | Verbena × hybrida | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #cc2e8e | zones 9-11 | sun full-sun | water moderate | tags [magenta, pink, trailing]
- verbena-annual-coral | "Coral Verbena" | Verbena × hybrida | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #f0705a | zones 9-11 | sun full-sun | water moderate | tags [coral, red, trailing]
- verbena-annual-lavender | "Lavender Verbena" | Verbena × hybrida | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #b89ad0 | zones 9-11 | sun full-sun | water moderate | tags [lavender, purple, trailing]
- verbena-annual-dark-purple | "EnduraScape Dark Purple" | Verbena 'EnduraScape Dark Purple' | Annual | H 0.3m x W 0.6m | 1y | bloom May-Oct #6a3a9e | zones 9-11 | sun full-sun | water moderate | tags [purple, violet, trailing]
- verbena-annual-pink-bicolor | "Pink Bicolor" | Verbena 'EnduraScape Pink Bicolor' | Annual | H 0.3m x W 0.6m | 1y | bloom May-Oct #e888b0 | zones 9-11 | sun full-sun | water moderate | tags [pink, white, bicolor, trailing]
- verbena-annual-burgundy | "Plum Wine" | Verbena 'Superbena Royale Plum Wine' | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #8a2a4e | zones 9-11 | sun full-sun | water moderate | tags [burgundy, magenta, trailing]
- verbena-annual-scarlet | "Scarlet Verbena" | Verbena 'Lanai Scarlet' | Annual | H 0.25m x W 0.5m | 1y | bloom May-Oct #d6303a | zones 9-11 | sun full-sun | water moderate | tags [red, scarlet, trailing]
- angelonia | "Angelonia" | Angelonia angustifolia | Annual | H 0.45m x W 0.3m | 1y | bloom Jun-Oct #8f6fc6 | zones 9-11 | sun full-sun | water moderate | tags [purple, heat, vertical]
- angelonia-white | "Serena White" | Angelonia 'Serena White' | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #f2f0ea | zones 9-11 | sun full-sun | water moderate | tags [white, heat, vertical]
- angelonia-pink | "Serena Rose" | Angelonia 'Serena Rose' | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #e0689e | zones 9-11 | sun full-sun | water moderate | tags [pink, rose, heat, vertical]
- angelonia-blue | "Serena Blue" | Angelonia 'Serena Blue' | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #6a6fc6 | zones 9-11 | sun full-sun | water moderate | tags [blue, purple, heat, vertical]
- angelonia-purple | "Serena Purple" | Angelonia 'Serena Purple' | Annual | H 0.4m x W 0.3m | 1y | bloom Jun-Oct #7a3a9e | zones 9-11 | sun full-sun | water moderate | tags [purple, heat, vertical]
- angelonia-raspberry | "Angelface Raspberry" | Angelonia 'Angelface Raspberry' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Oct #c0407a | zones 9-11 | sun full-sun | water moderate | tags [pink, magenta, heat, vertical]
- angelonia-wedgwood-blue | "Wedgwood Blue" | Angelonia 'Wedgwood Blue' | Annual | H 0.5m x W 0.3m | 1y | bloom Jun-Oct #8a9ad6 | zones 9-11 | sun full-sun | water moderate | tags [blue, white, heat, vertical]
