- begonia-tuberous-orange | "Tuberous Orange" | Begonia × tuberhybrida | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Sep #f0802a | zones (none) | sun part-shade | water moderate | tags [orange]
- snapdragon-yellow | "Yellow Snapdragon" | Antirrhinum 'Yellow' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #f4cc1e | zones (none) | sun full-sun | water moderate | tags [yellow, cut flower]
- snapdragon-orange | "Orange Snapdragon" | Antirrhinum 'Orange' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #f0781e | zones (none) | sun full-sun | water moderate | tags [orange, cut flower]
- snapdragon-white | "White Snapdragon" | Antirrhinum 'White' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #f4f2ea | zones (none) | sun full-sun | water moderate | tags [white, cut flower]
- snapdragon-purple | "Purple Snapdragon" | Antirrhinum 'Purple' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #8a3a96 | zones (none) | sun full-sun | water moderate | tags [purple, cut flower]
- snapdragon-rose | "Rose Snapdragon" | Antirrhinum 'Rose' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #d6486e | zones (none) | sun full-sun | water moderate | tags [pink, rose, cut flower]
- snapdragon-bronze | "Bronze Snapdragon" | Antirrhinum 'Bronze' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #c5722a | zones (none) | sun full-sun | water moderate | tags [bronze, orange, cut flower]
- snapdragon-burgundy | "Burgundy Snapdragon" | Antirrhinum 'Burgundy' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #6e2030 | zones (none) | sun full-sun | water moderate | tags [burgundy, red, cut flower]
- snapdragon-coral | "Coral Snapdragon" | Antirrhinum 'Coral' | Annual | H 0.7m x W 0.3m | 1y | bloom May-Sep #f08060 | zones (none) | sun full-sun | water moderate | tags [coral, salmon, peach, cut flower]
- snapdragon-rocket | "Rocket Snapdragon" | Antirrhinum 'Rocket' | Annual | H 0.9m x W 0.3m | 1y | bloom May-Sep #d6488e | zones (none) | sun full-sun | water moderate | tags [pink, cut flower]
- cosmos | "Cosmos" | Cosmos bipinnatus | Annual | H 1m x W 0.4m | 1y | bloom Jun-Oct #e88ab0 | zones (none) | sun full-sun | water low | tags [pink, pollinator, cut flower, drought tolerant]
- cosmos-purity | "Purity" | Cosmos bipinnatus 'Purity' | Annual | H 1.2m x W 0.4m | 1y | bloom Jun-Oct #f4f2ea | zones (none) | sun full-sun | water low | tags [white, pollinator, cut flower, drought tolerant]
- cosmos-sensation-pink | "Sensation Pink" | Cosmos bipinnatus 'Sensation Pink' | Annual | H 1.2m x W 0.4m | 1y | bloom Jun-Oct #e0689e | zones (none) | sun full-sun | water low | tags [pink, rose, pollinator, cut flower, drought tolerant]
- cosmos-rubenza | "Rubenza" | Cosmos bipinnatus 'Rubenza' | Annual | H 0.7m x W 0.4m | 1y | bloom Jun-Oct #b02842 | zones (none) | sun full-sun | water low | tags [red, crimson, burgundy, pollinator, cut flower, drought tolerant]
- cosmos-dazzler | "Dazzler" | Cosmos bipinnatus 'Dazzler' | Annual | H 1m x W 0.4m | 1y | bloom Jun-Oct #cc2e6e | zones (none) | sun full-sun | water low | tags [magenta, crimson, red, pollinator, cut flower, drought tolerant]
- cosmos-xanthos | "Xanthos" | Cosmos bipinnatus 'Xanthos' | Annual | H 0.5m x W 0.4m | 1y | bloom Jun-Oct #f0e08a | zones (none) | sun full-sun | water low | tags [yellow, pollinator, cut flower, drought tolerant]
- cosmos-apricot-lemonade | "Apricot Lemonade" | Cosmos bipinnatus 'Apricot Lemonade' | Annual | H 0.7m x W 0.4m | 1y | bloom Jun-Oct #f0c090 | zones (none) | sun full-sun | water low | tags [apricot, peach, yellow, pink, pollinator, cut flower, drought tolerant]
