- veronica-royal-candles | "Royal Candles" | Veronica spicata 'Royal Candles' | Perennial | H 0.4m x W 0.3m | 2y | bloom Jun-Aug #4a4ab0 | zones 3-8 | sun full-sun | water moderate | tags [blue, purple, violet]
- goldenrod | "Goldenrod" | Solidago | Perennial | H 0.9m x W 0.5m | 2y | bloom Aug-Oct #f4c000 | zones 3-9 | sun full-sun | water low | tags [yellow, pollinator, native, drought tolerant]
- japanese-anemone | "Japanese Anemone" | Anemone hupehensis | Perennial | H 0.9m x W 0.5m | 2y | bloom Aug-Oct #eaa6c6 | zones 4-8 | sun part-shade | water moderate | tags [pink]
- hardy-geranium | "Hardy Geranium" | Geranium | Perennial | H 0.4m x W 0.6m | 2y | bloom May-Aug #a06fc6 | zones 4-8 | sun part-sun | water moderate | tags [purple, groundcover]
- hardy-geranium-rozanne | "Rozanne" | Geranium 'Rozanne' | Perennial | H 0.5m x W 0.9m | 2y | bloom Jun-Oct #5a6fc8 | zones 4-8 | sun part-sun | water moderate | tags [blue, purple, violet, groundcover, pollinator]
- hardy-geranium-johnsons-blue | "Johnson's Blue" | Geranium 'Johnson's Blue' | Perennial | H 0.45m x W 0.6m | 2y | bloom May-Jul #6a7ad0 | zones 4-8 | sun part-sun | water moderate | tags [blue, groundcover, pollinator]
- hardy-geranium-wargrave-pink | "Wargrave Pink" | Geranium × oxonianum 'Wargrave Pink' | Perennial | H 0.5m x W 0.6m | 2y | bloom May-Aug #e88aa8 | zones 4-8 | sun part-sun | water moderate | tags [pink, groundcover, pollinator]
- hardy-geranium-ann-folkard | "Ann Folkard" | Geranium 'Ann Folkard' | Perennial | H 0.4m x W 0.9m | 2y | bloom Jun-Sep #c23a8e | zones 4-8 | sun part-sun | water moderate | tags [magenta, purple, groundcover, pollinator]
- hardy-geranium-biokovo | "Biokovo" | Geranium × cantabrigiense 'Biokovo' | Perennial | H 0.25m x W 0.5m | 2y | bloom May-Jul #f0e4ea | zones 4-8 | sun part-sun | water moderate | tags [white, pink, groundcover, pollinator]
- hardy-geranium-brookside | "Brookside" | Geranium 'Brookside' | Perennial | H 0.5m x W 0.6m | 2y | bloom Jun-Aug #5a6ac8 | zones 4-8 | sun part-sun | water moderate | tags [blue, violet, groundcover, pollinator]
- hardy-geranium-max-frei | "Max Frei" | Geranium sanguineum 'Max Frei' | Perennial | H 0.25m x W 0.4m | 2y | bloom May-Aug #c23a7e | zones 4-8 | sun part-sun | water moderate | tags [magenta, pink, groundcover, pollinator]
- hardy-geranium-kashmir-white | "Kashmir White" | Geranium clarkei 'Kashmir White' | Perennial | H 0.5m x W 0.6m | 2y | bloom Jun-Jul #f2f0e8 | zones 4-8 | sun part-sun | water moderate | tags [white, groundcover, pollinator]
- hardy-geranium-patricia | "Patricia" | Geranium 'Patricia' | Perennial | H 0.6m x W 0.7m | 2y | bloom Jun-Sep #cc3a7e | zones 4-8 | sun part-sun | water moderate | tags [magenta, pink, groundcover, pollinator]
- hardy-geranium-new-hampshire-purple | "New Hampshire Purple" | Geranium sanguineum 'New Hampshire Purple' | Perennial | H 0.3m x W 0.5m | 2y | bloom May-Aug #a83a9e | zones 4-8 | sun part-sun | water moderate | tags [purple, magenta, groundcover, pollinator]
- creeping-phlox | "Creeping Phlox" | Phlox subulata | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #c46fb0 | zones 3-9 | sun full-sun | water low | tags [pink, groundcover, drought tolerant]
- creeping-phlox-emerald-blue | "Emerald Blue" | Phlox subulata 'Emerald Blue' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #9a9ad0 | zones 3-9 | sun full-sun | water low | tags [blue, lavender, groundcover, drought tolerant]
- creeping-phlox-candy-stripe | "Candy Stripe" | Phlox subulata 'Candy Stripe' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #f0a8c8 | zones 3-9 | sun full-sun | water low | tags [pink, white, bicolor, groundcover, drought tolerant]
- creeping-phlox-scarlet-flame | "Scarlet Flame" | Phlox subulata 'Scarlet Flame' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #d63a52 | zones 3-9 | sun full-sun | water low | tags [red, magenta, groundcover, drought tolerant]
- creeping-phlox-purple-beauty | "Purple Beauty" | Phlox subulata 'Purple Beauty' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #8a4aae | zones 3-9 | sun full-sun | water low | tags [purple, violet, groundcover, drought tolerant]
- creeping-phlox-white-delight | "White Delight" | Phlox subulata 'White Delight' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #f4f2ea | zones 3-9 | sun full-sun | water low | tags [white, groundcover, drought tolerant]
- creeping-phlox-emerald-pink | "Emerald Pink" | Phlox subulata 'Emerald Pink' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #ec7ab0 | zones 3-9 | sun full-sun | water low | tags [pink, groundcover, drought tolerant]
- creeping-phlox-amazing-grace | "Amazing Grace" | Phlox subulata 'Amazing Grace' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #f2e0ea | zones 3-9 | sun full-sun | water low | tags [white, pink, bicolor, groundcover, drought tolerant]
- creeping-phlox-red-wings | "Red Wings" | Phlox subulata 'Red Wings' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #cc2e4e | zones 3-9 | sun full-sun | water low | tags [red, magenta, bicolor, groundcover, drought tolerant]
- creeping-phlox-drummonds-pink | "Drummond's Pink" | Phlox subulata 'Drummond's Pink' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #e85a9a | zones 3-9 | sun full-sun | water low | tags [pink, rose, groundcover, drought tolerant]
- creeping-phlox-snowflake | "Snowflake" | Phlox subulata 'Snowflake' | Perennial | H 0.15m x W 0.5m | 2y | bloom Apr-May #f2f0e8 | zones 3-9 | sun full-sun | water low | tags [white, groundcover, drought tolerant]
