- daylily | "Daylily" | Hemerocallis | Perennial | H 0.8m x W 0.6m | 2y | bloom Jun-Aug #f08a3c | zones 3-9 | sun full-sun | water moderate | tags [orange, easy]
- coneflower-hot-papaya | "Hot Papaya" | Echinacea 'Hot Papaya' | Perennial | H 0.8m x W 0.5m | 2y | bloom Jul-Sep #e8552a | zones 4-9 | sun full-sun | water low | tags [orange, red, double, drought tolerant]
- coneflower-sombrero-salsa-red | "Sombrero Salsa Red" | Echinacea 'Sombrero Salsa Red' | Perennial | H 0.55m x W 0.5m | 2y | bloom Jun-Sep #cc3a2a | zones 4-9 | sun full-sun | water low | tags [red, pollinator, drought tolerant]
- coneflower-sombrero-adobe-orange | "Sombrero Adobe Orange" | Echinacea 'Sombrero Adobe Orange' | Perennial | H 0.55m x W 0.5m | 2y | bloom Jun-Sep #e8742a | zones 4-9 | sun full-sun | water low | tags [orange, pollinator, drought tolerant]
- coneflower-sombrero-lemon-yellow | "Sombrero Lemon Yellow" | Echinacea 'Sombrero Lemon Yellow' | Perennial | H 0.55m x W 0.5m | 2y | bloom Jun-Sep #f2c83a | zones 4-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- coneflower-green-jewel | "Green Jewel" | Echinacea purpurea 'Green Jewel' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jul-Sep #b8c468 | zones 4-9 | sun full-sun | water low | tags [green, pollinator, drought tolerant]
- coneflower-pink-double-delight | "Pink Double Delight" | Echinacea 'Pink Double Delight' | Perennial | H 0.5m x W 0.4m | 2y | bloom Jul-Sep #e87aa8 | zones 4-9 | sun full-sun | water low | tags [pink, double, drought tolerant]
- coneflower-marmalade | "Marmalade" | Echinacea 'Marmalade' | Perennial | H 0.7m x W 0.5m | 2y | bloom Jul-Sep #e8902a | zones 4-9 | sun full-sun | water low | tags [orange, double, drought tolerant]
- coneflower-kismet-raspberry | "Kismet Raspberry" | Echinacea 'Kismet Raspberry' | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Sep #be3a72 | zones 4-9 | sun full-sun | water low | tags [magenta, pink, pollinator, drought tolerant]
- coneflower-tomato-soup | "Tomato Soup" | Echinacea 'Tomato Soup' | Perennial | H 0.8m x W 0.5m | 2y | bloom Jul-Sep #cc3826 | zones 4-9 | sun full-sun | water low | tags [red, pollinator, drought tolerant]
- coneflower-sombrero-hot-coral | "Sombrero Hot Coral" | Echinacea 'Sombrero Hot Coral' | Perennial | H 0.55m x W 0.5m | 2y | bloom Jun-Sep #f0734e | zones 4-9 | sun full-sun | water low | tags [coral, orange, pollinator, drought tolerant]
- coneflower-coconut-lime | "Coconut Lime" | Echinacea 'Coconut Lime' | Perennial | H 0.6m x W 0.5m | 2y | bloom Jul-Sep #d8dcc0 | zones 4-9 | sun full-sun | water low | tags [white, green, double, drought tolerant]
- black-eyed-susan | "Black-Eyed Susan" | Rudbeckia | Perennial | H 0.8m x W 0.5m | 2y | bloom Jul-Sep #f4b400 | zones 3-9 | sun full-sun | water low | tags [yellow, pollinator, native, drought tolerant]
- black-eyed-susan-goldsturm | "Goldsturm" | Rudbeckia fulgida 'Goldsturm' | Perennial | H 0.7m x W 0.5m | 2y | bloom Jul-Sep #f0a81e | zones 3-9 | sun full-sun | water low | tags [yellow, gold, pollinator, native, drought tolerant]
