- sedum-brilliant | "Brilliant Sedum" | Hylotelephium spectabile 'Brilliant' | Perennial | H 0.5m x W 0.5m | 2y | bloom Aug-Oct #d6588e | zones 3-9 | sun full-sun | water low | tags [pink, rose, drought tolerant]
- aster-raydons-favorite | "Raydon's Favorite" | Symphyotrichum oblongifolium 'Raydon's Favorite' | Perennial | H 0.8m x W 0.9m | 2y | bloom Sep-Nov #7a6fc8 | zones 3-8 | sun full-sun | water low | tags [blue, purple, violet, pollinator, drought tolerant]
- aster-professor-kippenberg | "Professor Kippenberg" | Symphyotrichum novi-belgii 'Professor Anton Kippenberg' | Perennial | H 0.4m x W 0.4m | 2y | bloom Sep-Oct #8a8ad0 | zones 4-8 | sun full-sun | water moderate | tags [blue, lavender, pollinator]
- coral-bells | "Coral Bells" | Heuchera | Perennial | H 0.4m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [foliage]
- coral-bells-palace-purple | "Palace Purple" | Heuchera 'Palace Purple' | Perennial | H 0.4m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [purple, burgundy, foliage]
- coral-bells-caramel | "Caramel" | Heuchera 'Caramel' | Perennial | H 0.35m x W 0.45m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [caramel, amber, orange, foliage]
- coral-bells-obsidian | "Obsidian" | Heuchera 'Obsidian' | Perennial | H 0.35m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [black, purple, foliage]
- coral-bells-lime-rickey | "Lime Rickey" | Heuchera 'Lime Rickey' | Perennial | H 0.3m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun full-shade | water moderate | tags [lime, green, chartreuse, foliage]
- coral-bells-georgia-peach | "Georgia Peach" | Heuchera 'Georgia Peach' | Perennial | H 0.4m x W 0.5m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [peach, amber, apricot, foliage]
- coral-bells-plum-pudding | "Plum Pudding" | Heuchera 'Plum Pudding' | Perennial | H 0.35m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [purple, plum, foliage]
- coral-bells-marmalade | "Marmalade" | Heuchera 'Marmalade' | Perennial | H 0.35m x W 0.45m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [amber, caramel, orange, foliage]
- coral-bells-forever-red | "Forever Red" | Heuchera 'Forever Red' | Perennial | H 0.3m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [red, burgundy, foliage]
- coral-bells-citronelle | "Citronelle" | Heuchera 'Citronelle' | Perennial | H 0.35m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun full-shade | water moderate | tags [yellow, lime, green, chartreuse, foliage]
- coral-bells-silver-scrolls | "Silver Scrolls" | Heuchera 'Silver Scrolls' | Perennial | H 0.4m x W 0.45m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [silver, purple, foliage]
- coral-bells-melting-fire | "Melting Fire" | Heuchera 'Melting Fire' | Perennial | H 0.3m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [red, purple, foliage]
- coral-bells-berry-smoothie | "Berry Smoothie" | Heuchera 'Berry Smoothie' | Perennial | H 0.45m x W 0.5m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [pink, rose, magenta, foliage]
- coral-bells-forever-purple | "Forever Purple" | Heuchera 'Forever Purple' | Perennial | H 0.35m x W 0.45m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [purple, violet, foliage]
- coral-bells-midnight-rose | "Midnight Rose" | Heuchera 'Midnight Rose' | Perennial | H 0.35m x W 0.4m | 2y | bloom (none) | zones 4-9 | sun part-shade | water moderate | tags [black, pink, purple, variegated, foliage]
