- chrysanthemum | "Garden Mum" | Chrysanthemum | Perennial | H 0.6m x W 0.6m | 1y | bloom Sep-Oct #e0602e | zones 5-9 | sun full-sun | water moderate | tags [orange]
- dianthus-firewitch | "Firewitch" | Dianthus gratianopolitanus 'Firewitch' | Perennial | H 0.2m x W 0.3m | 2y | bloom May-Jul #d83a82 | zones 3-9 | sun full-sun | water low | tags [magenta, pink, fragrant, drought tolerant]
- dianthus-baths-pink | "Bath's Pink" | Dianthus 'Bath's Pink' | Perennial | H 0.25m x W 0.3m | 2y | bloom May-Jun #f0a0c0 | zones 3-9 | sun full-sun | water low | tags [pink, fragrant, drought tolerant]
- dianthus-maiden-pink | "Maiden Pink" | Dianthus deltoides | Perennial | H 0.2m x W 0.4m | 2y | bloom May-Jul #d6285e | zones 3-9 | sun full-sun | water low | tags [magenta, red, pink, drought tolerant]
- dianthus-frosty-fire | "Frosty Fire" | Dianthus 'Frosty Fire' | Perennial | H 0.25m x W 0.3m | 2y | bloom May-Jul #cc2a3a | zones 3-9 | sun full-sun | water low | tags [red, double, fragrant, drought tolerant]
- dianthus-coconut-surprise | "Coconut Surprise" | Dianthus 'Coconut Surprise' | Perennial | H 0.25m x W 0.3m | 2y | bloom May-Jul #f2eee8 | zones 3-9 | sun full-sun | water low | tags [white, red, bicolor, fragrant, drought tolerant]
- dianthus-neon-star | "Neon Star" | Dianthus 'Neon Star' | Perennial | H 0.2m x W 0.3m | 2y | bloom May-Jul #e0307e | zones 3-9 | sun full-sun | water low | tags [magenta, pink, fragrant, drought tolerant]
- dianthus-tiny-rubies | "Tiny Rubies" | Dianthus gratianopolitanus 'Tiny Rubies' | Perennial | H 0.15m x W 0.25m | 2y | bloom May-Jun #c84878 | zones 3-9 | sun full-sun | water low | tags [pink, magenta, double, dwarf, fragrant, drought tolerant]
- dianthus-brilliant | "Brilliant" | Dianthus deltoides 'Brilliant' | Perennial | H 0.2m x W 0.35m | 2y | bloom May-Jul #d62a36 | zones 3-9 | sun full-sun | water low | tags [red, fragrant, drought tolerant]
- dianthus-georgia-peach-pie | "Georgia Peach Pie" | Dianthus 'Georgia Peach Pie' | Perennial | H 0.25m x W 0.3m | 2y | bloom May-Aug #f0a888 | zones 3-9 | sun full-sun | water low | tags [peach, coral, pink, bicolor, fragrant, drought tolerant]
- dianthus-pink-fire | "Pink Fire" | Dianthus gratianopolitanus 'Pink Fire' | Perennial | H 0.2m x W 0.3m | 2y | bloom May-Jul #e23a86 | zones 3-9 | sun full-sun | water low | tags [pink, magenta, double, fragrant, drought tolerant]
- dianthus-mountain-frost-ruby | "Mountain Frost Ruby" | Dianthus 'Mountain Frost Ruby Snow' | Perennial | H 0.25m x W 0.3m | 2y | bloom May-Aug #d6486e | zones 3-9 | sun full-sun | water low | tags [red, pink, bicolor, fragrant, drought tolerant]
- dianthus-white-pinks | "White Pinks" | Dianthus 'White' | Perennial | H 0.25m x W 0.3m | 2y | bloom May-Jul #f4f2ea | zones 3-9 | sun full-sun | water low | tags [white, fragrant, drought tolerant]
- penstemon | "Penstemon" | Penstemon | Perennial | H 0.7m x W 0.4m | 2y | bloom Jun-Aug #c05a9e | zones 3-8 | sun full-sun | water low | tags [pink, pollinator, native, drought tolerant]
- echinops | "Globe Thistle" | Echinops | Perennial | H 1m x W 0.6m | 2y | bloom Jul-Aug #5e6fb0 | zones 3-9 | sun full-sun | water low | tags [blue, architectural, pollinator, drought tolerant]
- hardy-hibiscus | "Hardy Hibiscus" | Hibiscus moscheutos | Perennial | H 1.2m x W 0.9m | 2y | bloom Jul-Sep #e24d8a | zones 5-9 | sun full-sun | water high | tags [pink, large]
- hardy-hibiscus-lord-baltimore | "Lord Baltimore" | Hibiscus moscheutos 'Lord Baltimore' | Perennial | H 1.4m x W 0.9m | 2y | bloom Jul-Sep #d6283a | zones 5-9 | sun full-sun | water high | tags [red, large]
- hardy-hibiscus-lady-baltimore | "Lady Baltimore" | Hibiscus moscheutos 'Lady Baltimore' | Perennial | H 1.4m x W 0.9m | 2y | bloom Jul-Sep #e87aa8 | zones 5-9 | sun full-sun | water high | tags [pink, bicolor, large]
- hardy-hibiscus-midnight-marvel | "Midnight Marvel" | Hibiscus 'Midnight Marvel' | Perennial | H 1.2m x W 0.9m | 2y | bloom Jul-Sep #cc2832 | zones 5-9 | sun full-sun | water high | tags [red, large]
- hardy-hibiscus-berry-awesome | "Berry Awesome" | Hibiscus 'Berry Awesome' | Perennial | H 1.2m x W 1.1m | 2y | bloom Jul-Sep #d66aa8 | zones 5-9 | sun full-sun | water high | tags [pink, lavender, bicolor, large]
