- clematis | "Clematis" | Clematis | Climber | H 3m x W 1m | 3y | bloom May-Sep #7e5fbe | zones 4-9 | sun full-sun | water moderate | tags [purple, vine]
- clematis-hagley-hybrid | "Hagley Hybrid" | Clematis 'Hagley Hybrid' | Climber | H 2.5m x W 1m | 3y | bloom Jun-Sep #e8a0bc | zones 4-9 | sun part-shade | water moderate | tags [pink, vine]
- clematis-sweet-autumn | "Sweet Autumn Clematis" | Clematis terniflora | Climber | H 4m x W 1.5m | 3y | bloom Aug-Oct #f2f0e6 | zones 4-9 | sun full-sun | water moderate | tags [white, fragrant, vine]
- wisteria | "Wisteria" | Wisteria | Climber | H 8m x W 4m | 5y | bloom Apr-May #9b8fd6 | zones 5-9 | sun full-sun | water moderate | tags [purple, fragrant, vine]
- wisteria-white | "White Wisteria (Alba)" | Wisteria floribunda 'Alba' | Climber | H 8m x W 4m | 5y | bloom Apr-May #f2efe6 | zones 5-9 | sun full-sun | water moderate | tags [white, fragrant, vine]
- wisteria-pink | "Pink Wisteria (Rosea)" | Wisteria floribunda 'Rosea' | Climber | H 8m x W 4m | 5y | bloom Apr-May #d9a8c0 | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, vine]
- wisteria-blue | "Blue Moon Wisteria" | Wisteria macrostachya 'Blue Moon' | Climber | H 6m x W 3m | 5y | bloom Apr-May #7e8fd0 | zones 3-9 | sun full-sun | water moderate | tags [blue, fragrant, vine]
- wisteria-lavender | "Amethyst Falls Wisteria" | Wisteria frutescens 'Amethyst Falls' | Climber | H 6m x W 3m | 5y | bloom Apr-May #b89fd8 | zones 5-9 | sun full-sun | water moderate | tags [lavender, fragrant, vine]
- honeysuckle | "Honeysuckle" | Lonicera | Climber | H 4m x W 2m | 3y | bloom May-Aug #f4a000 | zones 4-9 | sun full-sun | water moderate | tags [orange, fragrant, vine]
- honeysuckle-red | "Major Wheeler" | Lonicera sempervirens 'Major Wheeler' | Climber | H 3m x W 2m | 3y | bloom May-Aug #cf3a2a | zones 4-9 | sun full-sun | water moderate | tags [red, fragrant, vine]
- honeysuckle-pink | "Goldflame Honeysuckle" | Lonicera heckrottii 'Goldflame' | Climber | H 4m x W 2m | 3y | bloom May-Aug #d96a9a | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, vine]
- honeysuckle-yellow | "Scentsation Honeysuckle" | Lonicera periclymenum 'Scentsation' | Climber | H 4m x W 2m | 3y | bloom May-Aug #f0d24a | zones 4-9 | sun full-sun | water moderate | tags [yellow, fragrant, vine]
- honeysuckle-white | "Dutch Woodbine" | Lonicera periclymenum 'Belgica' | Climber | H 5m x W 2m | 3y | bloom May-Aug #f2ecd6 | zones 5-9 | sun full-sun | water moderate | tags [white, fragrant, vine]
- morning-glory | "Morning Glory" | Ipomoea | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #5e6fc6 | zones (none) | sun full-sun | water moderate | tags [blue, vine, annual]
- morning-glory-purple | "Grandpa Ott's" | Ipomoea purpurea | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #6a2a8e | zones (none) | sun full-sun | water moderate | tags [purple, vine, annual]
- morning-glory-red | "Scarlett O'Hara" | Ipomoea nil | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #c2342e | zones (none) | sun full-sun | water moderate | tags [red, vine, annual]
- morning-glory-white | "Pearly Gates" | Ipomoea tricolor 'Pearly Gates' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #f4f1ea | zones (none) | sun full-sun | water moderate | tags [white, vine, annual]
- morning-glory-magenta | "Crimson Rambler" | Ipomoea purpurea 'Crimson Rambler' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #a83a6a | zones (none) | sun full-sun | water moderate | tags [magenta, vine, annual]
- morning-glory-pink | "Sunrise Serenade" | Ipomoea purpurea 'Sunrise Serenade' | Climber | H 3m x W 1m | 1y | bloom Jun-Oct #e08bb0 | zones (none) | sun full-sun | water moderate | tags [pink, vine, annual]
- climbing-hydrangea | "Climbing Hydrangea" | Hydrangea petiolaris | Climber | H 8m x W 2m | 5y | bloom Jun-Jul #f3f0ea | zones 4-8 | sun part-shade | water moderate | tags [white, vine]
- climbing-rose | "Climbing Rose" | Rosa | Climber | H 3m x W 1.5m | 3y | bloom May-Sep #e0507e | zones 5-9 | sun full-sun | water moderate | tags [pink, rose, fragrant, vine]
- jasmine | "Jasmine" | Jasminum officinale | Climber | H 3m x W 1.5m | 3y | bloom Jun-Aug #fbfbf5 | zones 7-10 | sun full-sun | water moderate | tags [white, fragrant, vine]
