- ageratum | "Ageratum" | Ageratum houstonianum | Annual | H 0.3m x W 0.3m | 1y | bloom Jun-Oct #8f9fd6 | zones 10-11 | sun full-sun | water moderate | tags [blue, edging]
- portulaca-yellow | "Yellow Portulaca" | Portulaca grandiflora | Annual | H 0.15m x W 0.3m | 1y | bloom Jun-Sep #f4c81e | zones 10-11 | sun full-sun | water low | tags [yellow, succulent, heat, groundcover, drought tolerant]
- portulaca-pink | "Pink Portulaca" | Portulaca grandiflora | Annual | H 0.15m x W 0.3m | 1y | bloom Jun-Sep #e87aa8 | zones 10-11 | sun full-sun | water low | tags [pink, succulent, heat, groundcover, drought tolerant]
- portulaca-white | "White Portulaca" | Portulaca grandiflora | Annual | H 0.15m x W 0.3m | 1y | bloom Jun-Sep #f4f2ea | zones 10-11 | sun full-sun | water low | tags [white, succulent, heat, groundcover, drought tolerant]
- portulaca-magenta | "Magenta Portulaca" | Portulaca grandiflora | Annual | H 0.15m x W 0.3m | 1y | bloom Jun-Sep #c83a8e | zones 10-11 | sun full-sun | water low | tags [magenta, succulent, heat, groundcover, drought tolerant]
- larkspur | "Larkspur" | Consolida | Annual | H 0.9m x W 0.2m | 1y | bloom May-Jul #6f5fc0 | zones 2-11 | sun full-sun | water moderate | tags [purple, cottage, cut flower]
- larkspur-blue | "Blue Larkspur" | Consolida ajacis | Annual | H 0.9m x W 0.2m | 1y | bloom May-Jul #4a5fc0 | zones 2-11 | sun full-sun | water moderate | tags [blue, cottage, cut flower]
- larkspur-white | "White Larkspur" | Consolida ajacis | Annual | H 0.9m x W 0.2m | 1y | bloom May-Jul #f4f2ea | zones 2-11 | sun full-sun | water moderate | tags [white, cottage, cut flower]
- larkspur-pink | "Pink Larkspur" | Consolida ajacis | Annual | H 0.9m x W 0.2m | 1y | bloom May-Jul #e87aa8 | zones 2-11 | sun full-sun | water moderate | tags [pink, cottage, cut flower]
- larkspur-rose | "Rose Larkspur" | Consolida ajacis | Annual | H 0.9m x W 0.2m | 1y | bloom May-Jul #d0588e | zones 2-11 | sun full-sun | water moderate | tags [pink, rose, cottage, cut flower]
- larkspur-lavender | "Lavender Larkspur" | Consolida ajacis | Annual | H 0.9m x W 0.2m | 1y | bloom May-Jul #b89ad0 | zones 2-11 | sun full-sun | water moderate | tags [lavender, purple, cottage, cut flower]
- stock | "Stock" | Matthiola | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #d68fc6 | zones 2-11 | sun full-sun | water moderate | tags [pink, fragrant, cut flower]
- stock-white | "White Stock" | Matthiola incana | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #f4f2ea | zones 2-11 | sun full-sun | water moderate | tags [white, fragrant, cut flower]
- stock-purple | "Purple Stock" | Matthiola incana | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #8a5aae | zones 2-11 | sun full-sun | water moderate | tags [purple, fragrant, cut flower]
- stock-red | "Red Stock" | Matthiola incana | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #c83a5a | zones 2-11 | sun full-sun | water moderate | tags [red, fragrant, cut flower]
- stock-lavender | "Lavender Stock" | Matthiola incana | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #b89ad0 | zones 2-11 | sun full-sun | water moderate | tags [lavender, purple, fragrant, cut flower]
- stock-cream | "Cream Stock" | Matthiola incana | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #f0e8c0 | zones 2-11 | sun full-sun | water moderate | tags [cream, yellow, fragrant, cut flower]
- stock-rose | "Rose Stock" | Matthiola incana | Annual | H 0.5m x W 0.2m | 1y | bloom Apr-Jun #d0588e | zones 2-11 | sun full-sun | water moderate | tags [pink, rose, fragrant, cut flower]
- canterbury-bells | "Canterbury Bells" | Campanula medium | Annual | H 0.7m x W 0.3m | 1y | bloom May-Jun #7f6fc6 | zones 4-10 | sun full-sun | water moderate | tags [purple, cottage]
- canterbury-bells-blue | "Blue Canterbury Bells" | Campanula medium | Annual | H 0.7m x W 0.3m | 1y | bloom May-Jun #4f63bf | zones 4-10 | sun full-sun | water moderate | tags [blue, cottage]
- canterbury-bells-pink | "Pink Canterbury Bells" | Campanula medium | Annual | H 0.7m x W 0.3m | 1y | bloom May-Jun #e487b0 | zones 4-10 | sun full-sun | water moderate | tags [pink, cottage]
- canterbury-bells-white | "White Canterbury Bells" | Campanula medium | Annual | H 0.7m x W 0.3m | 1y | bloom May-Jun #f5f2ec | zones 4-10 | sun full-sun | water moderate | tags [white, cottage]
- canterbury-bells-lavender | "Lavender Canterbury Bells" | Campanula medium | Annual | H 0.7m x W 0.3m | 1y | bloom May-Jun #bfa3dc | zones 4-10 | sun full-sun | water moderate | tags [lavender, cottage]
