- meadow-rue | "Meadow Rue" | Thalictrum | Perennial | H 1.2m x W 0.5m | 2y | bloom Jun-Jul #c89fd6 | zones 4-8 | sun part-shade | water moderate | tags [purple, airy, tall]
- black-adder-agastache | "Black Adder Agastache" | Agastache 'Black Adder' | Perennial | H 0.6m x W 0.45m | 1y | bloom Jul-Oct #5b3f7f | zones 6-11 | sun full-sun | water low | tags [purple, agastache, hyssop, fragrant, drought tolerant, attracts pollinators]
- blue-fortune-agastache | "Blue Fortune Agastache" | Agastache 'Blue Fortune' | Perennial | H 0.9m x W 0.6m | 1y | bloom Jul-Oct #5b7bb6 | zones 5-10 | sun full-sun | water moderate | tags [blue, agastache, fragrant, pollinator, drought tolerant]
- brunner-jack-frost | "Brunner 'Jack Frost'" | Brunnera macrophylla 'Jack Frost' | Perennial | H 0.45m x W 0.6m | 2y | bloom Apr-Jun #6ba3d4 | zones 3-8 | sun part-shade | water moderate | tags [blue, silver foliage, variegated, shade tolerant, spring bloomer, brunnera, siberian bugloss]
- brunner-silver-heart | "Brunner 'Silver Heart'" | Brunnera macrophylla 'Silver Heart' | Perennial | H 0.45m x W 0.6m | 2y | bloom Apr-Jun #6ba3d4 | zones 3-8 | sun part-shade | water moderate | tags [blue, silver foliage, variegated, shade tolerant, spring bloomer, brunnera, siberian bugloss]
- california-fuchsia | "California Fuchsia" | Epilobium canum | Perennial | H 0.6m x W 0.9m | 2y | bloom Jul-Oct #e8321a | zones 7-11 | sun full-sun | water low | tags [california k, california fuchsia, epilobium, zauschneria, red, orange-red, drought tolerant, hummingbird, native, california native]
- common-orange-daylily | "Common Orange Daylily" | Hemerocallis fulva | Perennial | H 1m x W 0.9m | 2y | bloom Jun-Jul #e8621a | zones 3-9 | sun full-sun | water low | tags [day lily, daylily, orange, tawny daylily, wild daylily, hemerocallis, naturalising, drought tolerant, vigorous]
- giant-coneflower | "Big Sky Sunset Coneflower" | Echinacea 'Sunset' | Perennial | H 1.2m x W 0.6m | 2y | bloom Jun-Sep #ff8c42 | zones 3-9 | sun full-sun | water low | tags [orange, echinacea, coneflower, fragrant, drought tolerant, pollinator]
- giant-hyssop-ginger | "Giant Hyssop 'Ginger'" | Agastache 'Ginger' | Perennial | H 0.9m x W 0.6m | 1y | bloom Jul-Oct #d4724a | zones 6-11 | sun full-sun | water moderate | tags [agastache, giant hyssop, orange, peach, fragrant, pollinator, drought tolerant]
- hollyhock-blacknight | "Hollyhock 'Blacknight'" | Alcea rosea 'Blacknight' | Perennial | H 1.5m x W 0.6m | 2y | bloom Jun-Sep #5a1a1a | zones 2-11 | sun full-sun | water moderate | tags [alcea, hollyhock, crimson, dark red, burgundy, cottage garden, tall, dramatic]
- hollyhock-chaters-double | "Hollyhock 'Chater's Double'" | Alcea rosea 'Chater's Double' | Perennial | H 1.8m x W 0.6m | 2y | bloom Jun-Sep #f5a3d5 | zones 3-9 | sun full-sun | water moderate | tags [alcea, hollyhock, pink, double, ruffled, tall, cottage garden, biennial]
- hollyhock-peach | "Hollyhock 'Peach'" | Alcea rosea 'Peach' | Perennial | H 1.5m x W 0.6m | 2y | bloom Jun-Sep #f5a67d | zones 2-11 | sun full-sun | water moderate | tags [alcea, hollyhock, peach, apricot, warm tones, cottage garden, tall]
- new-england-aster | "New England Aster" | Symphyotrichum novae-angliae | Perennial | H 1.2m x W 0.6m | 1y | bloom Aug-Nov #9966cc | zones 3-8 | sun full-sun | water moderate | tags [purple, aster, aster novae-angliae, fall blooming, native, pollinator friendly]
- new-england-aster-barrs-pink | "New England Aster 'Barr's Pink'" | Symphyotrichum novae-angliae 'Barr's Pink' | Perennial | H 1m x W 0.6m | 1y | bloom Aug-Nov #f4a6c1 | zones 3-8 | sun full-sun | water moderate | tags [pink, aster, symphyotrichum, fall blooming, native, pollinator friendly, cultivar]
- new-england-aster-harringtons-pink | "New England Aster 'Harrington's Pink'" | Symphyotrichum novae-angliae 'Harrington's Pink' | Perennial | H 1.2m x W 0.6m | 1y | bloom Aug-Nov #f4a6c1 | zones 3-8 | sun full-sun | water moderate | tags [pink, aster, symphyotrichum, new england, fall blooming, native, pollinator friendly]
- orange-coneflower | "Orange Coneflower" | Echinacea 'Harvest Moon' | Perennial | H 0.75m x W 0.6m | 2y | bloom Jul-Oct #ff8c00 | zones 3-8 | sun full-sun | water moderate | tags [orange, coneflower, echinacea, attracts pollinators, long blooming]
- pink-damask-daylily | "Pink Damask Daylily" | Hemerocallis 'Pink Damask' | Perennial | H 0.75m x W 0.6m | 2y | bloom Jun-Aug #e07ba0 | zones 3-9 | sun full-sun | water moderate | tags [day lily, daylily, pink, salmon pink, hemerocallis, border, cottage garden, repeat blooming]
- stafford-daylily | "Stafford Daylily" | Hemerocallis 'Stafford' | Perennial | H 0.75m x W 0.6m | 2y | bloom Jun-Jul #b81c1c | zones 3-9 | sun full-sun | water moderate | tags [day lily, daylily, red, crimson, deep red, hemerocallis, border, cottage garden]
- sunrise-agastache | "Sunrise Agastache" | Agastache 'Sunrise' | Perennial | H 0.75m x W 0.6m | 1y | bloom Jun-Oct #f5b87d | zones 6-11 | sun full-sun | water low | tags [orange, peach, agastache, hyssop, fragrant, drought tolerant, attracts pollinators]
- sunset-hyssop | "Sunset Hyssop" | Agastache 'Sunset' | Perennial | H 0.75m x W 0.5m | 1y | bloom Jun-Oct #ff6b35 | zones 6-11 | sun full-sun | water moderate | tags [agastache, giant hyssop, orange, red, fragrant, pollinator, long blooming]
