- crape-myrtle-sioux | "Sioux" | Lagerstroemia 'Sioux' | Shrub | H 4m x W 3m | 5y | bloom Jul-Sep #e85a9a | zones 7-10 | sun full-sun | water low | tags [pink, magenta, tree, drought tolerant]
- potentilla-mckays-white | "McKay's White" | Potentilla fruticosa 'McKay's White' | Shrub | H 0.8m x W 1m | 3y | bloom Jun-Sep #f2f0e6 | zones 2-7 | sun full-sun | water low | tags [white, cream, drought tolerant]
- potentilla-happy-face-yellow | "Happy Face Yellow" | Potentilla fruticosa 'Happy Face Yellow' | Shrub | H 0.9m x W 1m | 3y | bloom Jun-Sep #f4c820 | zones 2-7 | sun full-sun | water low | tags [yellow, drought tolerant]
- potentilla-pink-whisper | "Pink Whisper" | Potentilla fruticosa 'Pink Whisper' | Shrub | H 0.7m x W 0.9m | 3y | bloom Jun-Sep #f0b0c8 | zones 2-7 | sun full-sun | water low | tags [pink, drought tolerant]
- potentilla-orange-whisper | "Orange Whisper" | Potentilla fruticosa 'Orange Whisper' | Shrub | H 0.7m x W 0.9m | 3y | bloom Jun-Sep #f0a85a | zones 2-7 | sun full-sun | water low | tags [orange, peach, coral, drought tolerant]
- regent-serviceberry | "Regent Serviceberry" | Amelanchier alnifolia 'Regent' | Shrub | H 2m x W 2m | 8y | bloom Apr-Apr #f8f6ee | zones 3-8 | sun full-sun | water moderate | tags [white, native, edible]
- smooth-hydrangea | "Smooth Hydrangea" | Hydrangea arborescens | Shrub | H 1.2m x W 1.2m | 4y | bloom Jun-Sep #f2f5ee | zones 3-9 | sun part-sun | water high | tags [white]
- ninebark | "Ninebark" | Physocarpus opulifolius | Shrub | H 2m x W 2m | 4y | bloom May-Jun #f2e8ee | zones 3-7 | sun full-sun | water moderate | tags [white, foliage, native]
- ninebark-diabolo | "Diabolo" | Physocarpus opulifolius 'Monlo' | Shrub | H 2.5m x W 2.5m | 4y | bloom May-Jun #f2e8ee | zones 3-7 | sun full-sun | water moderate | tags [white, purple, foliage]
- ninebark-coppertina | "Coppertina" | Physocarpus opulifolius 'Mindia' | Shrub | H 2.5m x W 2m | 4y | bloom May-Jun #f0d8e0 | zones 3-7 | sun full-sun | water moderate | tags [orange, pink, foliage]
- ninebark-amber-jubilee | "Amber Jubilee" | Physocarpus opulifolius 'Jefam' | Shrub | H 1.8m x W 1.5m | 4y | bloom May-Jun #f2e8ee | zones 2-7 | sun full-sun | water moderate | tags [orange, gold, foliage]
- ninebark-summer-wine | "Summer Wine" | Physocarpus opulifolius 'Seward' | Shrub | H 1.8m x W 1.8m | 4y | bloom May-Jun #f0dce4 | zones 3-7 | sun full-sun | water moderate | tags [purple, pink, foliage]
- ninebark-tiny-wine | "Tiny Wine" | Physocarpus opulifolius 'SMNPOTW' | Shrub | H 1m x W 1m | 4y | bloom May-Jun #f0dce4 | zones 3-7 | sun full-sun | water moderate | tags [purple, pink, foliage]
- ninebark-little-devil | "Little Devil" | Physocarpus opulifolius 'Donna May' | Shrub | H 0.9m x W 0.9m | 4y | bloom May-Jun #f2e8ee | zones 3-7 | sun full-sun | water moderate | tags [purple, burgundy, foliage]
- ninebark-nugget | "Nugget" | Physocarpus opulifolius 'Nugget' | Shrub | H 1.5m x W 1.5m | 4y | bloom May-Jun #f2e8ee | zones 2-8 | sun full-sun | water moderate | tags [gold, foliage]
- smokebush | "Smokebush" | Cotinus coggygria | Shrub | H 3m x W 3m | 5y | bloom Jun-Jul #d6a8c0 | zones 4-8 | sun full-sun | water low | tags [purple, foliage, drought tolerant]
- smokebush-royal-purple | "Royal Purple" | Cotinus coggygria 'Royal Purple' | Shrub | H 3.5m x W 3m | 5y | bloom Jun-Jul #d0a0b8 | zones 4-8 | sun full-sun | water low | tags [purple, foliage, drought tolerant]
- smokebush-grace | "Grace" | Cotinus 'Grace' | Shrub | H 4m x W 3.5m | 6y | bloom Jun-Jul #d8a8b8 | zones 4-8 | sun full-sun | water low | tags [purple, red, foliage, drought tolerant]
- smokebush-golden-spirit | "Golden Spirit" | Cotinus coggygria 'Ancot' | Shrub | H 3m x W 2.5m | 5y | bloom Jun-Jul #e0c8b8 | zones 5-8 | sun full-sun | water low | tags [gold, green, foliage, drought tolerant]
- smokebush-velvet-cloak | "Velvet Cloak" | Cotinus coggygria 'Velvet Cloak' | Shrub | H 3.5m x W 3m | 5y | bloom Jun-Jul #d0a0b0 | zones 4-8 | sun full-sun | water low | tags [purple, foliage, drought tolerant]
