- star-magnolia | "Star Magnolia" | Magnolia stellata | Tree | H 5m x W 5m | 12y | bloom Mar-Mar #f6f2ea | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant, early]
- profusion | "Profusion" | Malus 'Profusion' | Tree | H 6m x W 6m | 10y | bloom Apr-May #d65a8e | zones 4-8 | sun full-sun | water moderate | tags [pink, magenta, berries]
- red-jewel | "Red Jewel" | Malus 'Red Jewel' | Tree | H 4m x W 4m | 10y | bloom Apr-May #f8f6ee | zones 4-8 | sun full-sun | water moderate | tags [white, berries]
- indian-magic | "Indian Magic" | Malus 'Indian Magic' | Tree | H 5m x W 5m | 10y | bloom Apr-May #e06a9a | zones 4-8 | sun full-sun | water moderate | tags [pink, rose, berries]
- sugar-tyme | "Sugar Tyme" | Malus 'Sugar Tyme' | Tree | H 5m x W 4m | 10y | bloom Apr-May #f4e0e8 | zones 4-8 | sun full-sun | water moderate | tags [white, pink, berries]
- adirondack | "Adirondack" | Malus 'Adirondack' | Tree | H 5m x W 3m | 10y | bloom Apr-May #f4eae8 | zones 4-8 | sun full-sun | water moderate | tags [white, pink, berries]
- purple-prince | "Purple Prince" | Malus 'Purple Prince' | Tree | H 5m x W 5m | 10y | bloom Apr-May #d65a8e | zones 4-8 | sun full-sun | water moderate | tags [pink, magenta, berries]
- golden-raindrops | "Golden Raindrops" | Malus 'Golden Raindrops' | Tree | H 6m x W 5m | 10y | bloom Apr-May #f8f6ee | zones 4-8 | sun full-sun | water moderate | tags [white, berries]
- flowering-cherry | "Flowering Cherry" | Prunus serrulata | Tree | H 8m x W 7m | 12y | bloom Apr-Apr #f6c9d8 | zones 5-8 | sun full-sun | water moderate | tags [pink, specimen]
- yoshino | "Yoshino Cherry" | Prunus × yedoensis | Tree | H 8m x W 8m | 12y | bloom Apr-Apr #f0dce4 | zones 5-8 | sun full-sun | water moderate | tags [pink, white, specimen]
- kwanzan | "Kwanzan Cherry" | Prunus serrulata 'Kanzan' | Tree | H 8m x W 6m | 12y | bloom Apr-May #e87aa8 | zones 5-8 | sun full-sun | water moderate | tags [pink, specimen]
- weeping-cherry | "Weeping Cherry" | Prunus subhirtella 'Pendula' | Tree | H 6m x W 6m | 12y | bloom Apr-Apr #f0b8cc | zones 5-8 | sun full-sun | water moderate | tags [pink, weeping, specimen]
- okame | "Okame Cherry" | Prunus 'Okame' | Tree | H 6m x W 5m | 12y | bloom Mar-Apr #e06a9a | zones 6-9 | sun full-sun | water moderate | tags [pink, specimen]
- mount-fuji | "Mount Fuji Cherry" | Prunus serrulata 'Shirotae' | Tree | H 5m x W 7m | 12y | bloom Apr-Apr #f8f4ec | zones 5-8 | sun full-sun | water moderate | tags [white, specimen]
- snow-fountains | "Snow Fountains" | Prunus 'Snofozam' | Tree | H 4m x W 4m | 12y | bloom Apr-Apr #f8f4ec | zones 5-8 | sun full-sun | water moderate | tags [white, weeping]
- akebono | "Akebono Cherry" | Prunus × yedoensis 'Akebono' | Tree | H 7m x W 7m | 12y | bloom Apr-Apr #f0c8d8 | zones 5-8 | sun full-sun | water moderate | tags [pink, specimen]
- autumn-cherry | "Autumn Flowering Cherry" | Prunus subhirtella 'Autumnalis' | Tree | H 7m x W 7m | 12y | bloom Mar-Apr #f0dce4 | zones 5-8 | sun full-sun | water moderate | tags [pink, white, specimen]
- cherry-pink-cloud | "Pink Cloud Cherry" | Prunus 'Pink Cloud' | Tree | H 7m x W 6m | 12y | bloom Apr-Apr #e89ab8 | zones 5-8 | sun full-sun | water moderate | tags [pink, specimen]
- serviceberry | "Serviceberry" | Amelanchier | Tree | H 6m x W 5m | 10y | bloom Apr-Apr #fbfbfb | zones 4-8 | sun part-sun | water moderate | tags [white, native, fall color]
- autumn-brilliance | "Autumn Brilliance" | Amelanchier × grandiflora 'Autumn Brilliance' | Tree | H 6m x W 5m | 10y | bloom Apr-Apr #f8f6ee | zones 4-8 | sun part-sun | water moderate | tags [white, native, fall color]
- princess-diana | "Princess Diana Serviceberry" | Amelanchier × grandiflora 'Princess Diana' | Tree | H 6m x W 5m | 10y | bloom Apr-Apr #f8f6ee | zones 4-8 | sun part-sun | water moderate | tags [white, native, fall color]
