- juliet-rose | "Juliet" | Rosa 'Ausjameson' | Rose | H 1m x W 0.8m | 3y | bloom May-Oct #f0b884 | zones 5-10 | sun full-sun | water moderate | tags [apricot, peach, english rose]
- bonica-rose | "Bonica" | Rosa 'Meidomonac' | Rose | H 1m x W 1.2m | 3y | bloom May-Oct #f0a8be | zones 4-9 | sun full-sun | water moderate | tags [pink, easy, clusters, landscape]
- rugosa-rose | "Rugosa Rose" | Rosa rugosa | Rose | H 1.5m x W 1.5m | 3y | bloom May-Sep #c85a8e | zones 3-9 | sun full-sun | water low | tags [pink, magenta, fragrant, hardy, salt tolerant, drought tolerant]
- lady-banks-rose | "Lady Banks' Rose" | Rosa banksiae | Rose | H 6m x W 3m | 5y | bloom Apr-May #f3e3a0 | zones 6-9 | sun full-sun | water moderate | tags [yellow, climbing, thornless, vigorous]
- flower-carpet-rose | "Flower Carpet Rose" | Rosa 'Noatraum' | Rose | H 0.6m x W 1m | 2y | bloom May-Oct #ee7e98 | zones 5-10 | sun full-sun | water moderate | tags [pink, groundcover, easy]
- eden-rose | "Eden" | Rosa 'Meiviolin' | Rose | H 3m x W 1.5m | 4y | bloom May-Oct #f2ccd4 | zones 5-9 | sun full-sun | water moderate | tags [pink, cream, climbing]
- don-juan-rose | "Don Juan" | Rosa 'Don Juan' | Rose | H 3m x W 1.5m | 4y | bloom May-Oct #9e1f2e | zones 6-9 | sun full-sun | water moderate | tags [red, fragrant, climbing]
- drift-rose | "Drift Rose" | Rosa 'Meijocos' | Rose | H 0.5m x W 0.8m | 2y | bloom May-Oct #f0889e | zones 4-11 | sun full-sun | water moderate | tags [pink, groundcover, easy]
- autumn-damask-rose | "Autumn Damask Rose" | Rosa damascena var. semperflorens | Rose | H 1.5m x W 1.2m | 3y | bloom Jun-Oct #d9607a | zones 4-9 | sun full-sun | water moderate | tags [rosa da, damask rose, pink, fragrant, repeat blooming, heritage rose, old rose, four seasons rose, rosa bifera]
- batsheba-rose | "Bathsheba Rose" | Rosa 'Auschimbley' | Rose | H 1.2m x W 0.9m | 2y | bloom May-Oct #F4B183 | zones 5-11 | sun full-sun | water moderate | tags [disease resistant, repeat bloomer, fragrant, apricot, david austin, climber]
- blue-girl | "Blue Girl Rose" | Rosa 'Blue Girl' | Rose | H 1.2m x W 0.9m | 2y | bloom May-Oct #9966cc | zones 5-10 | sun full-sun | water moderate | tags [lavender, mauve, fragrant, hybrid tea rose, cut flower]
- bolero-david-austin | "Bolero Rose" | Rosa 'Meidelweis' | Rose | H 1.2m x W 1m | 2y | bloom May-Oct #f2e6d0 | zones 6-10 | sun full-sun | water moderate | tags [cream, white, fragrant, repeat-flowering, floribunda, disease-resistant]
- dames-de-chenonceau-rose | "Dames de Chenonceau Rose" | Rosa 'Dames de Chenonceau' | Rose | H 1.2m x W 1m | 3y | bloom May-Oct #e8a0a0 | zones 5-9 | sun full-sun | water moderate | tags [dames de chenonceau, pink, fragrant, repeat blooming, shrub rose, delbard]
- dorothy-perkins-rose | "Dorothy Perkins Rose" | Rosa 'Dorothy Perkins' | Rose | H 4m x W 3m | 3y | bloom Jun-Jul #e87aa0 | zones 4-9 | sun full-sun | water moderate | tags [rosa d, dorothy perkins, rambler, climbing, pink, once blooming, classic, cottage garden]
- dublin-bay-rose | "Dublin Bay Rose" | Rosa 'Dublin Bay' | Rose | H 2.5m x W 2m | 3y | bloom Jun-Oct #c0392b | zones 5-9 | sun full-sun | water moderate | tags [rosa d, dublin bay, climbing rose, climbing, red, crimson, repeat blooming, fragrant]
- duchess-of-cornwall-rose | "Duchess of Cornwall Rose" | Rosa 'Duchess of Cornwall' | Rose | H 1.2m x W 0.9m | 3y | bloom Jun-Oct #e8896a | zones 5-9 | sun full-sun | water moderate | tags [rosa d, duchess of cornwall, hybrid tea, peach, apricot, pink, fragrant, repeat blooming]
- ebb-tide-rose | "Ebb Tide Rose" | Rosa 'Ebb Tide' | Rose | H 0.6m x W 0.75m | 2y | bloom May-Oct #6B3B5C | zones 6-11 | sun full-sun | water moderate | tags [purple, red, fragrant, compact, repeat-blooming, disease-resistant]
- louise-clements | "Louise Clements Rose" | Rosa 'Louise Clements' | Rose | H 1.5m x W 1.2m | 2y | bloom May-Oct #d97b3f | zones 6-10 | sun full-sun | water moderate | tags [copper, orange, apricot, fragrant, shrub rose, disease resistant, repeat blooming]
- madame-anisette | "Madame Anisette Rose" | Rosa 'Madame Anisette' | Rose | H 0.6m x W 0.5m | 2y | bloom May-Oct #f0d9b8 | zones 6-10 | sun full-sun | water moderate | tags [apricot, cream, fragrant, repeat-flowering, shrub rose, classic]
- miyako-japanese-garden-shrub-rose | "Miyako Rose" | Rosa 'Miyako' | Rose | H 1.5m x W 1.2m | 3y | bloom May-Oct #d4669f | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, disease-resistant, repeat-blooming, japanese heirloom]
