- hellebore-cinnamon-snow | "Cinnamon Snow" | Helleborus 'Cinnamon Snow' | Perennial | H 0.35m x W 0.4m | 2y | bloom Jan-Mar #f0dcc8 | zones 4-9 | sun part-shade | water moderate | tags [white, cream, peach]
- columbine-red | "Eastern Red Columbine" | Aquilegia canadensis | Perennial | H 0.6m x W 0.4m | 2y | bloom Apr-Jun #c0392b | zones 3-8 | sun part-shade | water moderate | tags [red, yellow, native]
- columbine-blue | "Rocky Mountain Blue" | Aquilegia caerulea | Perennial | H 0.6m x W 0.4m | 2y | bloom Apr-Jun #5a7fd0 | zones 3-8 | sun part-shade | water moderate | tags [blue, white]
- columbine-nora-barlow | "Nora Barlow" | Aquilegia vulgaris 'Nora Barlow' | Perennial | H 0.7m x W 0.4m | 2y | bloom May-Jun #e08aae | zones 3-8 | sun part-shade | water moderate | tags [pink, white, double]
- columbine-black-barlow | "Black Barlow" | Aquilegia vulgaris 'Black Barlow' | Perennial | H 0.7m x W 0.4m | 2y | bloom May-Jun #4a2438 | zones 3-8 | sun part-shade | water moderate | tags [purple, burgundy, double]
- columbine-yellow | "Golden Columbine" | Aquilegia chrysantha | Perennial | H 0.7m x W 0.4m | 2y | bloom Apr-Jun #f2c61e | zones 3-8 | sun part-shade | water moderate | tags [yellow]
- columbine-white | "White Columbine" | Aquilegia | Perennial | H 0.6m x W 0.4m | 2y | bloom Apr-Jun #f4f2ea | zones 3-8 | sun part-shade | water moderate | tags [white]
- baptisia | "False Indigo" | Baptisia | Perennial | H 1m x W 0.9m | 3y | bloom May-Jun #4060b0 | zones 3-9 | sun full-sun | water low | tags [blue, native, drought tolerant]
- baptisia-alba | "White Wild Indigo" | Baptisia alba | Perennial | H 1m x W 0.9m | 3y | bloom May-Jun #f2f0ea | zones 3-9 | sun full-sun | water low | tags [white, native, drought tolerant]
- baptisia-screaming-yellow | "Screaming Yellow" | Baptisia sphaerocarpa 'Screaming Yellow' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #f2c81e | zones 3-9 | sun full-sun | water low | tags [yellow, native, drought tolerant]
- baptisia-carolina-moonlight | "Carolina Moonlight" | Baptisia 'Carolina Moonlight' | Perennial | H 1.2m x W 1m | 3y | bloom May-Jun #f0e08a | zones 3-9 | sun full-sun | water low | tags [yellow, cream, native, drought tolerant]
- baptisia-purple-smoke | "Purple Smoke" | Baptisia 'Purple Smoke' | Perennial | H 1.2m x W 1m | 3y | bloom May-Jun #6a4a8e | zones 3-9 | sun full-sun | water low | tags [purple, native, drought tolerant]
- baptisia-cherries-jubilee | "Cherries Jubilee" | Baptisia 'Cherries Jubilee' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #8a2a3a | zones 3-9 | sun full-sun | water low | tags [red, burgundy, native, drought tolerant]
- baptisia-dutch-chocolate | "Dutch Chocolate" | Baptisia 'Dutch Chocolate' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #5a3a4a | zones 3-9 | sun full-sun | water low | tags [purple, native, drought tolerant]
- baptisia-pink-lemonade | "Pink Lemonade" | Baptisia 'Pink Lemonade' | Perennial | H 1.1m x W 1m | 3y | bloom May-Jun #b05a7a | zones 3-9 | sun full-sun | water low | tags [pink, native, drought tolerant]
- lambs-ear | "Lamb's Ear" | Stachys byzantina | Perennial | H 0.4m x W 0.6m | 2y | bloom Jun-Jul #b9a7d6 | zones 4-8 | sun full-sun | water low | tags [foliage, silver, drought tolerant]
- lily-of-valley | "Lily of the Valley" | Convallaria majalis | Perennial | H 0.2m x W 0.3m | 2y | bloom Apr-May #fbfbfb | zones 2-7 | sun full-shade | water moderate | tags [white, fragrant]
- foxglove | "Foxglove" | Digitalis | Perennial | H 1.2m x W 0.4m | 2y | bloom May-Jul #c07ab0 | zones 4-8 | sun part-shade | water moderate | tags [pink]
- foxglove-camelot-rose | "Camelot Rose" | Digitalis purpurea 'Camelot Rose' | Perennial | H 1.2m x W 0.4m | 2y | bloom May-Jul #d6588e | zones 4-8 | sun part-shade | water moderate | tags [pink, rose]
- foxglove-camelot-white | "Camelot White" | Digitalis purpurea 'Camelot White' | Perennial | H 1.2m x W 0.4m | 2y | bloom May-Jul #f2f0e8 | zones 4-8 | sun part-shade | water moderate | tags [white]
- foxglove-camelot-lavender | "Camelot Lavender" | Digitalis purpurea 'Camelot Lavender' | Perennial | H 1.2m x W 0.4m | 2y | bloom May-Jul #b08ac8 | zones 4-8 | sun part-shade | water moderate | tags [lavender, purple]
- foxglove-camelot-cream | "Camelot Cream" | Digitalis purpurea 'Camelot Cream' | Perennial | H 1.2m x W 0.4m | 2y | bloom May-Jul #f0e8c8 | zones 4-8 | sun part-shade | water moderate | tags [cream, yellow, white]
- foxglove-dalmatian-purple | "Dalmatian Purple" | Digitalis purpurea 'Dalmatian Purple' | Perennial | H 0.7m x W 0.3m | 2y | bloom May-Jul #8a5ab0 | zones 4-8 | sun part-shade | water moderate | tags [purple, violet, dwarf]
- foxglove-dalmatian-peach | "Dalmatian Peach" | Digitalis purpurea 'Dalmatian Peach' | Perennial | H 0.7m x W 0.3m | 2y | bloom May-Jul #f0b090 | zones 4-8 | sun part-shade | water moderate | tags [coral, peach, pink, dwarf]
- foxglove-suttons-apricot | "Sutton's Apricot" | Digitalis purpurea 'Sutton's Apricot' | Perennial | H 1.2m x W 0.4m | 2y | bloom May-Jul #f0a888 | zones 4-8 | sun part-shade | water moderate | tags [coral, peach, pink]
