- smokebush-young-lady | "Young Lady" | Cotinus coggygria 'Young Lady' | Shrub | H 1.8m x W 1.8m | 5y | bloom Jun-Aug #e8c8d0 | zones 4-8 | sun full-sun | water low | tags [green, foliage, drought tolerant]
- winterberry-berry-heavy | "Berry Heavy" | Ilex verticillata 'Spravy' | Shrub | H 2.5m x W 2m | 5y | bloom Oct-Dec #c82828 | zones 3-9 | sun full-sun | water high | tags [red, berries, native]
- winterberry-berry-poppins | "Berry Poppins" | Ilex verticillata 'FarrowBPop' | Shrub | H 1.2m x W 1.2m | 5y | bloom Oct-Dec #d02a2a | zones 3-9 | sun full-sun | water high | tags [red, berries, native]
- winterberry-winter-gold | "Winter Gold" | Ilex verticillata 'Winter Gold' | Shrub | H 2m x W 2m | 5y | bloom Oct-Dec #f0a83a | zones 3-9 | sun full-sun | water high | tags [gold, orange, berries]
- mock-orange | "Mock Orange" | Philadelphus | Shrub | H 2.5m x W 2m | 4y | bloom May-Jun #fbfbf5 | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant]
- mock-orange-snowbelle | "Snowbelle" | Philadelphus 'Snowbelle' | Shrub | H 1.2m x W 1.2m | 4y | bloom May-Jun #fcfcf6 | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant]
- mock-orange-natchez | "Natchez" | Philadelphus × virginalis 'Natchez' | Shrub | H 2.5m x W 2m | 4y | bloom May-Jun #fbfbf5 | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant]
- mock-orange-miniature-snowflake | "Miniature Snowflake" | Philadelphus 'Miniature Snowflake' | Shrub | H 0.9m x W 0.9m | 4y | bloom May-Jun #fcfcf8 | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant]
- mock-orange-belle-etoile | "Belle Étoile" | Philadelphus 'Belle Etoile' | Shrub | H 1.5m x W 1.5m | 4y | bloom May-Jun #f6f0f2 | zones 5-8 | sun full-sun | water moderate | tags [white, fragrant]
- mock-orange-aureus | "Golden Mock Orange" | Philadelphus coronarius 'Aureus' | Shrub | H 2m x W 1.8m | 4y | bloom May-Jun #fbfbf5 | zones 4-8 | sun full-sun | water moderate | tags [white, gold, fragrant]
- mock-orange-snow-white-sensation | "Snow White Sensation" | Philadelphus 'Snow White Sensation' | Shrub | H 1.5m x W 1.5m | 4y | bloom May-Jul #fcfcf6 | zones 4-8 | sun full-sun | water moderate | tags [white, fragrant]
- summersweet | "Summersweet" | Clethra alnifolia | Shrub | H 1.8m x W 1.5m | 4y | bloom Jul-Aug #f5eef2 | zones 3-9 | sun part-shade | water high | tags [white, fragrant, native, pollinator]
- summersweet-hummingbird | "Hummingbird" | Clethra alnifolia 'Hummingbird' | Shrub | H 0.9m x W 1.2m | 4y | bloom Jul-Aug #f6f0f4 | zones 3-9 | sun part-shade | water high | tags [white, fragrant, native, pollinator]
- summersweet-ruby-spice | "Ruby Spice" | Clethra alnifolia 'Ruby Spice' | Shrub | H 1.8m x W 1.5m | 4y | bloom Jul-Aug #e08aaa | zones 3-9 | sun part-shade | water high | tags [pink, fragrant, native, pollinator]
- summersweet-sixteen-candles | "Sixteen Candles" | Clethra alnifolia 'Sixteen Candles' | Shrub | H 1.2m x W 1.2m | 4y | bloom Jul-Aug #f6f0f4 | zones 3-9 | sun part-shade | water high | tags [white, fragrant, native, pollinator]
- summersweet-pink-spire | "Pink Spire" | Clethra alnifolia 'Pink Spire' | Shrub | H 1.8m x W 1.5m | 4y | bloom Jul-Aug #ec9ab8 | zones 3-9 | sun part-shade | water high | tags [pink, fragrant, native, pollinator]
- summersweet-vanilla-spice | "Vanilla Spice" | Clethra alnifolia 'Caleb' | Shrub | H 1.5m x W 1.2m | 4y | bloom Jul-Aug #f8f2f5 | zones 3-9 | sun part-shade | water high | tags [white, fragrant, native, pollinator]
- summersweet-sugartina | "Sugartina Crystalina" | Clethra alnifolia 'Crystalina' | Shrub | H 0.8m x W 0.9m | 4y | bloom Jul-Aug #f6f0f4 | zones 3-9 | sun part-shade | water high | tags [white, fragrant, native, pollinator]
- tropical-hibiscus | "Tropical Hibiscus" | Hibiscus rosa-sinensis | Shrub | H 1.5m x W 1m | 2y | bloom Jun-Oct #f0407a | zones 9-11 | sun full-sun | water moderate | tags [pink, tropical, large]
