- rhododendron-pjm | "PJM" | Rhododendron 'PJM' | Shrub | H 1.2m x W 1.2m | 5y | bloom Apr-May #b56ab0 | zones 4-8 | sun part-shade | water moderate | tags [lavender, pink, purple]
- forsythia | "Forsythia" | Forsythia | Shrub | H 2m x W 2m | 3y | bloom Mar-Apr #f4d000 | zones 5-8 | sun full-sun | water moderate | tags [yellow, early]
- forsythia-lynwood-gold | "Lynwood Gold" | Forsythia × intermedia 'Lynwood Gold' | Shrub | H 3m x W 2.5m | 3y | bloom Mar-Apr #f2cc00 | zones 5-8 | sun full-sun | water moderate | tags [yellow]
- forsythia-show-off | "Show Off" | Forsythia × intermedia 'Show Off' | Shrub | H 1.7m x W 1.5m | 3y | bloom Mar-Apr #f4d400 | zones 5-8 | sun full-sun | water moderate | tags [yellow]
- forsythia-gold-tide | "Gold Tide" | Forsythia × intermedia 'Gold Tide' | Shrub | H 0.9m x W 1.5m | 3y | bloom Mar-Apr #f2cc00 | zones 5-8 | sun full-sun | water moderate | tags [yellow]
- forsythia-fiesta | "Fiesta" | Forsythia × intermedia 'Fiesta' | Shrub | H 1m x W 1m | 3y | bloom Mar-Apr #f2cc00 | zones 5-8 | sun full-sun | water moderate | tags [yellow]
- forsythia-northern-gold | "Northern Gold" | Forsythia 'Northern Gold' | Shrub | H 2.2m x W 1.8m | 3y | bloom Mar-Apr #f2c800 | zones 3-7 | sun full-sun | water moderate | tags [yellow]
- forsythia-magical-gold | "Magical Gold" | Forsythia × intermedia 'Kolgold' | Shrub | H 1.1m x W 1.1m | 3y | bloom Mar-Apr #f4d400 | zones 5-8 | sun full-sun | water moderate | tags [yellow]
- spirea | "Spirea" | Spiraea | Shrub | H 1m x W 1.2m | 3y | bloom May-Jul #e88ab0 | zones 4-8 | sun full-sun | water moderate | tags [pink]
- spirea-goldflame | "Goldflame" | Spiraea japonica 'Goldflame' | Shrub | H 0.9m x W 1m | 3y | bloom Jun-Jul #e87aa0 | zones 4-8 | sun full-sun | water moderate | tags [pink]
- spirea-magic-carpet | "Magic Carpet" | Spiraea japonica 'Magic Carpet' | Shrub | H 0.5m x W 0.6m | 3y | bloom Jun-Jul #e06a9a | zones 4-8 | sun full-sun | water moderate | tags [pink, dwarf]
- spirea-anthony-waterer | "Anthony Waterer" | Spiraea japonica 'Anthony Waterer' | Shrub | H 1m x W 1.2m | 3y | bloom Jun-Aug #d6588e | zones 4-8 | sun full-sun | water moderate | tags [pink, magenta]
- spirea-little-princess | "Little Princess" | Spiraea japonica 'Little Princess' | Shrub | H 0.6m x W 0.8m | 3y | bloom Jun-Jul #e89ab8 | zones 4-8 | sun full-sun | water moderate | tags [pink, dwarf]
- spirea-goldmound | "Goldmound" | Spiraea japonica 'Goldmound' | Shrub | H 0.7m x W 0.9m | 3y | bloom Jun-Jul #e87aa0 | zones 4-8 | sun full-sun | water moderate | tags [pink]
