Abbotswood | Potentilla fruticosa 'Abbotswood' | Potentilla
Formosa | Rhododendron 'Formosa' | Azaleas
Forsythia | Forsythia | Forsythia
Frostproof | Gardenia jasminoides 'Frostproof' | Gardenia
Gardenia | Gardenia jasminoides | Gardenia
George Tabor | Rhododendron 'George Tabor' | Azaleas
Gibraltar | Rhododendron 'Gibraltar' | Azaleas
Girard's Crimson | Rhododendron 'Girard's Crimson' | Azaleas
Gold Tide | Forsythia × intermedia 'Gold Tide' | Forsythia
Golden Lights | Rhododendron 'Golden Lights' | Azaleas
Golden Mock Orange | Philadelphus coronarius 'Aureus' | Mock Orange
Golden Spirit | Cotinus coggygria 'Ancot' | Smokebush
Goldfinger | Potentilla fruticosa 'Goldfinger' | Potentilla
Goldflame | Spiraea japonica 'Goldflame' | Spirea
Goldmound | Spiraea japonica 'Goldmound' | Spirea
Grace | Cotinus 'Grace' | Smokebush
Graham Blandy | Buxus sempervirens 'Graham Blandy' | Boxwood
Green Mountain | Buxus 'Green Mountain' | Boxwood
Green Velvet | Buxus 'Green Velvet' | Boxwood
Gumpo Pink | Rhododendron 'Gumpo Pink' | Azaleas
Happy Face Yellow | Potentilla fruticosa 'Happy Face Yellow' | Potentilla
Helene | Hibiscus syriacus 'Helene' | Rose of Sharon
Hino-Crimson | Rhododendron 'Hino-Crimson' | Azaleas
Honeycomb | Buddleia × weyeriana 'Honeycomb' | Butterfly Bush
Hopi | Lagerstroemia 'Hopi' | Crape Myrtle
Hula Girl | Hibiscus rosa-sinensis 'Hula Girl' | Tropical Hibiscus
Hummingbird | Clethra alnifolia 'Hummingbird' | Summersweet
Java Red | Weigela florida 'Java Red' | Weigela
Jelena | Hamamelis × intermedia 'Jelena' | Witch Hazel
Karen | Rhododendron 'Karen' | Azaleas
Katherine Havemeyer | Syringa vulgaris 'Katherine Havemeyer' | Lilac
Kleim's Hardy | Gardenia jasminoides 'Kleim's Hardy' | Gardenia
Koreanspice | Viburnum carlesii | Viburnum
Kramer's Supreme | Camellia japonica 'Kramer's Supreme' | Camellia
Lavender Chiffon | Hibiscus syriacus 'Lavender Chiffon' | Rose of Sharon
Lavender Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Lilac | Syringa vulgaris | Lilac
Little Devil | Physocarpus opulifolius 'Donna May' | Ninebark
Little Princess | Spiraea japonica 'Little Princess' | Spirea
Lucy | Hibiscus syriacus 'Lucy' | Rose of Sharon
Ludwig Späth | Syringa vulgaris 'Andenken an Ludwig Späth' | Lilac
Lynwood Gold | Forsythia × intermedia 'Lynwood Gold' | Forsythia
Madame Lemoine | Syringa vulgaris 'Madame Lemoine' | Lilac
Magenta Tropical Hibiscus | Hibiscus rosa-sinensis | Tropical Hibiscus
Magic Carpet | Spiraea japonica 'Magic Carpet' | Spirea
Magical Gold | Forsythia × intermedia 'Kolgold' | Forsythia
