Pink Fan Flower | Scaevola aemula | Fan Flower
Red Gazania | Gazania rigens | Gazania
Red Gerbera | Gerbera jamesonii | Gerbera Daisy
Red Impatiens | Impatiens walleriana | Impatiens
Red Kiss Rex Begonia | Begonia rex 'Red Kiss' | Rex Begonia
Red Marguerite Daisy | Argyranthemum | Marguerite Daisy
Red Marigold | Tagetes patula 'Red' | Marigolds
Red Pansy | Viola wittrockiana 'Red' | Pansies & Violas
Red Pentas | Pentas lanceolata | Pentas
Red Petunia | Petunia 'Red' | Petunias
Red Portulaca | Portulaca grandiflora | Portulaca
Red Snapdragon | Antirrhinum 'Red' | Snapdragons
Red Stock | Matthiola incana | Stock
Red Strawflower | Xerochrysum bracteatum | Strawflower
Red Verbena | Verbena × hybrida | Verbena
Red Vinca | Catharanthus roseus | Vinca
Redhead | Coleus 'Redhead' | Coleus
Rex Begonia | Begonia rex | Rex Begonia
Ring of Fire | Helianthus annuus 'Ring of Fire' | Sunflower
River Nile Rex Begonia | Begonia rex 'River Nile' | Rex Begonia
Rocket Snapdragon | Antirrhinum 'Rocket' | Snapdragons
Rose Chiffon | Eschscholzia californica 'Rose Chiffon' | California Poppy
Rose Impatiens | Impatiens walleriana | Impatiens
Rose Larkspur | Consolida ajacis | Larkspur
Rose Lisianthus | Eustoma grandiflorum | Lisianthus
Rose Lobelia | Lobelia erinus | Lobelia
Rose Pansy | Viola wittrockiana 'Rose' | Pansies & Violas
Rose Queen | Cleome hassleriana 'Rose Queen' | Cleome
Rose Snapdragon | Antirrhinum 'Rose' | Snapdragons
Rose Stock | Matthiola incana | Stock
Rose Vinca | Catharanthus roseus | Vinca
Roselle (Rosa de Jamaica) | Hibiscus sabdariffa | 
Rosie O'Day | Lobularia maritima 'Rosie O'Day' | Sweet Alyssum
Royal Blue Sweet Pea | Lathyrus odoratus | Sweet Pea
Royal Carpet | Lobularia maritima 'Royal Carpet' | Sweet Alyssum
Royal Crimson Sweet Pea | Lathyrus odoratus | Sweet Pea
Royal White Sweet Pea | Lathyrus odoratus | Sweet Pea
Rubenza | Cosmos bipinnatus 'Rubenza' | Cosmos
Salmon Geranium | Pelargonium 'Salmon' | Geraniums
Salmon Impatiens | Impatiens walleriana | Impatiens
Salmon Nasturtium | Tropaeolum majus | Nasturtium
Salmon Petunia | Petunia 'Salmon' | Petunias
Salvia (Annual) | Salvia splendens | 
Scarlet Impatiens | Impatiens walleriana | Impatiens
Scarlet Verbena | Verbena 'Lanai Scarlet' | Verbena
Sea Shells | Cosmos bipinnatus 'Sea Shells' | Cosmos
Sedona Sunset | Coleus 'Sedona Sunset' | Coleus
Sensation Pink | Cosmos bipinnatus 'Sensation Pink' | Cosmos
Serena Blue | Angelonia 'Serena Blue' | Angelonia
Serena Purple | Angelonia 'Serena Purple' | Angelonia
Serena Rose | Angelonia 'Serena Rose' | Angelonia
Serena White | Angelonia 'Serena White' | Angelonia
Sky Blue Lobelia | Lobelia erinus | Lobelia
Snapdragon | Antirrhinum | Snapdragons
Snow Princess | Lobularia 'Snow Princess' | Sweet Alyssum
Soraya | Helianthus annuus 'Soraya' | Sunflower
Sorbet Viola | Viola cornuta 'Sorbet' | Pansies & Violas
Star Petunia | Petunia 'Star' | Petunias
Statice | Limonium | Statice
Stock | Matthiola | Stock
Strawberry Blonde | Helianthus annuus 'Strawberry Blonde' | Sunflower
Strawberry Fields | Gomphrena haageana 'Strawberry Fields' | Globe Amaranth
Strawflower | Xerochrysum | Strawflower
Sunflower | Helianthus annuus | Sunflower
SunPatiens Coral | Impatiens 'SunPatiens' | Impatiens
Superbells Blackcurrant Punch | Calibrachoa 'Superbells Blackcurrant Punch' | Calibrachoa
Superbells Blue | Calibrachoa 'Superbells Blue' | Calibrachoa
Superbells Cherry Star | Calibrachoa 'Superbells Cherry Star' | Calibrachoa
Superbells Coralina | Calibrachoa 'Superbells Coralina' | Calibrachoa
Superbells Grape Punch | Calibrachoa 'Superbells Grape Punch' | Calibrachoa
Superbells Lemon Slice | Calibrachoa 'Superbells Lemon Slice' | Calibrachoa
Superbells Pink | Calibrachoa 'Superbells Pink' | Calibrachoa
Superbells Red | Calibrachoa 'Superbells Red' | Calibrachoa
Superbells Tangerine Punch | Calibrachoa 'Superbells Tangerine Punch' | Calibrachoa
Superbells White | Calibrachoa 'Superbells White' | Calibrachoa
Superbells Yellow | Calibrachoa 'Superbells Yellow' | Calibrachoa
Supertunia Vista Bubblegum | Petunia 'Supertunia Vista Bubblegum' | Petunias
Sweet Alyssum | Lobularia maritima | Sweet Alyssum
Sweet Caroline Bronze | Ipomoea batatas 'Sweet Caroline Bronze' | Sweet Potato Vine
Sweet Pea | Lathyrus odoratus | Sweet Pea
Sweet Potato Vine | Ipomoea batatas | Sweet Potato Vine
Swingtime | Fuchsia 'Swingtime' | Fuchsia
Tangerine Gem | Tagetes tenuifolia 'Tangerine Gem' | Marigolds
Teddy Bear | Helianthus annuus 'Teddy Bear' | Sunflower
Tiger Stripe Gazania | Gazania 'New Day Tiger' | Gazania
Tricolor | Ipomoea batatas 'Tricolor' | Sweet Potato Vine
Tuberous Apricot | Begonia × tuberhybrida | Begonia
Tuberous Begonia | Begonia × tuberhybrida | Tuberous Begonia
Tuberous Orange | Begonia × tuberhybrida | Begonia
Tuberous Red | Begonia × tuberhybrida | Begonia
Tuberous Yellow | Begonia × tuberhybrida | Begonia
Uproar Rose | Zinnia elegans 'Uproar Rose' | Zinnias
Vanilla Ice | Helianthus annuus 'Vanilla Ice' | Sunflower
Velvet Queen | Helianthus annuus 'Velvet Queen' | Sunflower
Verbena | Verbena | Verbena
Vermillionaire Cuphea | Cuphea hybrid 'Vermillionaire' | Cuphea
Vinca | Catharanthus roseus | Vinca
Violet Impatiens | Impatiens walleriana | Impatiens
Violet Pentas | Pentas lanceolata | Pentas
Violet Queen | Cleome hassleriana 'Violet Queen' | Cleome
Voodoo Fuchsia | Fuchsia 'Voodoo' | Fuchsia
Wasabi | Coleus 'Wasabi' | Coleus
Watermelon | Coleus 'Versa Watermelon' | Coleus
Wax Begonia Pink | Begonia semperflorens | Begonia
Wax Begonia Red | Begonia semperflorens | Begonia
Wax Begonia White | Begonia semperflorens | Begonia
Wedgwood Blue | Angelonia 'Wedgwood Blue' | Angelonia
White African Daisy | Osteospermum 'Akila White' | African Daisy
White Ageratum | Ageratum houstonianum | Ageratum
White Annual Phlox | Phlox drummondii | Annual Phlox
White Bachelor's Button | Centaurea cyanus | Bachelor's Button
White Browallia | Browallia speciosa | Browallia
White Canterbury Bells | Campanula medium | Canterbury Bells
White Christmas Caladium | Caladium 'White Christmas' | Caladium
White Fan Flower | Scaevola aemula | Fan Flower
White Four O'Clock | Mirabilis jalapa | Four O'Clock
White Gazania | Gazania rigens | Gazania
White Geranium | Pelargonium 'White' | Geraniums
White Gerbera | Gerbera jamesonii | Gerbera Daisy
White Globe Amaranth | Gomphrena globosa | Globe Amaranth
White Impatiens | Impatiens walleriana | Impatiens
White Larkspur | Consolida ajacis | Larkspur
White Lisianthus | Eustoma grandiflorum | Lisianthus
White Lobelia | Lobelia erinus | Lobelia
White Mexican Heather | Cuphea hyssopifolia | Cuphea
White Ornamental Kale | Brassica oleracea | Ornamental Kale
White Pansy | Viola wittrockiana 'White' | Pansies & Violas
White Pentas | Pentas lanceolata | Pentas
White Petunia | Petunia 'White' | Petunias
White Portulaca | Portulaca grandiflora | Portulaca
White Queen | Cleome hassleriana 'White Queen' | Cleome
White Snapdragon | Antirrhinum 'White' | Snapdragons
White Statice | Limonium sinuatum | Statice
White Stock | Matthiola incana | Stock
White Strawflower | Xerochrysum bracteatum | Strawflower
White Tuberous Begonia | Begonia × tuberhybrida | Tuberous Begonia
White Verbena | Verbena × hybrida | Verbena
White Vinca | Catharanthus roseus | Vinca
White Wishbone Flower | Torenia fournieri | Wishbone Flower
White Zinnia | Zinnia elegans 'White' | Zinnias
Wishbone Flower | Torenia fournieri | Wishbone Flower
Wizard Velvet Red | Coleus 'Wizard Velvet Red' | Coleus
Xanthos | Cosmos bipinnatus 'Xanthos' | Cosmos
Yellow Blotch Pansy | Viola wittrockiana 'Yellow Blotch' | Pansies & Violas
Yellow Calendula | Calendula officinalis | Calendula
Yellow California Poppy | Eschscholzia californica | California Poppy
Yellow Four O'Clock | Mirabilis jalapa | Four O'Clock
Yellow Gazania | Gazania rigens | Gazania
Yellow Gerbera | Gerbera jamesonii | Gerbera Daisy
Yellow Marigold | Tagetes 'Yellow' | Marigolds
Yellow Nasturtium | Tropaeolum majus | Nasturtium
Yellow Pansy | Viola wittrockiana 'Yellow' | Pansies & Violas
Yellow Petunia | Petunia 'Yellow' | Petunias
Yellow Portulaca | Portulaca grandiflora | Portulaca
Yellow Snapdragon | Antirrhinum 'Yellow' | Snapdragons
Yellow Statice | Limonium sinuatum | Statice
Yellow Strawflower | Xerochrysum bracteatum | Strawflower
Yellow Tuberous Begonia | Begonia × tuberhybrida | Tuberous Begonia
Yellow Viola | Viola cornuta 'Yellow' | Pansies & Violas
Yellow Wishbone Flower | Torenia fournieri | Wishbone Flower
Yellow Zinnia | Zinnia elegans 'Yellow' | Zinnias
Zinnia | Zinnia elegans | Zinnias
