June | Hosta 'June' | Hostas
Pink Damask | Veronica 'Pink Damask' | Veronica
Pink Damask Daylily | Hemerocallis 'Pink Damask' | 
Pink Double Delight | Echinacea 'Pink Double Delight' | Coneflowers
Pink Fire | Dianthus gratianopolitanus 'Pink Fire' | Dianthus
Pink Frost | Helleborus 'Pink Frost' | Hellebore
Pink Hawaiian Coral | Paeonia 'Pink Hawaiian Coral' | Peonies
Pink Lemonade | Baptisia 'Pink Lemonade' | False Indigo
Pink Mum | Chrysanthemum 'Pink' | Chrysanthemums
Pink Profusion | Salvia nemorosa 'Pink Profusion' | Salvia
Pink Sapphire | Coreopsis 'Pink Sapphire' | Coreopsis
Plum Pudding | Heuchera 'Plum Pudding' | Coral Bells
Pomegranate | Achillea millefolium 'Pomegranate' | Yarrow
PowWow Wild Berry | Echinacea 'PowWow Wild Berry' | Coneflowers
Prairie Sun | Rudbeckia hirta 'Prairie Sun' | Black-Eyed Susan
Primrose | Primula | 
Professor Kippenberg | Symphyotrichum novi-belgii 'Professor Anton Kippenberg' | Aster
Pumpkin Pie | Coreopsis 'Pumpkin Pie' | Coreopsis
Purple Beauty | Phlox subulata 'Purple Beauty' | Creeping Phlox
Purple Candles | Astilbe chinensis 'Purpurlanze' | Astilbe
Purple Coneflower | Echinacea purpurea | Coneflowers
Purple de Oro | Hemerocallis 'Purple de Oro' | Daylilies
Purple Dome | Symphyotrichum novae-angliae 'Purple Dome' | Aster
Purple Emperor | Hylotelephium 'Purple Emperor' | Sedum
Purple Mum | Chrysanthemum 'Purple' | Chrysanthemums
Purple Phlox | Phlox paniculata 'Purple' | Garden Phlox
Purple Rooster | Monarda 'Purple Rooster' | Bee Balm
Purple Smoke | Baptisia 'Purple Smoke' | False Indigo
Purpleicious | Veronica 'Purpleicious' | Veronica
Purrsian Blue | Nepeta 'Purrsian Blue' | Catmint
Queen of the Prairie | Filipendula rubra | 
Raspberry Wine | Monarda 'Raspberry Wine' | Bee Balm
Raydon's Favorite | Symphyotrichum oblongifolium 'Raydon's Favorite' | Aster
Red Charm | Paeonia 'Red Charm' | Peonies
Red Fox | Veronica spicata 'Rotfuchs' | Veronica
Red Hot Poker | Kniphofia | 
Red Mum | Chrysanthemum 'Red' | Chrysanthemums
Red Satin | Coreopsis 'Red Satin' | Coreopsis
Red Sentinel | Astilbe × arendsii 'Red Sentinel' | Astilbe
Red Velvet | Achillea millefolium 'Red Velvet' | Yarrow
Red Wings | Phlox subulata 'Red Wings' | Creeping Phlox
Rheinland | Astilbe japonica 'Rheinland' | Astilbe
Robert Poore | Phlox paniculata 'Robert Poore' | Garden Phlox
Rock Cress | Aubrieta | 
Rockin' Raspberry | Monarda 'Rockin' Raspberry' | Bee Balm
Rocky Mountain Blue | Aquilegia caerulea | Columbine
Rose Marvel | Salvia nemorosa 'Rose Marvel' | Salvia
Route 66 | Coreopsis 'Route 66' | Coreopsis
Royal Candles | Veronica spicata 'Royal Candles' | Veronica
Rozanne | Geranium 'Rozanne' | Hardy Geranium
Ruby Stella | Hemerocallis 'Ruby Stella' | Daylilies
Russian Sage | Salvia yangii | 
Rust Mum | Chrysanthemum 'Rust' | Chrysanthemums
Sarah Bernhardt | Paeonia 'Sarah Bernhardt' | Peonies
Saucy Seduction | Achillea millefolium 'Saucy Seduction' | Yarrow
Scarlet Flame | Phlox subulata 'Scarlet Flame' | Creeping Phlox
Screaming Yellow | Baptisia sphaerocarpa 'Screaming Yellow' | False Indigo
Sea Holly | Eryngium | 
Sea Thrift | Armeria maritima | 
Sensation Rose | Salvia nemorosa 'Sensation Rose' | Salvia
Sentimental Blue | Platycodon grandiflorus 'Sentimental Blue' | Balloon Flower
Shasta Daisy | Leucanthemum | Shasta Daisy
Sheffield Pink | Chrysanthemum 'Sheffield Pink' | Chrysanthemums
Shirley Temple | Paeonia 'Shirley Temple' | Peonies
Siberian Iris | Iris sibirica | Irises
Sienna Sunset | Coreopsis 'Sienna Sunset' | Coreopsis
Silver Scrolls | Heuchera 'Silver Scrolls' | Coral Bells
Six Hills Giant | Nepeta 'Six Hills Giant' | Catmint
Sneezeweed | Helenium | 
Snow Candles | Veronica 'Snow Candles' | Veronica
Snow Flurry | Symphyotrichum ericoides 'Snow Flurry' | Aster
Snow Hill | Salvia × sylvestris 'Schneehügel' | Salvia
Snow Lady | Leucanthemum × superbum 'Snow Lady' | Shasta Daisy
Snow White | Monarda 'Schneewittchen' | Bee Balm
Snow-in-Summer | Cerastium tomentosum | 
Snowcap | Leucanthemum × superbum 'Snowcap' | Shasta Daisy
Snowflake | Nepeta racemosa 'Snowflake' | Catmint
Snowflake | Phlox subulata 'Snowflake' | Creeping Phlox
Solomon's Seal | Polygonatum | 
Sombrero Adobe Orange | Echinacea 'Sombrero Adobe Orange' | Coneflowers
Sombrero Hot Coral | Echinacea 'Sombrero Hot Coral' | Coneflowers
Sombrero Lemon Yellow | Echinacea 'Sombrero Lemon Yellow' | Coneflowers
Sombrero Salsa Red | Echinacea 'Sombrero Salsa Red' | Coneflowers
Spiderwort | Tradescantia | 
Sprite | Astilbe simplicifolia 'Sprite' | Astilbe
Stafford Daylily | Hemerocallis 'Stafford' | 
Starfire | Phlox paniculata 'Starfire' | Garden Phlox
Stella de Oro | Hemerocallis 'Stella de Oro' | Daylilies
Strawberry Candy | Hemerocallis 'Strawberry Candy' | Daylilies
Sum and Substance | Hosta 'Sum and Substance' | Hostas
Summer Skies | Delphinium 'Summer Skies' | Delphinium
Summer Storm | Hibiscus 'Summer Storm' | Hardy Hibiscus
Sunny Border Blue | Veronica 'Sunny Border Blue' | Veronica
Sunny Seduction | Achillea 'Sunny Seduction' | Yarrow
Sunrise Agastache | Agastache 'Sunrise' | 
Sunset Hyssop | Agastache 'Sunset' | 
Sutton's Apricot | Digitalis purpurea 'Sutton's Apricot' | Foxglove
Sweet William | Dianthus barbatus | 
Sweet Woodruff | Galium odoratum | 
Terracotta | Achillea 'Terracotta' | Yarrow
The Chatelaine | Lupinus 'The Chatelaine' | Lupine
The Governor | Lupinus 'The Governor' | Lupine
The Pages | Lupinus 'The Pages' | Lupine
Thunderhead | Hylotelephium 'Thunderhead' | Sedum
Tiny Rubies | Dianthus gratianopolitanus 'Tiny Rubies' | Dianthus
Toad Lily | Tricyrtis | 
Tomato Soup | Echinacea 'Tomato Soup' | Coneflowers
Toto Gold | Rudbeckia hirta 'Toto Gold' | Black-Eyed Susan
Trillium | Trillium | 
Turtlehead | Chelone | 
Valentine | Lamprocapnos spectabilis 'Valentine' | Bleeding Heart
Veronica | Veronica spicata | Veronica
Violet Riot | Salvia nemorosa 'Violet Riot' | Salvia
Virginia Bluebells | Mertensia virginica | 
Visions | Astilbe chinensis 'Visions' | Astilbe
Walker's Low | Nepeta 'Walker's Low' | Catmint
Wargrave Pink | Geranium × oxonianum 'Wargrave Pink' | Hardy Geranium
Wedding Party | Helleborus × hybridus 'Wedding Party' | Hellebore
White Columbine | Aquilegia | Columbine
White Delight | Phlox subulata 'White Delight' | Creeping Phlox
White Flame | Phlox paniculata 'White Flame' | Garden Phlox
White Mum | Chrysanthemum 'White' | Chrysanthemums
White Pinks | Dianthus 'White' | Dianthus
White Swan | Echinacea purpurea 'White Swan' | Coneflowers
White Wild Indigo | Baptisia alba | False Indigo
White Yarrow | Achillea millefolium | Yarrow
Wide Brim | Hosta 'Wide Brim' | Hostas
Wild Ginger | Asarum | 
Wood's Blue | Symphyotrichum dumosum 'Wood's Blue' | Aster
Wood's Pink | Symphyotrichum dumosum 'Wood's Pink' | Aster
Wood's Purple | Symphyotrichum dumosum 'Wood's Purple' | Aster
Yarrow | Achillea | Yarrow
Yellow Foxglove | Digitalis grandiflora | Foxglove
Yellow Mum | Chrysanthemum 'Yellow' | Chrysanthemums
Zagreb | Coreopsis verticillata 'Zagreb' | Coreopsis
