African Daisy | Osteospermum | African Daisy
Coleus | Coleus scutellarioides | Coleus
Confetti | Lantana camara 'Confetti' | Lantana
Coral Fountain | Amaranthus caudatus 'Coral Fountain' | Amaranth
Coral Geranium | Pelargonium 'Coral' | Geraniums
Coral Gerbera | Gerbera jamesonii | Gerbera Daisy
Coral Petunia | Petunia 'Coral' | Petunias
Coral Snapdragon | Antirrhinum 'Coral' | Snapdragons
Coral Verbena | Verbena × hybrida | Verbena
Coral Vinca | Catharanthus roseus | Vinca
Coral Zinnia | Zinnia elegans 'Coral' | Zinnias
Cosmic Red | Cosmos sulphureus 'Cosmic Red' | Cosmos
Cosmic Yellow | Cosmos sulphureus 'Cosmic Yellow' | Cosmos
Cosmos | Cosmos bipinnatus | Cosmos
Cream Lisianthus | Eustoma grandiflorum | Lisianthus
Cream Marigold | Tagetes erecta 'Vanilla' | Marigolds
Cream Nasturtium | Tropaeolum majus 'Milkmaid' | Nasturtium
Cream Stock | Matthiola incana | Stock
Crimson Bedder | Nicotiana alata 'Crimson Bedder' | Flowering Tobacco
Crystal Palace | Lobelia erinus 'Crystal Palace' | Lobelia
Cupani | Lathyrus odoratus 'Cupani' | Sweet Pea
Cuphea (Cigar Plant) | Cuphea ignea | Cuphea
Dallas Red | Lantana camara 'Dallas Red' | Lantana
Dark Eyes | Fuchsia 'Dark Eyes' | Fuchsia
Dazzler | Cosmos bipinnatus 'Dazzler' | Cosmos
Deep Rose Gerbera | Gerbera jamesonii | Gerbera Daisy
Double Click Rose | Cosmos bipinnatus 'Double Click Rose' | Cosmos
Double Rose Impatiens | Impatiens 'Rockapulco Rose' | Impatiens
Dragon Wing Pink | Begonia 'Dragon Wing Pink' | Begonia
Dragon Wing Red | Begonia 'Dragon Wing Red' | Begonia
Dragon's Breath | Celosia 'Dragon's Breath' | Celosia
Dreadlocks | Amaranthus caudatus 'Dreadlocks' | Amaranth
Dusty Miller | Jacobaea maritima | 
Emerald Tassels | Amaranthus caudatus 'Emerald Tassels' | Amaranth
Empress of India | Tropaeolum majus 'Empress of India' | Nasturtium
EnduraScape Dark Purple | Verbena 'EnduraScape Dark Purple' | Verbena
Envy | Zinnia elegans 'Envy' | Zinnias
Escargot Rex Begonia | Begonia rex 'Escargot' | Rex Begonia
Fan Flower | Scaevola aemula | Fan Flower
Fireworks Rex Begonia | Begonia rex 'Fireworks' | Rex Begonia
Flamingo Feather | Celosia spicata 'Flamingo Feather' | Celosia
FloriGlory Cuphea | Cuphea hybrid 'FloriGlory' | Cuphea
Flowering Tobacco | Nicotiana | Flowering Tobacco
Four O'Clock | Mirabilis jalapa | Four O'Clock
French Marigold | Tagetes patula | Marigolds
Fresh Look Orange | Celosia plumosa 'Fresh Look Orange' | Celosia
Fresh Look Red | Celosia plumosa 'Fresh Look Red' | Celosia
Fresh Look Yellow | Celosia plumosa 'Fresh Look Yellow' | Celosia
Fuchsia | Fuchsia | Fuchsia
Gartenmeister | Fuchsia 'Gartenmeister Bonstedt' | Fuchsia
Gazania | Gazania | Gazania
Geranium (Annual) | Pelargonium | Geraniums
Gerbera Daisy | Gerbera jamesonii | Gerbera Daisy
Giant Sunflower | Helianthus annuus 'Mammoth Russian' | 
Globe Amaranth | Gomphrena | Globe Amaranth
Gold Marigold | Tagetes 'Gold' | Marigolds
Green Caladium | Caladium | Caladium
Henna | Coleus 'Henna' | Coleus
Hot Biscuits | Amaranthus cruentus 'Hot Biscuits' | Amaranth
Impatiens | Impatiens walleriana | Impatiens
Imperial Blue | Verbena 'Superbena Imperial Blue' | Verbena
Indian Prince | Calendula officinalis | Calendula
Intenz Purple | Celosia spicata 'Intenz' | Celosia
Italian White | Helianthus annuus 'Italian White' | Sunflower
Ivory Castle | Eschscholzia californica 'Ivory Castle' | California Poppy
Ivory Princess | Calendula officinalis | Calendula
Ivy Geranium | Pelargonium peltatum | Geraniums
Kauai Rose | Torenia fournieri 'Kauai Rose' | Wishbone Flower
Kong Rose | Coleus 'Kong Rose' | Coleus
Lantana | Lantana camara | Lantana
Larkspur | Consolida | Larkspur
Lavender African Daisy | Osteospermum 'Soprano Lavender' | African Daisy
Lavender Annual Phlox | Phlox drummondii | Annual Phlox
Lavender Bacopa | Chaenostoma cordatum | Bacopa
Lavender Canterbury Bells | Campanula medium | Canterbury Bells
Lavender Geranium | Pelargonium 'Lavender' | Geraniums
Lavender Globe Amaranth | Gomphrena globosa | Globe Amaranth
Lavender Impatiens | Impatiens walleriana | Impatiens
Lavender Larkspur | Consolida ajacis | Larkspur
Lavender Pentas | Pentas lanceolata | Pentas
Lavender Stock | Matthiola incana | Stock
Lavender Stream | Lobularia 'Lavender Stream' | Sweet Alyssum
Lavender Sweet Pea | Lathyrus odoratus | Sweet Pea
Lavender Verbena | Verbena × hybrida | Verbena
Lemon African Daisy | Osteospermum 'Lemon Symphony' | African Daisy
Lemon Gem | Tagetes tenuifolia 'Lemon Gem' | Marigolds
Lemon Queen | Helianthus annuus 'Lemon Queen' | Sunflower
Lilac Lobelia | Lobelia erinus | Lobelia
Lime Green | Nicotiana alata 'Lime Green' | Flowering Tobacco
Lime Time | Coleus 'ColorBlaze Lime Time' | Coleus
Lisianthus | Eustoma | Lisianthus
Lobelia | Lobelia erinus | Lobelia
Love-Lies-Bleeding | Amaranthus caudatus | Amaranth
Lucky White | Lantana camara 'Lucky White' | Lantana
Luscious Citrus | Lantana 'Luscious Citrus Blend' | Lantana
Magenta Four O'Clock | Mirabilis jalapa | Four O'Clock
Magenta Geranium | Pelargonium 'Magenta' | Geraniums
Magenta Portulaca | Portulaca grandiflora | Portulaca
Magenta Verbena | Verbena × hybrida | Verbena
Magenta Zinnia | Zinnia elegans 'Magenta' | Zinnias
Mahogany Nasturtium | Tropaeolum majus 'Mahogany' | Nasturtium
Mammoth | Helianthus annuus 'Mammoth' | Sunflower
Marbles | Mirabilis jalapa 'Marbles' | Four O'Clock
Margarita | Ipomoea batatas 'Margarita' | Sweet Potato Vine
Marguerite Daisy | Argyranthemum | Marguerite Daisy
Marigold | Tagetes | Marigolds
Marinka | Fuchsia 'Marinka' | Fuchsia
Mexican Heather | Cuphea hyssopifolia | Cuphea
Mikado | Eschscholzia californica 'Mikado' | California Poppy
Miss Huff | Lantana camara 'Miss Huff' | Lantana
Moulin Rouge | Helianthus annuus 'Moulin Rouge' | Sunflower
Nagoya Red Kale | Brassica oleracea 'Nagoya Red' | Ornamental Kale
Nasturtium | Tropaeolum | Nasturtium
New Gold | Lantana camara 'New Gold' | Lantana
New Guinea Orange | Impatiens hawkeri | Impatiens
New Guinea Red | Impatiens hawkeri | Impatiens
Night Sky | Petunia 'Night Sky' | Petunias
Nonstop Red Begonia | Begonia × tuberhybrida 'Nonstop Red' | Tuberous Begonia
Nonstop Rose | Begonia 'Nonstop Rose' | Begonia
Orange African Daisy | Osteospermum 'Orange Symphony' | African Daisy
Orange Marigold | Tagetes 'Orange' | Marigolds
Orange Pansy | Viola wittrockiana 'Orange' | Pansies & Violas
Orange Snapdragon | Antirrhinum 'Orange' | Snapdragons
Orange Tuberous Begonia | Begonia × tuberhybrida | Tuberous Begonia
Orange Zinnia | Zinnia elegans 'Orange' | Zinnias
Ornamental Kale | Brassica oleracea | Ornamental Kale
Painted Orange Bidens | Bidens ferulifolia 'Beedance Painted Orange' | Bidens
Painted Red Bidens | Bidens ferulifolia 'Beedance Painted Red' | Bidens
Pansy | Viola \u00d7 wittrockiana | Pansies & Violas
Peach Annual Phlox | Phlox drummondii | Annual Phlox
Peach Melba | Tropaeolum majus 'Peach Melba' | Nasturtium
Pentas | Pentas lanceolata | Pentas
Petunia | Petunia | Petunias
Picotee Lisianthus | Eustoma grandiflorum | Lisianthus
Pineapple | Coleus 'Pineapple' | Coleus
Pink African Daisy | Osteospermum 'Serenity Pink' | African Daisy
Pink Ageratum | Ageratum houstonianum | Ageratum
Pink Bachelor's Button | Centaurea cyanus | Bachelor's Button
Pink Bacopa | Chaenostoma cordatum | Bacopa
Pink Bicolor | Verbena 'EnduraScape Pink Bicolor' | Verbena
Pink Bidens | Bidens hybrid | Bidens
Pink Canterbury Bells | Campanula medium | Canterbury Bells
Pink Chaos | Coleus 'Pink Chaos' | Coleus
