Tulip | Tulipa | Tulips
Gipsy Queen | Hyacinthus 'Gipsy Queen' | Hyacinth
Anna Marie | Hyacinthus 'Anna Marie' | Hyacinth
Miss Saigon | Hyacinthus 'Miss Saigon' | Hyacinth
Splendid Cornelia | Hyacinthus 'Splendid Cornelia' | Hyacinth
Grape Hyacinth | Muscari | Grape Hyacinth
White Muscari | Muscari botryoides 'Album' | Grape Hyacinth
Valerie Finnis | Muscari armeniacum 'Valerie Finnis' | Grape Hyacinth
Latifolium | Muscari latifolium | Grape Hyacinth
Pink Sunrise | Muscari 'Pink Sunrise' | Grape Hyacinth
Golden Fragrance | Muscari macrocarpum 'Golden Fragrance' | Grape Hyacinth
Giant Allium | Allium giganteum | Allium
Globemaster | Allium 'Globemaster' | Allium
Purple Sensation | Allium hollandicum 'Purple Sensation' | Allium
Gladiator | Allium 'Gladiator' | Allium
Mount Everest | Allium stipitatum 'Mount Everest' | Allium
Drumstick Allium | Allium sphaerocephalon | Allium
Star of Persia | Allium cristophii | Allium
Millenium | Allium 'Millenium' | Allium
Golden Garlic | Allium moly | Allium
Asiatic Lily | Lilium | Lilies
Gladiolus | Gladiolus | Gladiolus
Red Gladiolus | Gladiolus | Gladiolus
White Prosperity | Gladiolus 'White Prosperity' | Gladiolus
Purple Magic | Gladiolus 'Purple Magic' | Gladiolus
Yellow Gladiolus | Gladiolus | Gladiolus
Tangelo | Gladiolus 'Tangelo' | Gladiolus
Peche Melba | Gladiolus 'Peche Melba' | Gladiolus
Lavender Gladiolus | Gladiolus | Gladiolus
Green Star | Gladiolus 'Green Star' | Gladiolus
Black Star | Gladiolus 'Black Star' | Gladiolus
Priscilla | Gladiolus 'Priscilla' | Gladiolus
Magenta Gladiolus | Gladiolus | Gladiolus
Dahlia | Dahlia | Dahlias
Café au Lait | Dahlia 'Café au Lait' | Dahlias
Bishop of Llandaff | Dahlia 'Bishop of Llandaff' | Dahlias
Thomas Edison | Dahlia 'Thomas Edison' | Dahlias
Arabian Night | Dahlia 'Arabian Night' | Dahlias
Kelvin Floodlight | Dahlia 'Kelvin Floodlight' | Dahlias
Otto's Thrill | Dahlia 'Otto's Thrill' | Dahlias
Gallery Art Deco | Dahlia 'Gallery Art Deco' | Dahlias
Jowey Winnie | Dahlia 'Jowey Winnie' | Dahlias
Cornel | Dahlia 'Cornel' | Dahlias
David Howard | Dahlia 'David Howard' | Dahlias
Fleurel | Dahlia 'Fleurel' | Dahlias
Sylvia | Dahlia 'Sylvia' | Dahlias
Karma Choc | Dahlia 'Karma Choc' | Dahlias
Labyrinth | Dahlia 'Labyrinth' | Dahlias
Bishop's Children | Dahlia 'Bishop's Children' | Dahlias
Canna Lily | Canna | Canna Lily
President | Canna 'President' | Canna Lily
Bengal Tiger | Canna 'Bengal Tiger' | Canna Lily
Tropicanna | Canna 'Phasion' | Canna Lily
Australia | Canna 'Australia' | Canna Lily
Wyoming | Canna 'Wyoming' | Canna Lily
Cleopatra | Canna 'Cleopatra' | Canna Lily
Yellow King Humbert | Canna 'Yellow King Humbert' | Canna Lily
Lucifer | Canna 'Lucifer' | Canna Lily
Pink President | Canna 'Pink President' | Canna Lily
Tropicanna Gold | Canna 'Mactro' | Canna Lily
Durban | Canna 'Durban' | Canna Lily
Snowdrop | Galanthus | Snowdrop
Flore Pleno | Galanthus nivalis 'Flore Pleno' | Snowdrop
Giant Snowdrop | Galanthus elwesii | Snowdrop
Magnet | Galanthus 'Magnet' | Snowdrop
Viridapice | Galanthus nivalis 'Viridapice' | Snowdrop
S. Arnott | Galanthus 'S. Arnott' | Snowdrop
Crocosmia | Crocosmia | Crocosmia
Lucifer | Crocosmia 'Lucifer' | Crocosmia
Emily McKenzie | Crocosmia 'Emily McKenzie' | Crocosmia
George Davison | Crocosmia 'George Davison' | Crocosmia
Solfatare | Crocosmia × crocosmiiflora 'Solfatare' | Crocosmia
Star of the East | Crocosmia 'Star of the East' | Crocosmia
Oriental Lily | Lilium | Lilies
Dutch Iris | Iris × hollandica | Irises
Ranunculus | Ranunculus asiaticus | Ranunculus
Red Ranunculus | Ranunculus asiaticus | Ranunculus
Pink Ranunculus | Ranunculus asiaticus | Ranunculus
White Ranunculus | Ranunculus asiaticus | Ranunculus
Yellow Ranunculus | Ranunculus asiaticus | Ranunculus
Purple Ranunculus | Ranunculus asiaticus | Ranunculus
Salmon Ranunculus | Ranunculus asiaticus | Ranunculus
Magenta Ranunculus | Ranunculus asiaticus | Ranunculus
Cream Ranunculus | Ranunculus asiaticus | Ranunculus
Picotee Pink | Ranunculus asiaticus 'Picotee' | Ranunculus
Apricot Ranunculus | Ranunculus asiaticus | Ranunculus
Poppy Anemone | Anemone coronaria | Anemone
Mr. Fokker | Anemone coronaria 'Mr. Fokker' | Anemone
The Bride | Anemone coronaria 'The Bride' | Anemone
Hollandia | Anemone coronaria 'Hollandia' | Anemone
Sylphide | Anemone coronaria 'Sylphide' | Anemone
Lord Lieutenant | Anemone coronaria 'Lord Lieutenant' | Anemone
Mt. Everest | Anemone coronaria 'Mt. Everest' | Anemone
The Governor | Anemone coronaria 'The Governor' | Anemone
Blue Shades | Anemone blanda 'Blue Shades' | Anemone
White Splendour | Anemone blanda 'White Splendour' | Anemone
Pink Star | Anemone blanda 'Pink Star' | Anemone
Admiral | Anemone coronaria 'Admiral' | Anemone
Calla Lily | Zantedeschia | Calla Lily
Yellow Calla | Zantedeschia 'Yellow' | Calla Lily
Pink Calla | Zantedeschia rehmannii | Calla Lily
Mango Calla | Zantedeschia 'Mango' | Calla Lily
Red Calla | Zantedeschia 'Garnet Glow' | Calla Lily
Purple Calla | Zantedeschia 'Purple Sensation' | Calla Lily
Black Star Calla | Zantedeschia 'Schwarzwalder' | Calla Lily
Picasso | Zantedeschia 'Picasso' | Calla Lily
Windflower | Anemone blanda | Windflower
White Splendour | Anemone blanda 'White Splendour' | Windflower
Blue Shades | Anemone blanda 'Blue Shades' | Windflower
Pink Star | Anemone blanda 'Pink Star' | Windflower
Charmer | Anemone blanda 'Charmer' | Windflower
Radar | Anemone blanda 'Radar' | Windflower
Glory of the Snow | Scilla | Glory of the Snow
Blue Giant | Scilla forbesii | Glory of the Snow
Pink Giant | Scilla forbesii 'Pink Giant' | Glory of the Snow
Alba | Scilla luciliae 'Alba' | Glory of the Snow
Violet Beauty | Scilla 'Violet Beauty' | Glory of the Snow
Tiger Lily | Lilium lancifolium | Lilies
Crown Imperial | Fritillaria imperialis | Fritillaria
Crown Imperial Rubra | Fritillaria imperialis 'Rubra' | Fritillaria
Crown Imperial Lutea | Fritillaria imperialis 'Lutea' | Fritillaria
Checkered Lily | Fritillaria meleagris | Fritillaria
Checkered Lily Alba | Fritillaria meleagris 'Alba' | Fritillaria
Persian Lily | Fritillaria persica | Fritillaria
Siberian Squill | Scilla siberica | Scilla
White Squill | Scilla siberica 'Alba' | Scilla
Spring Beauty | Scilla siberica 'Spring Beauty' | Scilla
Early Squill | Scilla mischtschenkoana | Scilla
Alpine Squill | Scilla bifolia | Scilla
Portuguese Squill | Scilla peruviana | Scilla
Agapanthus | Agapanthus | Agapanthus
White Agapanthus | Agapanthus 'Albus' | Agapanthus
Peter Pan | Agapanthus 'Peter Pan' | Agapanthus
Storm Cloud | Agapanthus 'Storm Cloud' | Agapanthus
Midnight Blue | Agapanthus 'Midnight Blue' | Agapanthus
Twister | Agapanthus 'Twister' | Agapanthus
Snowball | Agapanthus 'Snowball' | Agapanthus
Freesia | Freesia | Freesia
White Freesia | Freesia 'White' | Freesia
Red Freesia | Freesia 'Red' | Freesia
Pink Freesia | Freesia 'Pink' | Freesia
Purple Freesia | Freesia 'Purple Rain' | Freesia
Orange Freesia | Freesia 'Orange' | Freesia
Blue Freesia | Freesia 'Blue Heaven' | Freesia
Autumn Crocus | Colchicum | Autumn Crocus
Waterlily | Colchicum 'Waterlily' | Autumn Crocus
The Giant | Colchicum 'The Giant' | Autumn Crocus
Album | Colchicum autumnale 'Album' | Autumn Crocus
Showy Crocus | Colchicum speciosum | Autumn Crocus
Lilac Wonder | Colchicum 'Lilac Wonder' | Autumn Crocus
Snowflake | Leucojum | Snowflake
Spring Snowflake | Leucojum vernum | Snowflake
Summer Snowflake | Leucojum aestivum | Snowflake
Gravetye Giant | Leucojum aestivum 'Gravetye Giant' | Snowflake
Star of Bethlehem | Ornithogalum | Star of Bethlehem
Arabicum | Ornithogalum arabicum | Star of Bethlehem
Silver Bells | Ornithogalum nutans | Star of Bethlehem
Chincherinchee | Ornithogalum thyrsoides | Star of Bethlehem
Orange Star | Ornithogalum dubium | Star of Bethlehem
Elephant Ear | Colocasia | Elephant Ear
Black Magic | Colocasia esculenta 'Black Magic' | Elephant Ear
Illustris | Colocasia esculenta 'Illustris' | Elephant Ear
Mojito | Colocasia esculenta 'Mojito' | Elephant Ear
Lime Zinger | Xanthosoma 'Lime Zinger' | Elephant Ear
Pink China | Colocasia esculenta 'Pink China' | Elephant Ear
Alocasia Polly | Alocasia × amazonica 'Polly' | Elephant Ear
Amaryllis | Hippeastrum | Amaryllis
Red Lion | Hippeastrum 'Red Lion' | Amaryllis
Apple Blossom | Hippeastrum 'Apple Blossom' | Amaryllis
Minerva | Hippeastrum 'Minerva' | Amaryllis
Picotee | Hippeastrum 'Picotee' | Amaryllis
Christmas Gift | Hippeastrum 'Christmas Gift' | Amaryllis
Orange Sovereign | Hippeastrum 'Orange Sovereign' | Amaryllis
Rilona | Hippeastrum 'Rilona' | Amaryllis
Trumpet Lily | Lilium | Lilies
Easter Lily | Lilium longiflorum | Lilies
Blue Allium | Allium caeruleum | 
White Allium | Allium karataviense | 
