slug,name,botanical,genus,cat,grouped,group,groupDefault,bloomCount,bloomColors,foliage,sun,water,zones,tags
narcissus-dutch-master,Dutch Master,Narcissus 'Dutch Master',Narcissus,Bulb,true,daffodils,false,1,#f4ca1e,,full-sun,moderate,3-8,yellow trumpet deer-resistant classic
narcissus-mount-hood,Mount Hood,Narcissus 'Mount Hood',Narcissus,Bulb,true,daffodils,false,1,#f6f3ea,,full-sun,moderate,3-8,white trumpet deer-resistant
narcissus-ice-follies,Ice Follies,Narcissus 'Ice Follies',Narcissus,Bulb,true,daffodils,false,1,#f2f0e2,,full-sun,moderate,3-8,white cream large-cupped easy
narcissus-tete-a-tete,Tête-à-Tête,Narcissus 'Tête-à-Tête',Narcissus,Bulb,true,daffodils,false,1,#f5c92a,,full-sun,moderate,3-8,yellow miniature cyclamineus early
narcissus-thalia,Thalia,Narcissus 'Thalia',Narcissus,Bulb,true,daffodils,false,1,#f7f5ee,,full-sun,moderate,3-8,white triandrus fragrant multi-flower
narcissus-february-gold,February Gold,Narcissus 'February Gold',Narcissus,Bulb,true,daffodils,false,1,#f4c01c,,full-sun,moderate,3-8,yellow cyclamineus early
narcissus-jetfire,Jetfire,Narcissus 'Jetfire',Narcissus,Bulb,true,daffodils,false,1,#f2a82a,,full-sun,moderate,3-8,yellow orange cyclamineus early
narcissus-pink-charm,Pink Charm,Narcissus 'Pink Charm',Narcissus,Bulb,true,daffodils,false,1,#f0cdd0,,full-sun,moderate,3-8,white pink large-cupped
narcissus-salome,Salome,Narcissus 'Salome',Narcissus,Bulb,true,daffodils,false,1,#f0c2a8,,full-sun,moderate,3-8,white pink apricot large-cupped
narcissus-cheerfulness,Cheerfulness,Narcissus 'Cheerfulness',Narcissus,Bulb,true,daffodils,false,1,#f4eecb,,full-sun,moderate,3-8,white cream double fragrant late
narcissus-tahiti,Tahiti,Narcissus 'Tahiti',Narcissus,Bulb,true,daffodils,false,1,#f2c024,,full-sun,moderate,3-8,yellow orange double
narcissus-geranium,Geranium,Narcissus 'Geranium',Narcissus,Bulb,true,daffodils,false,1,#f4f1e8,,full-sun,moderate,5-9,white orange tazetta fragrant multi-flower
narcissus-actaea,Actaea,Narcissus 'Actaea',Narcissus,Bulb,true,daffodils,false,1,#f7f5ee,,full-sun,moderate,3-8,white poeticus fragrant late
narcissus-jack-snipe,Jack Snipe,Narcissus 'Jack Snipe',Narcissus,Bulb,true,daffodils,false,1,#f3edda,,full-sun,moderate,3-8,white yellow miniature cyclamineus
narcissus-sir-winston-churchill,Sir Winston Churchill,Narcissus 'Sir Winston Churchill',Narcissus,Bulb,true,daffodils,false,1,#f5f0e4,,full-sun,moderate,3-8,white orange double fragrant multi-flower
crocus,Crocus,Crocus,Crocus,Bulb,true,crocus,true,1,#8e6fc6,,full-sun,low,3-8,purple early
crocus-jeanne-darc,Jeanne d'Arc,Crocus vernus 'Jeanne d'Arc',Crocus,Bulb,true,crocus,false,1,#f4f2ea,,full-sun,low,3-8,white early
crocus-pickwick,Pickwick,Crocus vernus 'Pickwick',Crocus,Bulb,true,crocus,false,1,#c4b0dc,,full-sun,low,3-8,purple lavender bicolor early
crocus-flower-record,Flower Record,Crocus vernus 'Flower Record',Crocus,Bulb,true,crocus,false,1,#6a3a9e,,full-sun,low,3-8,purple violet early
crocus-yellow-mammoth,Yellow Mammoth,Crocus flavus 'Yellow Mammoth',Crocus,Bulb,true,crocus,false,1,#f4c020,,full-sun,low,3-8,yellow gold early
crocus-ruby-giant,Ruby Giant,Crocus tommasinianus 'Ruby Giant',Crocus,Bulb,true,crocus,false,1,#8a4a9e,,full-sun,low,3-8,purple magenta early
crocus-cream-beauty,Cream Beauty,Crocus chrysanthus 'Cream Beauty',Crocus,Bulb,true,crocus,false,1,#f0e8c8,,full-sun,low,3-8,cream yellow early
crocus-blue-pearl,Blue Pearl,Crocus chrysanthus 'Blue Pearl',Crocus,Bulb,true,crocus,false,1,#a8b8e0,,full-sun,low,3-8,blue lavender early
crocus-remembrance,Remembrance,Crocus vernus 'Remembrance',Crocus,Bulb,true,crocus,false,1,#6a5ac0,,full-sun,low,3-8,purple blue violet early
crocus-tricolor,Tricolor,Crocus sieberi 'Tricolor',Crocus,Bulb,true,crocus,false,1,#8a6fc6,,full-sun,low,3-8,purple yellow white bicolor early
crocus-snow-bunting,Snow Bunting,Crocus chrysanthus 'Snow Bunting',Crocus,Bulb,true,crocus,false,1,#f0eee2,,full-sun,low,3-8,white cream early
crocus-grand-maitre,Grand Maître,Crocus vernus 'Grand Maître',Crocus,Bulb,true,crocus,false,1,#9a8ad0,,full-sun,low,3-8,lavender purple blue early
hyacinth,Hyacinth,Hyacinthus orientalis,Hyacinthus,Bulb,true,hyacinth,true,1,#6a6fd6,,full-sun,moderate,4-8,blue fragrant
hyacinth-delft-blue,Delft Blue,Hyacinthus 'Delft Blue',Hyacinthus,Bulb,true,hyacinth,false,1,#7a8ad6,,full-sun,moderate,4-8,blue fragrant
hyacinth-blue-jacket,Blue Jacket,Hyacinthus 'Blue Jacket',Hyacinthus,Bulb,true,hyacinth,false,1,#4a52b8,,full-sun,moderate,4-8,blue purple fragrant
hyacinth-carnegie,Carnegie,Hyacinthus 'Carnegie',Hyacinthus,Bulb,true,hyacinth,false,1,#f4f2ea,,full-sun,moderate,4-8,white fragrant
hyacinth-pink-pearl,Pink Pearl,Hyacinthus 'Pink Pearl',Hyacinthus,Bulb,true,hyacinth,false,1,#e06a9e,,full-sun,moderate,4-8,pink fragrant
hyacinth-jan-bos,Jan Bos,Hyacinthus 'Jan Bos',Hyacinthus,Bulb,true,hyacinth,false,1,#d63a5e,,full-sun,moderate,4-8,red pink fragrant
hyacinth-city-of-haarlem,City of Haarlem,Hyacinthus 'City of Haarlem',Hyacinthus,Bulb,true,hyacinth,false,1,#f0e08a,,full-sun,moderate,4-8,yellow cream fragrant
hyacinth-woodstock,Woodstock,Hyacinthus 'Woodstock',Hyacinthus,Bulb,true,hyacinth,false,1,#8a3a6e,,full-sun,moderate,4-8,magenta purple fragrant
hyacinth-gipsy-queen,Gipsy Queen,Hyacinthus 'Gipsy Queen',Hyacinthus,Bulb,true,hyacinth,false,1,#f0b088,,full-sun,moderate,4-8,apricot peach coral fragrant
hyacinth-anna-marie,Anna Marie,Hyacinthus 'Anna Marie',Hyacinthus,Bulb,true,hyacinth,false,1,#f0a8c0,,full-sun,moderate,4-8,pink fragrant
hyacinth-miss-saigon,Miss Saigon,Hyacinthus 'Miss Saigon',Hyacinthus,Bulb,true,hyacinth,false,1,#7a4aae,,full-sun,moderate,4-8,purple violet fragrant
hyacinth-splendid-cornelia,Splendid Cornelia,Hyacinthus 'Splendid Cornelia',Hyacinthus,Bulb,true,hyacinth,false,1,#b89ad8,,full-sun,moderate,4-8,lavender lilac purple fragrant
grape-hyacinth,Grape Hyacinth,Muscari,Muscari,Bulb,true,grape-hyacinth,true,1,#3f51b5,,full-sun,low,3-8,blue
grape-hyacinth-white,White Muscari,Muscari botryoides 'Album',Muscari,Bulb,true,grape-hyacinth,false,1,#f4f2ea,,full-sun,low,3-8,white
grape-hyacinth-valerie-finnis,Valerie Finnis,Muscari armeniacum 'Valerie Finnis',Muscari,Bulb,true,grape-hyacinth,false,1,#9ab0e0,,full-sun,low,3-8,blue
grape-hyacinth-latifolium,Latifolium,Muscari latifolium,Muscari,Bulb,true,grape-hyacinth,false,1,#2a3a8e,,full-sun,low,4-8,blue purple
grape-hyacinth-pink,Pink Sunrise,Muscari 'Pink Sunrise',Muscari,Bulb,true,grape-hyacinth,false,1,#e8a0c0,,full-sun,low,4-8,pink
grape-hyacinth-golden-fragrance,Golden Fragrance,Muscari macrocarpum 'Golden Fragrance',Muscari,Bulb,true,grape-hyacinth,false,1,#c8a83a,,full-sun,low,4-8,yellow purple
allium,Giant Allium,Allium giganteum,Allium,Bulb,true,allium,true,1,#9b6fc6,,full-sun,low,4-8,purple architectural
allium-globemaster,Globemaster,Allium 'Globemaster',Allium,Bulb,true,allium,false,1,#7a4fb0,,full-sun,low,5-9,purple architectural
allium-purple-sensation,Purple Sensation,Allium hollandicum 'Purple Sensation',Allium,Bulb,true,allium,false,1,#8040a8,,full-sun,low,4-8,purple architectural
allium-gladiator,Gladiator,Allium 'Gladiator',Allium,Bulb,true,allium,false,1,#8a55b8,,full-sun,low,4-8,purple architectural
allium-mount-everest,Mount Everest,Allium stipitatum 'Mount Everest',Allium,Bulb,true,allium,false,1,#f4f2ea,,full-sun,low,4-8,white architectural
allium-drumstick,Drumstick Allium,Allium sphaerocephalon,Allium,Bulb,true,allium,false,1,#8a2e4a,,full-sun,low,4-8,burgundy purple
allium-christophii,Star of Persia,Allium cristophii,Allium,Bulb,true,allium,false,1,#b88ac8,,full-sun,low,4-8,purple lavender architectural
allium-millenium,Millenium,Allium 'Millenium',Allium,Bulb,true,allium,false,1,#a04f9e,,full-sun,low,4-9,purple pink pollinator
allium-moly,Golden Garlic,Allium moly,Allium,Bulb,true,allium,false,1,#f2c81e,,full-sun,low,3-9,yellow
lily-asiatic,Asiatic Lily,Lilium,Lilium,Bulb,true,lilies,true,1,#e8643c,,full-sun,moderate,3-8,orange
gladiolus,Gladiolus,Gladiolus,Gladiolus,Bulb,true,gladiolus,true,1,#e0457b,,full-sun,moderate,7-10,pink cut flower
gladiolus-red,Red Gladiolus,Gladiolus,Gladiolus,Bulb,true,gladiolus,false,1,#d6283a,,full-sun,moderate,7-10,red cut flower
gladiolus-white,White Prosperity,Gladiolus 'White Prosperity',Gladiolus,Bulb,true,gladiolus,false,1,#f4f2ea,,full-sun,moderate,7-10,white cut flower
gladiolus-purple,Purple Magic,Gladiolus 'Purple Magic',Gladiolus,Bulb,true,gladiolus,false,1,#7a3a9e,,full-sun,moderate,7-10,purple violet cut flower
gladiolus-yellow,Yellow Gladiolus,Gladiolus,Gladiolus,Bulb,true,gladiolus,false,1,#f4c020,,full-sun,moderate,7-10,yellow gold cut flower
gladiolus-orange,Tangelo,Gladiolus 'Tangelo',Gladiolus,Bulb,true,gladiolus,false,1,#f0802a,,full-sun,moderate,7-10,orange cut flower
gladiolus-salmon,Peche Melba,Gladiolus 'Peche Melba',Gladiolus,Bulb,true,gladiolus,false,1,#f0a07a,,full-sun,moderate,7-10,coral salmon apricot cut flower
gladiolus-lavender,Lavender Gladiolus,Gladiolus,Gladiolus,Bulb,true,gladiolus,false,1,#b89ad0,,full-sun,moderate,7-10,lavender purple cut flower
gladiolus-green-star,Green Star,Gladiolus 'Green Star',Gladiolus,Bulb,true,gladiolus,false,1,#b8c84a,,full-sun,moderate,7-10,green cut flower
gladiolus-black-star,Black Star,Gladiolus 'Black Star',Gladiolus,Bulb,true,gladiolus,false,1,#5a1e2a,,full-sun,moderate,7-10,burgundy red cut flower
gladiolus-priscilla,Priscilla,Gladiolus 'Priscilla',Gladiolus,Bulb,true,gladiolus,false,1,#f0d8e0,,full-sun,moderate,7-10,white pink bicolor cut flower
gladiolus-magenta,Magenta Gladiolus,Gladiolus,Gladiolus,Bulb,true,gladiolus,false,1,#cc2e8e,,full-sun,moderate,7-10,magenta pink cut flower
dahlia,Dahlia,Dahlia,Dahlia,Bulb,true,dahlias,true,1,#d6406a,,full-sun,high,8-10,pink cut flower
dahlia-cafe-au-lait,Café au Lait,Dahlia 'Café au Lait',Dahlia,Bulb,true,dahlias,false,1,#ecd8c4,,full-sun,high,8-10,cream blush pink dinnerplate cut flower
dahlia-bishop-of-llandaff,Bishop of Llandaff,Dahlia 'Bishop of Llandaff',Dahlia,Bulb,true,dahlias,false,1,#cc2828,#5a3a3a,full-sun,high,8-10,red scarlet cut flower
dahlia-thomas-edison,Thomas Edison,Dahlia 'Thomas Edison',Dahlia,Bulb,true,dahlias,false,1,#7a3a86,,full-sun,high,8-10,purple dinnerplate cut flower
dahlia-arabian-night,Arabian Night,Dahlia 'Arabian Night',Dahlia,Bulb,true,dahlias,false,1,#6e1f2a,,full-sun,high,8-10,red burgundy cut flower
dahlia-kelvin-floodlight,Kelvin Floodlight,Dahlia 'Kelvin Floodlight',Dahlia,Bulb,true,dahlias,false,1,#f4cc28,,full-sun,high,8-10,yellow dinnerplate cut flower
dahlia-ottos-thrill,Otto's Thrill,Dahlia 'Otto's Thrill',Dahlia,Bulb,true,dahlias,false,1,#ee82a8,,full-sun,high,8-10,pink dinnerplate cut flower
dahlia-gallery-art-deco,Gallery Art Deco,Dahlia 'Gallery Art Deco',Dahlia,Bulb,true,dahlias,false,1,#ee7a2a,,full-sun,high,8-10,orange dwarf cut flower
dahlia-jowey-winnie,Jowey Winnie,Dahlia 'Jowey Winnie',Dahlia,Bulb,true,dahlias,false,1,#e890a4,,full-sun,high,8-10,pink ball cut flower
dahlia-cornel,Cornel,Dahlia 'Cornel',Dahlia,Bulb,true,dahlias,false,1,#bc2830,,full-sun,high,8-10,red ball cut flower
dahlia-david-howard,David Howard,Dahlia 'David Howard',Dahlia,Bulb,true,dahlias,false,1,#e8741e,#4a3236,full-sun,high,8-10,orange cut flower
dahlia-fleurel,Fleurel,Dahlia 'Fleurel',Dahlia,Bulb,true,dahlias,false,1,#f6f3ec,,full-sun,high,8-10,white dinnerplate cut flower
dahlia-sylvia,Sylvia,Dahlia 'Sylvia',Dahlia,Bulb,true,dahlias,false,1,#ef8a3a,,full-sun,high,8-10,orange peach ball cut flower
dahlia-karma-choc,Karma Choc,Dahlia 'Karma Choc',Dahlia,Bulb,true,dahlias,false,1,#7a1f26,#4a3236,full-sun,high,8-10,red burgundy cut flower
dahlia-labyrinth,Labyrinth,Dahlia 'Labyrinth',Dahlia,Bulb,true,dahlias,false,1,#f0a288,,full-sun,high,8-10,pink peach apricot dinnerplate cut flower
dahlia-bishops-children,Bishop's Children,Dahlia 'Bishop's Children',Dahlia,Bulb,true,dahlias,false,1,#e0503a,#4a3236,full-sun,high,8-10,red orange pink cut flower
canna,Canna Lily,Canna,Canna,Bulb,true,canna,true,1,#e23b2e,,full-sun,high,7-10,red tropical
canna-president,President,Canna 'President',Canna,Bulb,true,canna,false,1,#d6283a,#2e6e3a,full-sun,high,7-10,red tropical
canna-bengal-tiger,Bengal Tiger,Canna 'Bengal Tiger',Canna,Bulb,true,canna,false,1,#f0802a,#8aa83a,full-sun,high,7-10,orange yellow tropical
canna-tropicanna,Tropicanna,Canna 'Phasion',Canna,Bulb,true,canna,false,1,#f07028,#6a3a3a,full-sun,high,7-10,orange red tropical
canna-australia,Australia,Canna 'Australia',Canna,Bulb,true,canna,false,1,#c2282e,#3a2230,full-sun,high,7-10,red burgundy tropical
canna-wyoming,Wyoming,Canna 'Wyoming',Canna,Bulb,true,canna,false,1,#e06828,#5a3a3a,full-sun,high,7-10,orange red tropical
canna-cleopatra,Cleopatra,Canna 'Cleopatra',Canna,Bulb,true,canna,false,1,#e0a828,#3a5a3a,full-sun,high,7-10,yellow red bicolor tropical
canna-yellow-king-humbert,Yellow King Humbert,Canna 'Yellow King Humbert',Canna,Bulb,true,canna,false,1,#f4c020,#2e6e3a,full-sun,high,7-10,yellow gold tropical
canna-lucifer,Lucifer,Canna 'Lucifer',Canna,Bulb,true,canna,false,1,#d6402a,#2e6e3a,full-sun,high,7-10,red yellow bicolor dwarf tropical
canna-pink-president,Pink President,Canna 'Pink President',Canna,Bulb,true,canna,false,1,#e85a8e,#2e6e3a,full-sun,high,7-10,pink rose tropical
canna-tropicanna-gold,Tropicanna Gold,Canna 'Mactro',Canna,Bulb,true,canna,false,1,#f0a028,#8aa83a,full-sun,high,7-10,orange gold yellow tropical
canna-durban,Durban,Canna 'Durban',Canna,Bulb,true,canna,false,1,#f07820,#6a3a40,full-sun,high,7-10,orange red tropical
snowdrop,Snowdrop,Galanthus,Galanthus,Bulb,true,snowdrop,true,1,#f7f7f7,#5a8f6a,part-shade,moderate,3-7,white early
snowdrop-flore-pleno,Flore Pleno,Galanthus nivalis 'Flore Pleno',Galanthus,Bulb,true,snowdrop,false,1,#fafafa,#5a8f6a,part-shade,moderate,3-7,white early
snowdrop-elwesii,Giant Snowdrop,Galanthus elwesii,Galanthus,Bulb,true,snowdrop,false,1,#f8f8f8,#6a9a78,part-shade,moderate,3-8,white early
snowdrop-magnet,Magnet,Galanthus 'Magnet',Galanthus,Bulb,true,snowdrop,false,1,#f7f7f7,#5a8f6a,part-shade,moderate,3-7,white early
snowdrop-viridapice,Viridapice,Galanthus nivalis 'Viridapice',Galanthus,Bulb,true,snowdrop,false,1,#f0f4ea,#5a8f6a,part-shade,moderate,3-7,white green early
snowdrop-sam-arnott,S. Arnott,Galanthus 'S. Arnott',Galanthus,Bulb,true,snowdrop,false,1,#fafafa,#5a8f6a,part-shade,moderate,3-7,white fragrant early
crocosmia,Crocosmia,Crocosmia,Crocosmia,Bulb,true,crocosmia,true,1,#e8431f,,full-sun,moderate,5-9,red
crocosmia-lucifer,Lucifer,Crocosmia 'Lucifer',Crocosmia,Bulb,true,crocosmia,false,1,#d6281f,,full-sun,moderate,5-9,red
crocosmia-emily-mckenzie,Emily McKenzie,Crocosmia 'Emily McKenzie',Crocosmia,Bulb,true,crocosmia,false,1,#e8701f,,full-sun,moderate,6-9,orange
crocosmia-george-davison,George Davison,Crocosmia 'George Davison',Crocosmia,Bulb,true,crocosmia,false,1,#f2b41e,,full-sun,moderate,5-9,yellow
crocosmia-solfatare,Solfatare,Crocosmia × crocosmiiflora 'Solfatare',Crocosmia,Bulb,true,crocosmia,false,1,#f0c860,#8a7a5a,full-sun,moderate,6-9,yellow apricot
crocosmia-star-of-the-east,Star of the East,Crocosmia 'Star of the East',Crocosmia,Bulb,true,crocosmia,false,1,#f0902a,,full-sun,moderate,6-9,orange
daylily,Daylily,Hemerocallis,Hemerocallis,Perennial,true,daylilies,true,1,#f08a3c,,full-sun,moderate,3-9,orange easy
daylily-stella-de-oro,Stella de Oro,Hemerocallis 'Stella de Oro',Hemerocallis,Perennial,true,daylilies,false,1,#f2b21e,,full-sun,moderate,3-9,gold yellow dwarf reblooming fragrant easy
daylily-happy-returns,Happy Returns,Hemerocallis 'Happy Returns',Hemerocallis,Perennial,true,daylilies,false,1,#f3df5e,,full-sun,moderate,3-9,yellow reblooming fragrant
daylily-pardon-me,Pardon Me,Hemerocallis 'Pardon Me',Hemerocallis,Perennial,true,daylilies,false,1,#b8323a,,full-sun,moderate,3-9,red crimson reblooming dwarf
daylily-hyperion,Hyperion,Hemerocallis 'Hyperion',Hemerocallis,Perennial,true,daylilies,false,1,#f3df6a,,full-sun,moderate,3-9,yellow fragrant tall classic
daylily-chicago-apache,Chicago Apache,Hemerocallis 'Chicago Apache',Hemerocallis,Perennial,true,daylilies,false,1,#c02830,,full-sun,moderate,3-9,red scarlet
daylily-catherine-woodbery,Catherine Woodbery,Hemerocallis 'Catherine Woodbery',Hemerocallis,Perennial,true,daylilies,false,1,#d49ac0,,full-sun,moderate,3-9,pink lavender purple fragrant
daylily-joan-senior,Joan Senior,Hemerocallis 'Joan Senior',Hemerocallis,Perennial,true,daylilies,false,1,#f4eedd,,full-sun,moderate,3-9,white cream reblooming
daylily-strawberry-candy,Strawberry Candy,Hemerocallis 'Strawberry Candy',Hemerocallis,Perennial,true,daylilies,false,1,#ef8a8e,,full-sun,moderate,3-9,pink red reblooming
daylily-bela-lugosi,Bela Lugosi,Hemerocallis 'Bela Lugosi',Hemerocallis,Perennial,true,daylilies,false,1,#5a3270,,full-sun,moderate,3-9,purple
daylily-frans-hals,Frans Hals,Hemerocallis 'Frans Hals',Hemerocallis,Perennial,true,daylilies,false,1,#e8742a,,full-sun,moderate,3-9,orange yellow bicolor
daylily-apricot-sparkles,Apricot Sparkles,Hemerocallis 'Apricot Sparkles',Hemerocallis,Perennial,true,daylilies,false,1,#f2b07e,,full-sun,moderate,3-9,apricot reblooming dwarf
daylily-going-bananas,Going Bananas,Hemerocallis 'Going Bananas',Hemerocallis,Perennial,true,daylilies,false,1,#f3d83e,,full-sun,moderate,3-9,yellow reblooming fragrant
daylily-purple-de-oro,Purple de Oro,Hemerocallis 'Purple de Oro',Hemerocallis,Perennial,true,daylilies,false,1,#7a4a93,,full-sun,moderate,3-9,purple reblooming dwarf
daylily-ruby-stella,Ruby Stella,Hemerocallis 'Ruby Stella',Hemerocallis,Perennial,true,daylilies,false,1,#a8283a,,full-sun,moderate,3-9,red reblooming dwarf
daylily-el-desperado,El Desperado,Hemerocallis 'El Desperado',Hemerocallis,Perennial,true,daylilies,false,1,#f0c83e,,full-sun,moderate,3-9,yellow purple bicolor
iris-bearded,Bearded Iris,Iris germanica,Iris,Perennial,true,irises,true,1,#7e5fae,,full-sun,moderate,3-9,purple fragrant
coneflower,Purple Coneflower,Echinacea purpurea,Echinacea,Perennial,true,coneflowers,true,1,#c85a8e,,full-sun,low,3-9,pink pollinator native
coneflower-magnus,Magnus,Echinacea purpurea 'Magnus',Echinacea,Perennial,true,coneflowers,false,1,#b5538f,,full-sun,low,3-9,purple pink pollinator native
coneflower-white-swan,White Swan,Echinacea purpurea 'White Swan',Echinacea,Perennial,true,coneflowers,false,1,#f2efe4,,full-sun,low,3-9,white pollinator
coneflower-powwow-wild-berry,PowWow Wild Berry,Echinacea 'PowWow Wild Berry',Echinacea,Perennial,true,coneflowers,false,1,#c43a78,,full-sun,low,3-8,magenta pink pollinator
coneflower-cheyenne-spirit,Cheyenne Spirit,Echinacea 'Cheyenne Spirit',Echinacea,Perennial,true,coneflowers,false,1,#e08038,,full-sun,low,4-9,orange red yellow mix pollinator
coneflower-hot-papaya,Hot Papaya,Echinacea 'Hot Papaya',Echinacea,Perennial,true,coneflowers,false,1,#e8552a,,full-sun,low,4-9,orange red double
coneflower-sombrero-salsa-red,Sombrero Salsa Red,Echinacea 'Sombrero Salsa Red',Echinacea,Perennial,true,coneflowers,false,1,#cc3a2a,,full-sun,low,4-9,red pollinator
coneflower-sombrero-adobe-orange,Sombrero Adobe Orange,Echinacea 'Sombrero Adobe Orange',Echinacea,Perennial,true,coneflowers,false,1,#e8742a,,full-sun,low,4-9,orange pollinator
coneflower-sombrero-lemon-yellow,Sombrero Lemon Yellow,Echinacea 'Sombrero Lemon Yellow',Echinacea,Perennial,true,coneflowers,false,1,#f2c83a,,full-sun,low,4-9,yellow pollinator
coneflower-green-jewel,Green Jewel,Echinacea purpurea 'Green Jewel',Echinacea,Perennial,true,coneflowers,false,1,#b8c468,,full-sun,low,4-9,green pollinator
coneflower-pink-double-delight,Pink Double Delight,Echinacea 'Pink Double Delight',Echinacea,Perennial,true,coneflowers,false,1,#e87aa8,,full-sun,low,4-9,pink double
coneflower-marmalade,Marmalade,Echinacea 'Marmalade',Echinacea,Perennial,true,coneflowers,false,1,#e8902a,,full-sun,low,4-9,orange double
coneflower-kismet-raspberry,Kismet Raspberry,Echinacea 'Kismet Raspberry',Echinacea,Perennial,true,coneflowers,false,1,#be3a72,,full-sun,low,4-9,magenta pink pollinator
coneflower-tomato-soup,Tomato Soup,Echinacea 'Tomato Soup',Echinacea,Perennial,true,coneflowers,false,1,#cc3826,,full-sun,low,4-9,red pollinator
coneflower-sombrero-hot-coral,Sombrero Hot Coral,Echinacea 'Sombrero Hot Coral',Echinacea,Perennial,true,coneflowers,false,1,#f0734e,,full-sun,low,4-9,coral orange pollinator
coneflower-coconut-lime,Coconut Lime,Echinacea 'Coconut Lime',Echinacea,Perennial,true,coneflowers,false,1,#d8dcc0,,full-sun,low,4-9,white green double
black-eyed-susan,Black-Eyed Susan,Rudbeckia,Rudbeckia,Perennial,true,black-eyed-susan,true,1,#f4b400,,full-sun,low,3-9,yellow pollinator native
black-eyed-susan-goldsturm,Goldsturm,Rudbeckia fulgida 'Goldsturm',Rudbeckia,Perennial,true,black-eyed-susan,false,1,#f0a81e,,full-sun,low,3-9,yellow gold pollinator native
black-eyed-susan-american-gold-rush,American Gold Rush,Rudbeckia 'American Gold Rush',Rudbeckia,Perennial,true,black-eyed-susan,false,1,#f2b01e,,full-sun,low,4-9,yellow gold pollinator native
black-eyed-susan-indian-summer,Indian Summer,Rudbeckia hirta 'Indian Summer',Rudbeckia,Perennial,true,black-eyed-susan,false,1,#f4b81e,,full-sun,low,3-7,yellow gold pollinator
black-eyed-susan-cherry-brandy,Cherry Brandy,Rudbeckia hirta 'Cherry Brandy',Rudbeckia,Perennial,true,black-eyed-susan,false,1,#9e2a32,,full-sun,low,4-9,red burgundy pollinator
