Abbotswood | Potentilla fruticosa 'Abbotswood' | Shrub | Potentilla
Blue Pearl | Crocus chrysanthus 'Blue Pearl' | Bulb | Crocus
Blue Peter | Rhododendron 'Blue Peter' | Shrub | Rhododendrons
Blue Petunia | Petunia 'Blue' | Annual | Petunias
Blue Point Juniper | Juniperus chinensis 'Blue Point' | Conifer | Juniper
Blue Rug Juniper | Juniperus horizontalis 'Wiltonii' | Conifer | Juniper
Blue Shades | Anemone blanda 'Blue Shades' | Bulb | Anemone
Blue Shades | Anemone blanda 'Blue Shades' | Bulb | Windflower
Blue Star Juniper | Juniperus squamata 'Blue Star' | Conifer | Juniper
Blue Statice | Limonium sinuatum | Annual | Statice
Blue Wonder | Nepeta × faassenii 'Blue Wonder' | Perennial | Catmint
Bluestar | Amsonia | Perennial | 
Blushing Bride | Hibiscus syriacus 'Blushing Bride' | Shrub | Rose of Sharon
Blushing Susie | Thunbergia alata 'Blushing Susie' | Climber | Black-Eyed Susan Vine
Bolero Rose | Rosa 'Meidelweis' | Rose | 
Bombay Orange | Celosia cristata 'Bombay Orange' | Annual | Celosia
Bonfire | Begonia boliviensis 'Bonfire' | Annual | Begonia
Bonica | Rosa 'Meidomonac' | Rose | Shrub & Landscape Roses
Boscobel | Rosa 'Auscousin' | Rose | English (David Austin) Roses
Boston Fern | Nephrolepis exaltata | Fern | 
Boston Ivy | Parthenocissus tricuspidata | Climber | Boston Ivy
Boule de Neige | Rhododendron 'Boule de Neige' | Shrub | Rhododendrons
Bowl of Beauty | Paeonia 'Bowl of Beauty' | Perennial | Peonies
Boxwood | Buxus | Shrub | Boxwood
Bridal Veil | Astilbe × arendsii 'Brautschleier' | Perennial | Astilbe
Bridal Wreath | Spiraea × vanhouttei | Shrub | Spirea
Bright Eyes | Phlox paniculata 'Bright Eyes' | Perennial | Garden Phlox
Bright Eyes | Thunbergia alata 'Bright Eyes' | Climber | Black-Eyed Susan Vine
Bright Lights | Cosmos sulphureus 'Bright Lights' | Annual | Cosmos
Brilliant | Dianthus deltoides 'Brilliant' | Perennial | Dianthus
Brilliant Sedum | Hylotelephium spectabile 'Brilliant' | Perennial | Sedum
Bronze Gazania | Gazania rigens | Annual | Gazania
Bronze Mum | Chrysanthemum 'Bronze' | Perennial | Chrysanthemums
Bronze Snapdragon | Antirrhinum 'Bronze' | Annual | Snapdragons
Brookside | Geranium 'Brookside' | Perennial | Hardy Geranium
Browallia | Browallia speciosa | Annual | Browallia
Brunner 'Jack Frost' | Brunnera macrophylla 'Jack Frost' | Perennial | 
Brunner 'Silver Heart' | Brunnera macrophylla 'Silver Heart' | Perennial | 
Brunnera | Brunnera macrophylla | Perennial | 
Bugleweed | Ajuga reptans | Perennial | 
Burgundy | Gaillardia × grandiflora 'Burgundy' | Perennial | Blanket Flower
Burgundy Geranium | Pelargonium 'Burgundy' | Annual | Geraniums
Burgundy Mum | Chrysanthemum 'Burgundy' | Perennial | Chrysanthemums
Burgundy Petunia | Petunia 'Burgundy' | Annual | Petunias
Burgundy Snapdragon | Antirrhinum 'Burgundy' | Annual | Snapdragons
Burkwood | Viburnum × burkwoodii | Shrub | Viburnum
Burning Hearts | Dicentra 'Burning Hearts' | Perennial | Bleeding Heart
Butterflies Magnolia | Magnolia 'Butterflies' | Tree | Magnolia
Butterfly | Acer palmatum 'Butterfly' | Tree | Japanese Maple
Butterfly Bush | Buddleia davidii | Shrub | Butterfly Bush
Butterfly Marguerite Daisy | Argyranthemum 'Butterfly' | Annual | Marguerite Daisy
Butterfly Weed | Asclepias tuberosa | Perennial | 
Café au Lait | Dahlia 'Café au Lait' | Bulb | Dahlias
Caladium | Caladium | Annual | Caladium
Calendula | Calendula | Annual | Calendula
Calibrachoa | Calibrachoa | Annual | Calibrachoa
California Flannel Bush 'Ken Taylor' | Fremontodendron 'Ken Taylor' | Shrub | 
California Flannel Bush 'Pacific Sunset' | Fremontodendron 'Pacific Sunset' | Shrub | 
California Flannelbush | Fremontodendron californicum | Shrub | 
California Fuchsia | Epilobium canum | Perennial | 
California Lilac | Ceanothus 'Concha' | Shrub | 
California Poppy | Eschscholzia | Annual | California Poppy
California Poppy (Cream/White) | Eschscholzia californica 'Alba' | Annual | 
California Poppy (Rose/Pink Mix) | Eschscholzia californica 'Carmine King' | Annual | 
Calla Lily | Zantedeschia | Bulb | Calla Lily
Camellia | Camellia japonica | Shrub | Camellia
Camelot Cream | Digitalis purpurea 'Camelot Cream' | Perennial | Foxglove
Camelot Lavender | Digitalis purpurea 'Camelot Lavender' | Perennial | Foxglove
Camelot Rose | Digitalis purpurea 'Camelot Rose' | Perennial | Foxglove
Camelot White | Digitalis purpurea 'Camelot White' | Perennial | Foxglove
Campfire | Coleus 'Campfire' | Annual | Coleus
Campfire Marshmallow Bidens | Bidens hybrid 'Campfire Marshmallow' | Annual | Bidens
Candy Stripe | Phlox subulata 'Candy Stripe' | Perennial | Creeping Phlox
Candytuft | Iberis sempervirens | Perennial | 
Canna Lily | Canna | Bulb | Canna Lily
Canterbury Bells | Campanula medium | Annual | Canterbury Bells
Capistrano | Rhododendron 'Capistrano' | Shrub | Rhododendrons
Caradonna | Salvia nemorosa 'Caradonna' | Perennial | Salvia
Caramel | Heuchera 'Caramel' | Perennial | Coral Bells
Cardinal Flower | Lobelia cardinalis | Perennial | 
Carding Mill | Rosa 'Auswest' | Rose | English (David Austin) Roses
Carnation | Dianthus caryophyllus | Perennial | 
Carnegie | Hyacinthus 'Carnegie' | Bulb | Hyacinth
Carolina Moonlight | Baptisia 'Carolina Moonlight' | Perennial | False Indigo
Carolyn Whorton Caladium | Caladium 'Carolyn Whorton' | Annual | Caladium
Cat's Meow | Nepeta 'Cat's Meow' | Perennial | Catmint
Catalina Midnight Blue | Torenia fournieri 'Catalina Midnight Blue' | Annual | Wishbone Flower
Catawba | Lagerstroemia 'Catawba' | Shrub | Crape Myrtle
Catherine Woodbery | Hemerocallis 'Catherine Woodbery' | Perennial | Daylilies
Catmint | Nepeta | Perennial | Catmint
Celosia | Celosia | Annual | Celosia
Century Pink | Celosia plumosa 'Century Pink' | Annual | Celosia
Cerise Queen | Achillea millefolium 'Cerise Queen' | Perennial | Yarrow
Chandelier | Lupinus 'Chandelier' | Perennial | Lupine
Charles Joly | Syringa vulgaris 'Charles Joly' | Shrub | Lilac
Charlotte | Rosa 'Auspoly' | Rose | English (David Austin) Roses
Charmer | Anemone blanda 'Charmer' | Bulb | Windflower
Chater's Double Red | Alcea rosea 'Chater's Double Red' | Perennial | Hollyhock
Chater's Double Violet | Alcea rosea 'Chater's Double Violet' | Perennial | Hollyhock
Chater's Double White | Alcea rosea 'Chater's Double White' | Perennial | Hollyhock
Chater's Double Yellow | Alcea rosea 'Chater's Double Yellow' | Perennial | Hollyhock
Checkered Lily | Fritillaria meleagris | Bulb | Fritillaria
Checkered Lily Alba | Fritillaria meleagris 'Alba' | Bulb | Fritillaria
Cheerfulness | Narcissus 'Cheerfulness' | Bulb | Daffodils
Cherokee Brave | Cornus florida 'Cherokee Brave' | Tree | Dogwood
Cherokee Chief | Cornus florida 'Cherokee Chief' | Tree | Dogwood
Cherokee Princess | Cornus florida 'Cherokee Princess' | Tree | Dogwood
Cherries Jubilee | Baptisia 'Cherries Jubilee' | Perennial | False Indigo
Cherry Brandy | Rudbeckia hirta 'Cherry Brandy' | Perennial | Black-Eyed Susan
Cherry Choco Latte | Hibiscus 'Cherry Choco Latte' | Perennial | Hardy Hibiscus
Cherry Dazzle | Lagerstroemia 'Cherry Dazzle' | Shrub | Crape Myrtle
Cherry Queen | Cleome hassleriana 'Cherry Queen' | Annual | Cleome
Cheyenne Spirit | Echinacea 'Cheyenne Spirit' | Perennial | Coneflowers
Chicago Apache | Hemerocallis 'Chicago Apache' | Perennial | Daylilies
Chidori Kale | Brassica oleracea 'Chidori' | Annual | Ornamental Kale
Chincherinchee | Ornithogalum thyrsoides | Bulb | Star of Bethlehem
Chives | Allium schoenoprasum | Herb | 
Christmas Fern | Polystichum acrostichoides | Fern | 
Christmas Gift | Hippeastrum 'Christmas Gift' | Bulb | Amaryllis
Christmas Rose | Helleborus niger | Perennial | Hellebore
Cinnamon Fern | Osmundastrum cinnamomeum | Fern | 
Cinnamon Snow | Helleborus 'Cinnamon Snow' | Perennial | Hellebore
Citronelle | Heuchera 'Citronelle' | Perennial | Coral Bells
City of Haarlem | Hyacinthus 'City of Haarlem' | Bulb | Hyacinth
Claire Austin | Rosa 'Ausprior' | Rose | English (David Austin) Roses
Claire Grace | Monarda fistulosa 'Claire Grace' | Perennial | Bee Balm
Clara Curtis | Chrysanthemum 'Clara Curtis' | Perennial | Chrysanthemums
Clematis | Clematis | Climber | Clematis
Cleome | Cleome hassleriana | Annual | Cleome
Cleopatra | Canna 'Cleopatra' | Bulb | Canna Lily
Climbing Hydrangea | Hydrangea petiolaris | Climber | 
Climbing Rose | Rosa | Climber | 
Cloud Nine | Cornus florida 'Cloud Nine' | Tree | Dogwood
Cockscomb Magenta | Celosia cristata 'Cockscomb Magenta' | Annual | Celosia
Cockscomb Red | Celosia cristata 'Cockscomb Red' | Annual | Celosia
Cockscomb Yellow | Celosia cristata 'Cockscomb Yellow' | Annual | Celosia
Coconut Lime | Echinacea 'Coconut Lime' | Perennial | Coneflowers
Coconut Surprise | Dianthus 'Coconut Surprise' | Perennial | Dianthus
Cole's Select | Amelanchier × grandiflora 'Cole's Select' | Tree | Serviceberry
Coleus | Coleus scutellarioides | Annual | Coleus
Colorado Blue Spruce | Picea pungens | Conifer | Spruce
Columbine | Aquilegia | Perennial | Columbine
Columnar White Pine | Pinus strobus 'Fastigiata' | Conifer | Pine
Common Foxglove | Digitalis purpurea | Perennial | Foxglove
Common Orange Daylily | Hemerocallis fulva | Perennial | 
Comtesse de Bouchaud | Clematis 'Comtesse de Bouchaud' | Climber | Clematis
Confetti | Lantana camara 'Confetti' | Annual | Lantana
Constance Elliott | Passiflora caerulea 'Constance Elliott' | Climber | Passionflower
Cool As Ice | Festuca glauca 'Cool As Ice' | Grass | Blue Fescue
Coppertina | Physocarpus opulifolius 'Mindia' | Shrub | Ninebark
Coral Bark Maple | Acer palmatum 'Sango-kaku' | Tree | Japanese Maple
Coral Bells | Heuchera | Perennial | Coral Bells
Coral Charm | Paeonia 'Coral Charm' | Perennial | Peonies
Coral Flame | Phlox paniculata 'Coral Flame' | Perennial | Garden Phlox
Coral Fountain | Amaranthus caudatus 'Coral Fountain' | Annual | Amaranth
Coral Geranium | Pelargonium 'Coral' | Annual | Geraniums
Coral Gerbera | Gerbera jamesonii | Annual | Gerbera Daisy
Coral Mum | Chrysanthemum 'Coral' | Perennial | Chrysanthemums
Coral Petunia | Petunia 'Coral' | Annual | Petunias
Coral Snapdragon | Antirrhinum 'Coral' | Annual | Snapdragons
Coral Sunset | Paeonia 'Coral Sunset' | Perennial | Peonies
Coral Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Coral Verbena | Verbena × hybrida | Annual | Verbena
Coral Vinca | Catharanthus roseus | Annual | Vinca
Coral Zinnia | Zinnia elegans 'Coral' | Annual | Zinnias
Coreopsis | Coreopsis | Perennial | Coreopsis
Cornel | Dahlia 'Cornel' | Bulb | Dahlias
Cornelian Cherry | Cornus mas | Tree | Dogwood
Coronation Gold | Achillea 'Coronation Gold' | Perennial | Yarrow
Cosmic Red | Cosmos sulphureus 'Cosmic Red' | Annual | Cosmos
Cosmic Yellow | Cosmos sulphureus 'Cosmic Yellow' | Annual | Cosmos
Cosmos | Cosmos bipinnatus | Annual | Cosmos
Couleur Cardinal | Tulipa 'Couleur Cardinal' | Bulb | Tulips
Cranberry Crush | Hibiscus 'Cranberry Crush' | Perennial | Hardy Hibiscus
Crape Myrtle | Lagerstroemia | Shrub | Crape Myrtle
Crater Lake Blue | Veronica austriaca ssp. teucrium 'Crater Lake Blue' | Perennial | Veronica
Crazy Daisy | Leucanthemum × superbum 'Crazy Daisy' | Perennial | Shasta Daisy
Cream Beauty | Crocus chrysanthus 'Cream Beauty' | Bulb | Crocus
Cream Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
Cream Marigold | Tagetes erecta 'Vanilla' | Annual | Marigolds
Cream Nasturtium | Tropaeolum majus 'Milkmaid' | Annual | Nasturtium
Cream Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Cream Stock | Matthiola incana | Annual | Stock
Creeping Phlox | Phlox subulata | Perennial | Creeping Phlox
Creeping Sedum | Sedum | Perennial | 
Crimson Bedder | Nicotiana alata 'Crimson Bedder' | Annual | Flowering Tobacco
Crimson Queen | Acer palmatum var. dissectum 'Crimson Queen' | Tree | Japanese Maple
Crimson Rambler | Ipomoea purpurea 'Crimson Rambler' | Climber | Morning Glory
Crimson Trumpet | Campsis radicans 'Crimson Trumpet' | Climber | Trumpet Vine
Crocosmia | Crocosmia | Bulb | Crocosmia
Crocus | Crocus | Bulb | Crocus
Crown Imperial | Fritillaria imperialis | Bulb | Fritillaria
Crown Imperial Lutea | Fritillaria imperialis 'Lutea' | Bulb | Fritillaria
Crown Imperial Rubra | Fritillaria imperialis 'Rubra' | Bulb | Fritillaria
Crown Jewel | Gardenia jasminoides 'Crown Jewel' | Shrub | Gardenia
Crown Princess Margareta | Rosa 'Auswinter' | Rose | Climbing Roses
Crystal Palace | Lobelia erinus 'Crystal Palace' | Annual | Lobelia
Crème Brûlée | Coreopsis verticillata 'Crème Brûlée' | Perennial | Coreopsis
Crème de Cassis | Alcea rosea 'Creme de Cassis' | Perennial | Hollyhock
Cunningham's White | Rhododendron 'Cunningham's White' | Shrub | Rhododendrons
Cupani | Lathyrus odoratus 'Cupani' | Annual | Sweet Pea
Cuphea (Cigar Plant) | Cuphea ignea | Annual | Cuphea
Cyclamen | Cyclamen | Perennial | 
Czechmark Trilogy | Weigela 'Czechmark Trilogy' | Shrub | Weigela
Cécile Brünner | Rosa 'Cécile Brünner' | Rose | Shrub & Landscape Roses
Daffodil | Narcissus | Bulb | Daffodils
Dahlia | Dahlia | Bulb | Dahlias
Dallas Red | Lantana camara 'Dallas Red' | Annual | Lantana
Dalmatian Peach | Digitalis purpurea 'Dalmatian Peach' | Perennial | Foxglove
Dalmatian Purple | Digitalis purpurea 'Dalmatian Purple' | Perennial | Foxglove
Dames de Chenonceau Rose | Rosa 'Dames de Chenonceau' | Rose | 
Danica | Thuja occidentalis 'Danica' | Conifer | Arborvitae
Darcey Bussell | Rosa 'Ausdecorum' | Rose | English (David Austin) Roses
Dark Eyes | Fuchsia 'Dark Eyes' | Annual | Fuchsia
David | Phlox paniculata 'David' | Perennial | Garden Phlox
David Howard | Dahlia 'David Howard' | Bulb | Dahlias
Daylily | Hemerocallis | Perennial | Daylilies
Dazzler | Cosmos bipinnatus 'Dazzler' | Annual | Cosmos
Dead Nettle | Lamium maculatum | Perennial | 
Debutante | Camellia japonica 'Debutante' | Shrub | Camellia
Deep Rose Gerbera | Gerbera jamesonii | Annual | Gerbera Daisy
