existing_plant,botanical,proposed_aliases,buckets,top_freq,n_aliases
Kwanzan Cherry,Prunus serrulata 'Kanzan',cherry blossom; cherry blossom tree; cherry tree; japanese cherry; japanese flowering cherry; kanzan cherry; sakura,alt-common-name; plural-format; regional,high,7
Lady Banks' Rose,Rosa banksiae,banksia rose; banksian rose; climbing white lady banks; lady banks rose; lady banks roses; rambler rose; yellow lady banks rose,alt-common-name; misspelling,high,7
Strawflower,Xerochrysum,everlasting daisy; everlasting flower; golden everlasting; helichrysum; paper daisy; straw flower,alt-common-name; botanical-genus; plural-format,high,6
Calibrachoa,Calibrachoa,calibrachio; calibracoa; callibrachoa; million bells; mini petunia; trailing petunia,alt-common-name; brand-series; misspelling,high,6
Purple Coneflower,Echinacea purpurea,cone flower; double scoop; echinachea; echinacia; echinecea; purple cone flower,brand-series; misspelling; plural-format,high,6
Hidcote,Lavandula angustifolia 'Hidcote',english lavender; hidcote lavender; lavander; lavendar; lavendula; true lavender,alt-common-name; misspelling; plural-format,high,6
Munstead,Lavandula angustifolia 'Munstead',english lavender; lavander; lavendar; lavendula; munstead lavender; true lavender,alt-common-name; misspelling; plural-format,high,6
Zinnia,Zinnia elegans,state fair zinnia; zahara zinnia; zennia; zinia; zinnea; zinnias,brand-series; misspelling; plural-format,high,6
Begonia,Begonia,bagonia; begoina; begonias; begonya; bergonia; whopper begonia,brand-series; misspelling; plural-format,high,6
Marigold,Tagetes,american marigold; aztec marigold; marigolds; marrigold; marygold; marygolds,alt-common-name; misspelling; plural-format,high,6
Sweet Alyssum,Lobularia maritima,allysum; alysum; carpet of snow; easter bonnet; snow crystals; sweet alison,alt-common-name; brand-series; cultivar-trade; misspelling,high,6
Blanket Flower,Gaillardia,blanket flowers; firewheel; gailardia; galardia; gallardia; indian blanket,alt-common-name; misspelling; plural-format,high,6
Royal Purple,Cotinus coggygria 'Royal Purple',purple smoke bush; purple smoke tree; royal purple smoke bush; royal purple smoke tree; smoke tree; smoke trees,alt-common-name; cultivar-trade; plural-format,high,6
Camellia,Camellia japonica,camelia; camelias; camellias; camillia; cammellia; japanese camellia,alt-common-name; misspelling; plural-format,high,6
Honeysuckle,Lonicera,coral honeysuckle; honesuckle; honeysuckel; honeysuckles; trumpet honeysuckle; woodbine,alt-common-name; misspelling; plural-format,high,6
Trumpet Vine,Campsis radicans,cow itch vine; hummingbird vine; trumpet creeper; trumpet creeper vine; trumpet flower; trumpet vines,alt-common-name; plural-format,high,6
Mandevilla,Mandevilla,dipladenia; mandavilla; mandevila; mandevillas; mandevillia; rocktrumpet,alt-common-name; misspelling; plural-format,high,6
Asiatic Lily,Lilium,asiatic lilies; asiatic lilly; lilies; lillies; lilly; lily bulbs,misspelling; plural-format,high,6
Gertrude Jekyll,Rosa 'Ausbord',austin rose; cottage rose; david austin; david austin roses; english rose; gertrude jekyll rose,alt-common-name; brand-series; plural-format,high,6
Abraham Darby,Rosa 'Auscot',abraham darby rose; austin rose; cottage rose; david austin; david austin roses; english rose,alt-common-name; brand-series; plural-format,high,6
Green Giant,Thuja plicata 'Green Giant',arborvitae hedge; cedar hedge; giant arborvitae; green giant arborvitae; green giant cedar; green giant thuja arborvitae,alt-common-name; cultivar-trade; regional,high,6
Emerald Green,Thuja occidentalis 'Smaragd',arborvitae hedge; cedar hedge; emerald cedar; emerald green arborvitae; emerald green cedar; smaragd arborvitae,alt-common-name; cultivar-trade; regional,high,6
Italian Cypress,Cupressus sempervirens,italian cypress tree; italian cypress trees; mediterranean cypress; pencil cypress; pencil pine; tuscan cypress,alt-common-name; plural-format; regional,high,6
Autumn Brilliance,Amelanchier × grandiflora 'Autumn Brilliance',autumn brilliance serviceberry; june berry; juneberry; juneberry tree; serviceberry tree; shadbush,alt-common-name; cultivar-trade; plural-format,high,6
Peony,Paeonia,paeony; peaony; peoney; peonie; peonies; pioney,misspelling; plural-format; regional,high,6
Portulaca,Portulaca grandiflora,moss rose; moss roses; portalaca; portulacca; purslane; sun rose,alt-common-name; misspelling,high,6
Sorbet Viola,Viola cornuta 'Sorbet',heartsease; horned violet; johnny jump up; johnny jump ups; violas,alt-common-name; plural-format,high,5
Bee Balm,Monarda,bee balms; beebalm; bergamot; oswego tea; wild bergamot,alt-common-name; plural-format,high,5
Grosso,Lavandula × intermedia 'Grosso',grosso lavender; lavander; lavandin; lavendar; lavendula,alt-common-name; misspelling; plural-format,high,5
Provence,Lavandula × intermedia 'Provence',lavander; lavandin; lavendar; lavendula; provence lavender,alt-common-name; misspelling; plural-format,high,5
Dahlia,Dahlia,dahila; dahlias; dalhia; dalia; dhalia,misspelling; plural-format,high,5
Gerbera Daisy,Gerbera jamesonii,barberton daisy; gerbara; gerber daisy; gerbera daisies; transvaal daisy,alt-common-name; misspelling; plural-format,high,5
Lisianthus,Eustoma,lisianthis; lisyanthus; lysianthus; prairie gentian; texas bluebell,alt-common-name; misspelling,high,5
Bachelor's Button,Centaurea cyanus,bachelor button; bachelor buttons; bachelors button; blue bottle; cornflower,alt-common-name; plural-format,high,5
Morning Glory,Ipomoea,heavenly blue morning glory; ipomea; morning glories; morningglory; mourning glory,cultivar-trade; misspelling; plural-format,high,5
Caradonna,Salvia nemorosa 'Caradonna',caradonna sage; meadow sage; perennial sage; sage; savlia,alt-common-name; misspelling,high,5
May Night,Salvia nemorosa 'Mainacht',may night sage; meadow sage; perennial sage; sage; savlia,alt-common-name; misspelling,high,5
Boxwood,Buxus,box hedge; box shrub; box wood; boxwood shrub; boxwoods,alt-common-name; plural-format,high,5
Lilac,Syringa vulgaris,common lilac; french lilac; lilac bush; lilac tree; lilacs,alt-common-name; plural-format,high,5
Jasmine,Jasminum officinale,common jasmine; jazmine; jessamine; poets jasmine; summer jasmine,alt-common-name; misspelling,high,5
Hyacinth,Hyacinthus orientalis,dutch hyacinth; hiacinth; hyacinths; hyacynth; hyancinth,alt-common-name; misspelling; plural-format,high,5
Tiger Lily,Lilium lancifolium,lilies; lillies; lilly; lily bulbs; tiger lilies,misspelling; plural-format,high,5
Graham Thomas,Rosa 'Ausmas',austin rose; david austin; david austin roses; english rose; graham thomas rose,alt-common-name; brand-series; plural-format,high,5
Golden Celebration,Rosa 'Ausgold',austin rose; david austin; david austin roses; english rose; golden celebration rose,alt-common-name; brand-series; plural-format,high,5
Peace,Rosa 'Madame A. Meilland',gioia; gloria dei; hybrid tea roses; madame a meilland; peace rose,alt-common-name; botanical-genus; plural-format,high,5
Cécile Brünner,Rosa 'Cécile Brünner',cecil brunner; cecile brunner; cecile brunner rose; mignon rose; sweetheart rose,alt-common-name; misspelling,high,5
Rosa de Meaux (Centifolia Rose),Rosa × centifolia 'De Meaux',antique roses; cabbage rose; pompon rose; provence rose; rose de meaux,alt-common-name; regional,high,5
Lavender Twist,Cercis canadensis 'Covey',covey redbud; lavender twist redbud; red bud; redbud tree; weeping redbud,alt-common-name; cultivar-trade; misspelling; plural-format,high,5
Rainbow Pillar,Amelanchier canadensis 'Rainbow Pillar',downy serviceberry; juneberry; rainbow pillar serviceberry; shadblow; shadbush,alt-common-name; cultivar-trade,high,5
Climbing Rose,Rosa,climber rose; climbing rose bush; climbing roses; rambler rose; rambling rose,alt-common-name; plural-format,high,5
Passionflower,Passiflora,maypop; passion flower; passion flowers; passion fruit vine; passion vine,alt-common-name; plural-format,high,5
Vinca,Catharanthus roseus,annual vinca; cora vinca; madagascar periwinkle; periwinkle; perriwinkle,alt-common-name; brand-series; misspelling,high,5
Larkspur,Consolida,annual delphinium; delphinium larkspur; larkspur; larkspure; rocket larkspur,alt-common-name; misspelling,high,5
Yellow Viola,Viola cornuta 'Yellow',horned violet; johnny jump up; johnny jump ups; violas,alt-common-name; plural-format,high,4
Calendula,Calendula,calendual; english marigold; pot marigold; scotch marigold,alt-common-name; misspelling,high,4
Matrona,Hylotelephium 'Matrona',matrona sedum; sedum matrona; showy stonecrop; stonecrop,alt-common-name; botanical-genus,high,4
Coreopsis,Coreopsis,corepsis; coriopsis; threadleaf coreopsis; tickseed,alt-common-name; misspelling,high,4
Moonbeam,Coreopsis verticillata 'Moonbeam',moonbeam tickseed; thread leaf coreopsis; threadleaf coreopsis; tickseed,alt-common-name,high,4
Phenomenal,Lavandula × intermedia 'Phenomenal',lavandin; lavendar; lavendula; phenomenal lavender,alt-common-name; brand-series; misspelling,high,4
Gazania,Gazania,african daisy gazania; gazanias; gazannia; treasure flower,alt-common-name; misspelling; plural-format,high,4
Marguerite Daisy,Argyranthemum,cobbity daisy; margarite daisy; marguarite daisy; paris daisy,alt-common-name; misspelling,high,4
Purple Wave,Petunia 'Purple Wave',shock wave petunia; surfinia; trailing petunia; wave petunias,alt-common-name; brand-series,high,4
Garden Phlox,Phlox paniculata,flox; perennial phlox; summer phlox; tall phlox,alt-common-name; misspelling,high,4
African Marigold,Tagetes erecta,american marigold; aztec marigold; marygold; marygolds,alt-common-name; misspelling,high,4
Angelonia,Angelonia angustifolia,angelona; archangel angelonia; serenita; summer snapdragon,alt-common-name; brand-series; misspelling,high,4
Aster,Symphyotrichum,asters; astor; michaelmas daisies; michaelmas daisy,alt-common-name; misspelling; plural-format; regional,high,4
Hellebore,Helleborus,helebore; hellebores; lenten rose; lenten roses,alt-common-name; misspelling; plural-format,high,4
Butterfly Bush,Buddleia davidii,buddleja; budleia; butterfly bushes; summer lilac,alt-common-name; misspelling; plural-format; regional,high,4
Weigela,Weigela florida,weigelas; weigelia; wiegela; wigela,misspelling; plural-format,high,4
Diabolo,Physocarpus opulifolius 'Monlo',diablo; diablo ninebark; diabolo ninebark; purple ninebark,alt-common-name; brand-series; cultivar-trade; misspelling,high,4
Tête-à-Tête,Narcissus 'Tête-à-Tête',dwarf daffodil; miniature daffodil; tete a tete; tete a tete daffodil,alt-common-name; plural-format,high,4
Oriental Lily,Lilium,lilies; lillies; lily bulbs; oriental lilies,misspelling; plural-format,high,4
Café au Lait,Dahlia 'Café au Lait',cafe au lait; cafe au lait dahlia; dinner plate dahlia; dinnerplate dahlia,alt-common-name; plural-format,high,4
Black Knight,Buddleia davidii 'Black Knight',black knight butterfly bush; delphinum; larkspur; pacific giant delphinium,alt-common-name; brand-series; cultivar-trade; misspelling,high,4
King Arthur,Delphinium 'King Arthur',delphinum; larkspur; pacific giant delphinium; perennial larkspur,alt-common-name; brand-series; misspelling,high,4
Munstead Wood,Rosa 'Ausbernard',david austin; david austin roses; english rose; munstead wood rose,alt-common-name; brand-series; plural-format,high,4
Juliet,Rosa 'Ausjameson',austin rose; david austin; david austin roses; juliet rose,brand-series; plural-format,high,4
Mister Lincoln,Rosa 'Mister Lincoln',hybrid tea roses; mister lincoln rose; mr lincoln; mr lincoln rose,alt-common-name; plural-format,high,4
Iceberg,Rosa 'Korbin',floribunda roses; iceberg rose; iceberg roses; schneewittchen,alt-common-name; plural-format,high,4
Eden,Rosa 'Meiviolin',eden climber; eden rose; pierre de ronsard; pierre de ronsard rose,alt-common-name; cultivar-trade; plural-format,high,4
Zéphirine Drouhin,Rosa 'Zéphirine Drouhin',thornless rose; zephirine drouhin; zephirine drouhin rose; zephrine drouhin,alt-common-name; misspelling,high,4
Mugo Pine,Pinus mugo,dwarf mugo pine; mountain pine; mugho pine; swiss mountain pine,alt-common-name; cultivar-trade; misspelling,high,4
Forest Pansy,Cercis canadensis 'Forest Pansy',forest pansy redbud; purple leaf redbud; red bud; redbud tree,alt-common-name; cultivar-trade; misspelling; plural-format,high,4
Ruby Falls,Cercis canadensis 'Ruby Falls',red bud; redbud tree; ruby falls redbud; weeping redbud,alt-common-name; cultivar-trade; misspelling; plural-format,high,4
Yoshino Cherry,Prunus × yedoensis,cherry blossom; cherry blossom tree; cherry tree; sakura,alt-common-name; plural-format; regional,high,4
Red Maple,Acer rubrum,maple tree; red maple tree; scarlet maple; swamp maple,alt-common-name; plural-format,high,4
Sugar Maple,Acer saccharum,hard maple; maple tree; rock maple; sugar maple tree,alt-common-name; plural-format,high,4
River Birch,Betula nigra,birch tree; black birch; clump birch; river birch tree,alt-common-name; plural-format,high,4
Ginkgo,Ginkgo biloba,gingko; ginkgo tree; ginko; maidenhair tree,alt-common-name; misspelling; plural-format,high,4
Littleleaf Linden,Tilia cordata,basswood; lime tree; linden tree; little leaf linden,alt-common-name; plural-format; regional,high,4
Lime Tree,Citrus aurantifolia,key lime; key lime tree; lime tree; mexican lime,alt-common-name; regional,high,4
Blue Fescue,Festuca glauca,blue fescue grass; elijah blue; fesque; ornamental fescue,alt-common-name; cultivar-trade; misspelling; plural-format,high,4
Mint,Mentha,chocolate mint; mint plant; peppermint; spearmint,alt-common-name; plural-format,high,4
Viburnum,Viburnum,vibernam; vibernum; viburnam; viburnums,misspelling; plural-format,high,4
Gaura,Oenothera lindheimeri,beeblossom; evening primrose; sundrops; whirling butterflies,alt-common-name,high,4
Hosta,Hosta,funkia; hasta; hostas; plantain lily,alt-common-name; botanical-genus; misspelling; plural-format,high,4
Snapdragon,Antirrhinum,snap dragon; snap dragons; snapdragan; snapdragons,misspelling; plural-format,high,4
Cleome,Cleome hassleriana,cleoma; senorita rosalita; spider flower; spider plant,alt-common-name; brand-series; misspelling,high,4
Honeylocust,Gleditsia triacanthos,honey locust; honey locust tree; locust tree; thornless honeylocust,alt-common-name; plural-format,high,4
Heritage,Rosa 'Ausblush',cottage rose; david austin; heritage rose; heritage roses,alt-common-name; brand-series; plural-format,high,4
Periwinkle,Vinca minor,creeping myrtle; myrtle; periwinkle; perriwinkle,alt-common-name; misspelling,high,4
Yellow Strawflower,Xerochrysum bracteatum,golden everlasting; helichrysum; straw flower,alt-common-name; botanical-genus; plural-format,high,3
Elephant Ear,Colocasia,elephant ear caladium; elephant ears; taro,alt-common-name; plural-format,high,3
Lord Baltimore,Hibiscus moscheutos 'Lord Baltimore',perennial hibiscus; rose mallow; swamp rose mallow,alt-common-name,high,3
Luna White,Hibiscus moscheutos 'Luna White',dinner plate hibiscus; dinnerplate hibiscus; rose mallow,alt-common-name,high,3
Midnight Marvel,Hibiscus 'Midnight Marvel',dinnerplate hibiscus; rose mallow; summerific,alt-common-name; brand-series,high,3
European Snowball,Viburnum opulus 'Roseum',guelder rose; snowball bush; snowball tree,alt-common-name; regional,high,3
Autumn Joy Sedum,Hylotelephium 'Herbstfreude',sedum autumn joy; sedums; stonecrop,alt-common-name; plural-format,high,3
Neon Sedum,Hylotelephium spectabile 'Neon',sedums; showy stonecrop; stonecrop,alt-common-name; plural-format,high,3
Johnson's Blue,Geranium 'Johnson's Blue',cranesbill; cranesbill geranium; johnsons blue,alt-common-name; plural-format,high,3
Rozanne,Geranium 'Rozanne',cranesbill; cranesbill geranium; hardy cranesbill,alt-common-name,high,3
Mercury Rising,Coreopsis 'Mercury Rising',big bang; big bang coreopsis; tickseed,alt-common-name; brand-series,high,3
Route 66,Coreopsis 'Route 66',big bang; big bang coreopsis; tickseed,alt-common-name; brand-series,high,3
Zagreb,Coreopsis verticillata 'Zagreb',thread leaf coreopsis; threadleaf coreopsis; tickseed,alt-common-name,high,3
Jacob Cline,Monarda didyma 'Jacob Cline',beebalm; bergamot; oswego tea,alt-common-name; plural-format,high,3
Oakleaf Hydrangea,Hydrangea quercifolia,hydrangeas; hydrangia; oak leaf hydrangea,misspelling; plural-format,high,3
Magnus,Echinacea purpurea 'Magnus',echinachea; echinacia; echinecea,misspelling,high,3
Ornamental Kale,Brassica oleracea,flowering cabbage; flowering kale; ornamental cabbage,alt-common-name,high,3
Pink Ornamental Kale,Brassica oleracea,flowering cabbage; flowering kale; ornamental cabbage,alt-common-name,high,3
White Ornamental Kale,Brassica oleracea,flowering cabbage; flowering kale; ornamental cabbage,alt-common-name,high,3
Ageratum,Ageratum houstonianum,agertum; floss flower; flossflower,alt-common-name; misspelling,high,3
Creeping Phlox,Phlox subulata,flox; moss phlox; moss pink,alt-common-name; misspelling,high,3
David,Phlox paniculata 'David',flox; summer phlox; tall phlox,alt-common-name; misspelling,high,3
Pink Bachelor's Button,Centaurea cyanus,bachelor buttons; bachelors button; cornflower,alt-common-name; plural-format,high,3
Four O'Clock,Mirabilis jalapa,four o clock; four oclock; marvel of peru,alt-common-name; plural-format,high,3
Marbles,Mirabilis jalapa 'Marbles',four o clock; four oclock; marvel of peru,alt-common-name; plural-format,high,3
Sunflower,Helianthus annuus,dwarf sunflower; sun flower; sunflowers,alt-common-name; plural-format,high,3
Serena Blue,Angelonia 'Serena Blue',archangel angelonia; serenita; summer snapdragon,alt-common-name; brand-series,high,3
Salvia (Annual),Salvia splendens,bedding salvia; red salvia; scarlet sage,alt-common-name,high,3
Pentas,Pentas lanceolata,egyptian star cluster; egyptian star flower; star cluster,alt-common-name,high,3
Yellow Nasturtium,Tropaeolum majus,alaska nasturtium; nasturium; nasturtion,brand-series; misspelling,high,3
New England Aster,Symphyotrichum novae-angliae,asters; astor; michaelmas daisy,alt-common-name; misspelling; plural-format; regional,high,3
October Skies,Symphyotrichum oblongifolium 'October Skies',aromatic aster; asters; michaelmas daisy,alt-common-name; plural-format; regional,high,3
Purple Dome,Symphyotrichum novae-angliae 'Purple Dome',asters; michaelmas daisies; michaelmas daisy,alt-common-name; plural-format; regional,high,3
Stella de Oro,Hemerocallis 'Stella de Oro',reblooming daylily; stella d'oro; stella doro,alt-common-name; brand-series; cultivar-trade; misspelling,high,3
Perennial Salvia,Salvia nemorosa,meadow sage; perennial sage; sage,alt-common-name,high,3
Arizona Sun,Gaillardia × grandiflora 'Arizona Sun',blanket flowers; gallardia; indian blanket,alt-common-name; misspelling; plural-format,high,3
Butterfly Weed,Asclepias tuberosa,butterfly milkweed; milkweed; orange milkweed,alt-common-name,high,3
Walker's Low,Nepeta 'Walker's Low',catnip; walkers low; walkers low catmint,alt-common-name; plural-format,high,3
Red Fox,Veronica spicata 'Rotfuchs',red fox speedwell; speedwell; spike speedwell,alt-common-name,high,3
Veronica,Veronica spicata,speedwell; speedwells; spike speedwell,alt-common-name; plural-format,high,3
Smokebush,Cotinus coggygria,smoke bush; smoke tree; smoke trees,alt-common-name; plural-format,high,3
Bridal Wreath,Spiraea × vanhouttei,bridal wreath spirea; bridalwreath spirea; vanhoutte spirea,alt-common-name; cultivar-trade; plural-format,high,3
Goldmound,Spiraea japonica 'Goldmound',gold mound spirea; goldmound spirea; japanese spirea,alt-common-name; cultivar-trade; plural-format,high,3
Miss Kim,Syringa pubescens 'Miss Kim',dwarf korean lilac; korean lilac; miss kim lilac,alt-common-name; cultivar-trade,high,3
Star Jasmine,Trachelospermum jasminoides,confederate jasmine; jazmine; jessamine,alt-common-name; misspelling,high,3
Japanese Anemone,Anemone hupehensis,anemonie; anenome; annemone,misspelling,high,3
Windflower,Anemone blanda,anemonie; anenome; grecian windflower,alt-common-name; misspelling,high,3
Calla Lily,Zantedeschia,arum lily; calla lilies; callas,alt-common-name; plural-format,high,3
Agapanthus,Agapanthus,african lily; agapantus; lily of the nile,alt-common-name; misspelling,high,3
Freesia,Freesia,freesias; freezia; fresia,misspelling; plural-format,high,3
Amaryllis,Hippeastrum,amarillis; amarylis; amaryllus,misspelling,high,3
Emily Brontë,Rosa 'Ausearnshaw',david austin; emily bronte; emily bronte rose,brand-series; misspelling,high,3
Desdemona,Rosa 'Auskindling',david austin; david austin roses; desdemona rose,brand-series; plural-format,high,3
The Generous Gardener,Rosa 'Ausdrawn',david austin; david austin roses; the generous gardener rose,brand-series; plural-format,high,3
Claire Austin,Rosa 'Ausprior',claire austin rose; david austin; david austin roses,brand-series; plural-format,high,3
Queen Elizabeth,Rosa 'Queen Elizabeth',grandiflora rose; hybrid tea roses; queen elizabeth rose,alt-common-name; plural-format,high,3
The Fairy,Rosa 'The Fairy',fairy rose; groundcover rose; the fairy rose,alt-common-name; plural-format,high,3
Japanese Maple,Acer palmatum,japanese maple tree; japanese maples; maple tree,plural-format,high,3
Bloodgood,Acer palmatum 'Bloodgood',bloodgood japanese maple; bloodgood maple; red japanese maple,alt-common-name; cultivar-trade,high,3
Emperor I,Acer palmatum 'Emperor I',emperor 1 maple; emperor japanese maple; red japanese maple,alt-common-name; cultivar-trade,high,3
Eastern Redbud,Cercis canadensis,judas tree; red bud; redbud tree,alt-common-name; misspelling; plural-format,high,3
Oklahoma Redbud,Cercis canadensis var. texensis 'Oklahoma',red bud; redbud tree; texas redbud,alt-common-name; misspelling; plural-format,high,3
The Rising Sun,Cercis canadensis 'The Rising Sun',red bud; redbud tree; rising sun redbud,cultivar-trade; misspelling; plural-format,high,3
Hearts of Gold,Cercis canadensis 'Hearts of Gold',hearts of gold redbud; red bud; redbud tree,cultivar-trade; misspelling; plural-format,high,3
Appalachian Red,Cercis canadensis 'Appalachian Red',appalachian red redbud; red bud; redbud tree,cultivar-trade; misspelling; plural-format,high,3
Flame Thrower,Cercis canadensis 'Flame Thrower',flame thrower redbud; red bud; redbud tree,cultivar-trade; misspelling; plural-format,high,3
Kousa Dogwood,Cornus kousa,chinese dogwood; dogwood tree; japanese dogwood,alt-common-name; plural-format,high,3
